id_cloud,local_name_ru,local_name_en,cloud_type_id,position_x,position_y,position_z,initial_volume_l
cloud_capital_mist_01,Столичная сухая дымка,Capital Dry Mist,dry_mist,120,115,160,90
cloud_capital_common_01,Столичное облако,Capital Common Cloud,common_cloud,-170,130,90,130
cloud_capital_azure_01,Лазурная вуаль столицы,Capital Azure Veil,azure_veil,80,145,-190,120
cloud_capital_claudic_01,Клавдиевый шлейф столицы,Capital Claudic Wisp,claudic_wisp,-90,150,-260,80
cloud_island1_wet_01,Влажное облако Еды,Wet Food Cloud,wet_cloud,420,115,540,180
cloud_island2_amber_01,Янтарная марь угольщиков,Charcoal Amber Haze,amber_haze,540,125,-470,160
cloud_island5_green_01,Зеленое облако инструментов,Tools Green Bloom,green_bloom,190,115,-900,170
cloud_island6_common_01,Обычное облако фермеров,Farming Common Cloud,common_cloud,-640,120,-210,190
cloud_island9_storm_01,Грозовая банка пороха,Gunpowder Storm Cell,storm_dense,470,130,30,200
cloud_remote_ion_01,Ионный туман северный,North Ion Fog,ion_fog,-900,180,720,620
cloud_remote_thermal_01,Тепловое дыхание южное,South Thermal Breath,thermal_breath,980,170,-980,850
cloud_remote_crystal_01,Кристальная пыль восточная,East Crystal Mist,crystal_mist,1300,190,430,520
cloud_remote_void_01,Пустотный дым дальний,Far Void Smoke,void_smoke,-1250,210,-840,1100
