id_gas_condensate_type,local_name_ru,local_name_en,condensate_item,condensate_l_per_m3,color_hex,composition_id_item,composition_share
dry_mist,Сухая дымка,Dry Mist,mist_condensate,0.001,#C8D8E8,"water,aer_silt","0.70,0.30"
common_cloud,Обычное облако,Common Cloud,cloud_condensate,0.005,#D8E6FF,"water,aer_silt,vespar","0.78,0.14,0.08"
wet_cloud,Влажное облако,Wet Cloud,wet_condensate,0.010,#BFE5FF,"water,vespar","0.86,0.14"
storm_dense,Плотное грозовое,Dense Storm,storm_condensate,0.020,#6E728A,"water,fulgur,vespar","0.70,0.20,0.10"
azure_veil,Лазурная вуаль,Azure Veil,azure_condensate,0.004,#6CC8FF,"water,azurite_gas","0.74,0.26"
amber_haze,Янтарная марь,Amber Haze,amber_condensate,0.006,#F0B35A,"water,amberon","0.65,0.35"
green_bloom,Зеленое цветение,Green Bloom,green_condensate,0.008,#74D389,"water,viridine","0.62,0.38"
ion_fog,Ионный туман,Ion Fog,ion_condensate,0.003,#A998FF,"water,ionite","0.55,0.45"
thermal_breath,Тепловое дыхание,Thermal Breath,thermal_condensate,0.012,#FF9E70,"water,calorine","0.64,0.36"
crystal_mist,Кристальная пыль,Crystal Mist,crystal_condensate,0.002,#E7F7FF,"water,crystane","0.50,0.50"
claudic_wisp,Клавдиевый шлейф,Claudic Wisp,claudic_condensate,0.007,#B7E0D0,"water,claudine","0.58,0.42"
void_smoke,Пустотный дым,Void Smoke,void_condensate,0.015,#7D6B95,"water,nulgas","0.60,0.40"
