id_hull,local_name_ru,local_name_en,complited_tech,base_mass_kg,hull_max_takeoff_mass_kg,air_density,drag_coefficient,frontal_area_m2,side_resistance,vertical_area_factor,gyro_turn_torque_nm,gyro_turn_damping,max_auto_turn_rate_deg,max_structural_turn_rate_deg,max_structural_vertical_speed_ms,max_auto_vertical_speed_ms,altitude_stiffness,altitude_damping,altitude_drift_tolerance_m,heading_stiffness,heading_damping,waypoint_radius_m,speed_stiffness,speed_damping,structure_hp
starter_hull,Стартовый корпус,Starter Hull,,900,2500,1.225,1.1,8,2,4,12000,0.8,5,15,3,3,0.2,1.2,0.15,0.5,0.5,10,0.8,0.3,720
light_frame,Лёгкий каркас,Light Frame,improved_frames,720,2200,1.225,0.65,6,1.6,3.4,9000,0.75,6,18,5.5,1.2,0.22,1.1,0.15,0.55,0.45,9,0.9,0.28,620
cargo_barge,Грузовая баржа,Cargo Barge,heavy_lift,1350,4200,1.225,1.05,11,2.6,4.8,14000,0.95,4,12,4,0.8,0.18,1.4,0.2,0.42,0.65,12,0.65,0.38,1000
clipper_hull,Курьерский корпус,Clipper Hull,improved_frames,1050,3200,1.225,0.7,7,2.1,3.8,15500,0.7,7,20,5.5,1.2,0.24,1.1,0.12,0.65,0.42,8,0.95,0.25,900
water_strider_hull,Водомерка,Water Strider,bearing_skin,1000,3500,1.225,0.7,7,2,4,14000,0.75,6,18,3,3,0.22,1.1,0.12,0.6,0.45,10,0.9,0.28,940
bulat_hull,Булат,Bulat,ore_collector,1205,6000,1.225,0.78,8.5,2.3,4.5,15000,0.85,5,16,3,3,0.2,1.25,0.14,0.52,0.5,11,0.8,0.32,1250
hornet_hull,Шершень,Hornet,continuous_observations,1400,3800,1.225,0.66,7.4,1.8,3.7,16000,0.68,7,22,3.5,3.5,0.24,1.05,0.11,0.68,0.4,8,0.95,0.25,1350
jaeger_hull,Егерь,Jaeger,hunter_hull,2040,5200,1.225,0.95,9.5,2.5,4.8,18000,0.9,5,16,3,3,0.18,1.35,0.16,0.5,0.55,10,0.78,0.34,1600
opora_hull,Опора,Opora,support_platform,700,10000,1.225,1.6,12,3.4,6,22000,1.05,4,12,4,4,0.2,1.4,0.18,0.45,0.65,12,0.65,0.38,1400
fuel_tender_hull,Топливщик,Fuel Tender,support_platform,850,10000,1.225,1.15,10.5,2.8,5.2,18000,0.9,5,14,3,2,0.2,1.25,0.15,0.52,0.52,11,0.78,0.32,700
parovoz_hull,Паровоз,Parovoz,passenger_routes,1530,5900,1.225,1.2,10,2.7,5,16000,0.9,4,14,3,2,0.18,1.3,0.15,0.45,0.58,11,0.72,0.35,1100
liquid_tanker_hull,Жидковоз,Liquid Tanker,liquid_tender_tanks,1600,12000,1.225,1.1,11,2.8,5,18000,0.9,5,14,2,2,0.18,1.3,0.15,0.5,0.55,12,0.72,0.36,900
gletcher_hull,Глетчер,Gletcher,bulk_gas_tender,2200,9000,1.225,1.15,10,2.7,5,17000,0.9,5,14,2.4,2.4,0.18,1.25,0.15,0.5,0.55,11,0.72,0.35,750
vakhta_hull,Вахта,Vakhta,workforce_health_tender,2000,11000,1.225,1.05,10,2.6,5,19000,0.9,5,14,2.4,2.4,0.18,1.25,0.15,0.5,0.55,11,0.72,0.34,900
boxvan_tender_hull,Фургонщик,Boxvan Tender,boxed_goods_tender,1450,10000,1.225,1,9.5,2.4,4.6,18000,0.85,5,15,2.5,2.5,0.2,1.2,0.14,0.55,0.5,10,0.78,0.32,850
stapel_hull,Стапель,Stapel,field_flying_dock,2700,16000,1.225,1.35,16,4,7,25000,1.05,4,12,3.3,3.3,0.18,1.4,0.18,0.45,0.65,13,0.62,0.4,1800
water_strider_hull_mk2,Несущая обшивка Водомерки,Water Strider Bearing Skin,water_strider_large_tank,1070,4300,1.225,0.68,7.1,1.95,3.9,15000,0.72,6,18,4.5,4.5,0.23,1.05,0.12,0.62,0.43,10,0.92,0.26,1050
bulat_hull_mk2,Противоударный корпус Булата,Bulat Shockproof Hull,shockproof_bulk_hold,1250,6500,1.225,0.76,8.5,2.25,4.4,15800,0.82,5,16,3,3,0.2,1.22,0.14,0.54,0.48,11,0.82,0.3,1350
jaeger_hull_mk2,Усиленный корпус Егеря,Jaeger Armored Hull,armored_hunter_hull,2300,5400,1.225,0.9,9.7,2.45,4.7,19000,0.9,5,16,3,3,0.18,1.35,0.16,0.5,0.55,10,0.78,0.34,1900
opora_hull_mk2,Ребристая палуба Опоры,Opora Ribbed Deck,ribbed_deck_truss,1150,11000,1.225,1.25,11.5,3,5.5,24000,1,5,14,4,4,0.2,1.35,0.17,0.5,0.62,12,0.7,0.36,2000
parovoz_hull_mk2,Обтекаемый корпус Паровоза,Parovoz Streamlined Hull,streamlined_superstructure,1750,6600,1.225,0.74,8.5,2.1,4.2,17500,0.82,5,16,3,3,0.2,1.2,0.13,0.55,0.5,10,0.82,0.3,1540
