Island_production_id,production_item,production_count_base,consumption_id_item,consumption_item_count,satisfied_consumption_boost_base_production
Island_production_food,food,10,"water,tools,cloth,mechanisms","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_charcoal,charcoal,10,"food,tools,gunpowder,medicines","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_metal,metal,10,"food,charcoal,gunpowder,cloth","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_aerolite,aerolite,10,"food,medicines,cloth,gunpowder","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_tools,tools,10,"fat,charcoal,metal,mechanisms","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_medicines,medicines,10,"alcohol,water,fat,cloth","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_alcohol,alcohol,10,"food,water,cloth,charcoal","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_gunpowder,gunpowder,10,"fulgur,charcoal,fat,medicines","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_mechanisms,mechanisms,10,"metal,fat,charcoal,medicines","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_fat,fat,10,"water,alcohol,charcoal,gunpowder","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_water,water,10,"charcoal,cloth,alcohol,metal","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_cloth,cloth,10,"water,mechanisms,charcoal,alcohol","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
Island_production_claudium,claudium,10,"food,charcoal,tools,medicines","0.03,0.03,0.03,0.03","2,1.8,1.6,1.4"
