id_item,local_name_ru,local_name_en,mass_kg_per_unit
freight,Фрахт,Freight,0
solid,Солид,Solid,0
gems,Геммы,Gems,0
nobel,Нобель,Nobel,0
perfcards,Перфокарты,Perfcards,0
amber,Амбра,Amber,0
resonant_sublikat,Резонансный субликат,Resonant Sublikat,0.1
null_sublikat,Нулевой субликат,Null Sublikat,0.1
phase_sublikat,Фазовый субликат,Phase Sublikat,0.1
vector_sublikat,Векторный субликат,Vector Sublikat,0.1
gray_sublikat,Серый субликат,Gray Sublikat,0.1
spectral_sublikat,Спектральный субликат,Spectral Sublikat,0.1
coronal_sublikat,Коронный субликат,Coronal Sublikat,0.1
deep_sublikat,Глубинный субликат,Deep Sublikat,0.1
inertial_sublikat,Инерционный субликат,Inertial Sublikat,0.1
automaton_relay,Реле,Relay,0.4
automaton_coil,Катушка,Coil,1.2
automaton_contact_comb,Контактная гребенка,Contact Comb,0.3
automaton_brass_valve,Латунный клапан,Brass Valve,0.8
automaton_mainspring,Заводная пружина,Mainspring,0.6
automaton_calibration_gear,Калибровочная шестерня,Calibration Gear,0.5
automaton_gyroscope,Гироскоп,Gyroscope,2
automaton_optic_lens,Оптическая линза,Optic Lens,0.4
automaton_pressure_gauge,Давлениемер,Pressure Gauge,1
automaton_servo_joint,Сервошарнир,Servo Joint,2.5
automaton_logic_drum,Памятный барабан,Memory Drum,1.4
automaton_command_cylinder,Командный цилиндр,Command Cylinder,3.5
automaton_servo_core,Сервоядро,Servo Core,4
automaton_core,Ядро,Core,1
charcoal,Уголь,Coal,1
iron,Железо,Iron,1
copper,Медь,Copper,1
magnesium,Магний,Magnesium,1
quartz,Кварц,Quartz,1
calcite,Кальцит,Calcite,1
sylvine,Сильвин,Sylvine,1
claudium,Клавдий,Claudium,1
monazite,Монацит,Monazite,1
tin,Олово,Tin,1
zinc,Цинк,Zinc,1
nickel,Никель,Nickel,1
aerosil,Аэросил,Aerosil,1
vespar,Веспар,Vespar,1
fulgur,Фульгур,Fulgur,1
ionide,Ионид,Ionide,1
nulgas,Нульгаз,Nulgas,1
mist_condensate,Концентрат сухой дымки,Dry Mist Condensate,1
cloud_condensate,Облачный концентрат,Cloud Condensate,1
wet_condensate,Влажный концентрат,Wet Cloud Condensate,1
storm_condensate,Грозовой концентрат,Storm Condensate,1
azure_condensate,Лазурный концентрат,Azure Condensate,1
amber_condensate,Янтарный концентрат,Amber Condensate,1
green_condensate,Зеленый концентрат,Green Condensate,1
ion_condensate,Ионный концентрат,Ion Condensate,1
thermal_condensate,Тепловой концентрат,Thermal Condensate,1
crystal_condensate,Кристаллический концентрат,Crystal Condensate,1
claudic_condensate,Клавдиевый концентрат,Claudic Condensate,1
void_condensate,Пустотный концентрат,Void Condensate,1
windshale_ore,Ветровой сланец,Wind Shale Ore,1
dawnspar_ore,Зоревик,Dawn Spar Ore,1
bluebrass_ore,Синелатунь,Bluebrass Ore,1
needlechalk_ore,Игломел,Needle Chalk Ore,1
rainroot_ore,Дождекорень,Rainroot Ore,1
emberloam_ore,Жарозем,Emberloam Ore,1
glassmire_ore,Стеклотина,Glassmire Ore,1
stormcrust_ore,Грозовая корка,Storm Crust Ore,1
ashpearl_ore,Пепложемчуг,Ash Pearl Ore,1
liftmarrow_ore,Подъемная жила,Lift Marrow Ore,1
duskclay_ore,Сумеречная глина,Dusk Clay Ore,1
thundergrit_ore,Громовая крошка,Thunder Grit Ore,1
mirrorbasalt_ore,Зеркальный базальт,Mirror Basalt Ore,1
hollowchalk_ore,Полый мел,Hollow Chalk Ore,1
crownstone_ore,Венечник,Crownstone Ore,1
blackhoneycomb_ore,Черные соты,Black Honeycomb Ore,1
silverdrift_ore,Сребродрейф,Silver Drift Ore,1
embervein_ore,Жарожила,Ember Vein Ore,1
claudreef_ore,Клавдиевый риф,Claudium Reef Ore,1
nullcrust_ore,Нулевая корка,Null Crust Ore,1
windcalf_carcass,Туша ветротеленка,Wind Calf Carcass,1
windminnow_carcass,Тушка ветропескаря,Wind Minnow Carcass,1
mistwhale_carcass,Туша дымного кита,Mist Whale Carcass,1
sky_eel_carcass,Туша небесного угря,Sky Eel Carcass,1
stoneback_carcass,Туша камнеспина,Stoneback Carcass,1
leviathan_meat,Мясо левиафана,Leviathan Meat,1
leviathan_fat,Ворвань левиафана,Leviathan Blubber,0.92
leviathan_hide,Шкура левиафана,Leviathan Hide,1
leviathan_sinew,Сухожилия левиафана,Leviathan Sinew,1
bone_grit,Костяная мука,Bone Grit,1
acid,Кислота,Acid,1
leviathan_ichor,Ихор левиафана,Leviathan Ichor,1.05
steel,Сталь,Steel,1
bronze,Бронза,Bronze,1
brass,Латунь,Brass,1
elektron,Электрон,Elektron,1
bulat,Булат,Bulat,1
melchior,Мельхиор,Melchior,1
invar,Инвар,Invar,1
orkit,Оркит,Orkit,1
resin,Смола,Resin,1
rubber,Каучук,Rubber,1
bakelite,Бакелит,Bakelite,1
textolite,Текстолит,Textolite,1
fluoroplastic,Фторопласт,Fluoroplastic,1
aramid,Арамид,Aramid,1
siloxane,Силоксан,Siloxane,1
glass_ceramic,Стеклокерамика,Glass Ceramic,1
beam,Балка,Beam,1
plating,Обшивка,Plating,1
armor_plate,Бронелист,Armor Plate,1
bulkhead,Переборка,Bulkhead,1
deck_section,Палубная секция,Deck Section,1
airlock,Шлюз,Airlock,1
cowling,Кожух,Cowling,1
hatch,Люк,Hatch,1
engine,Двигатель,Engine,1
actuator,Привод,Actuator,1
transmission,Передача,Transmission,1
pump,Насос,Pump,1
compressor,Компрессор,Compressor,1
gyroscope,Гироскоп,Gyroscope,1
sensor,Сенсор,Sensor,1
calculator,Вычислитель,Calculator,1
power_block,Силовой блок,Power Block,1
propulsion_block,Ходовой блок,Propulsion Block,1
instrument_block,Приборный блок,Instrument Block,1
weapon_block,Орудийный блок,Weapon Block,1
defense_block,Защитный блок,Defense Block,1
cargo_block,Грузовой блок,Cargo Block,1
industry_block,Промысловый блок,Industry Block,1
hangar_block,Ангарный блок,Hangar Block,1
capital_ordnance_blank,Ордонансная заготовка,Ordnance Blank,1
capital_turret_ring,Башенный погон,Turret Ring,1
capital_breech_group,Затворная группа,Breech Group,1
capital_rangefinder_prism,Дальномерная призма,Rangefinder Prism,1
capital_casemate_insert,Казематный вкладыш,Casemate Insert,1
wind_magnetic_coil,Магнитная катушка,Magnetic Coil,1
wind_turbine_blade,Турбинная лопатка,Turbine Blade,1
wind_cargo_sling,Грузовая стропа,Cargo Sling,1
