id_auxiliary,base_package_id,upgrade_level,ship_id,local_name_ru,slot_role,kind,power_multiplier,upgrade_cost_multiplier,range_m,damage,projectile_speed_ms,projectile_hp,explosive_kg,projectiles_per_salvo,reload_seconds,energy_cost,cycle_seconds,cooldown_seconds,repair_hp_per_cycle,requires_energy,notes_ru
korshun_aux_torpedo_triple_side,,base,capital_patrol_frigate_r02,Бортовые трехтрубные торпеды,auxiliary,torpedo,1.00,1.00,10000,5000,120,450,120,6,70,0,0,0,0,false,Три трубы на каждый борт летят прямо медленно и очень больно
korshun_aux_torpedo_triple_side_plus,korshun_aux_torpedo_triple_side,plus,capital_patrol_frigate_r02,Бортовые трехтрубные торпеды +,auxiliary,torpedo,1.50,4.00,12000,7500,120,700,180,6,65,0,0,0,0,false,Очень дорогие тяжелые торпеды с лучшей живучестью
korshun_aux_side_nurs,,base,capital_patrol_frigate_r02,Бортовые НУРСы,auxiliary,rocket_salvo,1.00,1.00,3000,220,420,20,5,24,12,0,0,0,0,false,Залповая система для налета и отхода
korshun_aux_side_nurs_plus,korshun_aux_side_nurs,plus,capital_patrol_frigate_r02,Бортовые НУРСы +,auxiliary,rocket_salvo,1.50,4.00,3500,330,480,30,6.25,30,10,0,0,0,0,false,Более плотный и дальний залп
korshun_aux_harpoon,,base,capital_patrol_frigate_r02,Гарпунная пушка,auxiliary,harpoon,1.00,1.00,1800,55,360,100,1000,1,5,280,300,0,2,false,Паровая гарпунная пушка с тросом пробивает цель и держит ее натяжением
korshun_aux_harpoon_plus,korshun_aux_harpoon,plus,capital_patrol_frigate_r02,Гарпунная пушка +,auxiliary,harpoon,1.45,4.00,2200,80,440,150,1500,1,4,420,360,0,3,false,Усиленный трос и мощный выстрел для охоты на более крупные цели
korshun_aux_magnet,,base,capital_patrol_frigate_r02,Магнит,auxiliary,magnet,1.00,1.00,900,0,0,0,0,0,0,35,8,0,0,true,Притягивает груз и обломки при наличии заряда батареи
korshun_aux_magnet_plus,korshun_aux_magnet,plus,capital_patrol_frigate_r02,Магнит +,auxiliary,magnet,1.45,4.00,1200,0,0,0,0,0,0,45,6,0,0,true,Дальше тянет и быстрее проходит цикл
korshun_aux_salvage_magnet,,base,capital_patrol_frigate_r02,Сальважный магнитный луч,auxiliary,salvage_magnet,1.00,1.00,1000,22,0,0,0,0,0,20,5,0,0,true,Держит малый wreck рядом с кораблем и циклами достает готовые детали автоматонов
korshun_aux_salvage_magnet_plus,korshun_aux_salvage_magnet,plus,capital_patrol_frigate_r02,Сальважный магнитный луч +,auxiliary,salvage_magnet,1.45,4.00,1200,32,0,0,0,0,0,24,4,0,0,true,Быстрее нарабатывает доступ и надежнее потрошит ценные wreck-и автоматонов
korshun_aux_siphon,,base,capital_patrol_frigate_r02,Сифон облачного конденсата,auxiliary,siphon,1.00,1.00,0,24,0,0,0,1,0,9,0,0,0,true,Добывает сырой облачный конденсат только при включении и наличии энергии
korshun_aux_siphon_plus,korshun_aux_siphon,plus,capital_patrol_frigate_r02,Сифон облачного конденсата +,auxiliary,siphon,1.45,4.00,0,36,0,0,0,2,0,14,0,0,0,true,Два независимых канала быстрее черпают одно или несколько касающихся облаков
korshun_aux_cloud_concentrator,,base,capital_patrol_frigate_r02,Концентратор облачного сырья,small,cloud_concentrator,1.00,1.00,0,20,0,0,0,0,0,12,5,0,0,true,Циклами выбрасывает воду за борт и повышает концентрацию сырого конденсата
korshun_aux_cloud_concentrator_plus,korshun_aux_cloud_concentrator,plus,capital_patrol_frigate_r02,Концентратор облачного сырья +,small,cloud_concentrator,1.45,4.00,0,32,0,0,0,0,0,18,4,0,0,true,Быстрее и мощнее выгоняет воду но все еще не делает чистый ресурс
korshun_aux_repair_beam,,base,capital_patrol_frigate_r02,Ремонтный луч,auxiliary,repair_beam,1.00,1.00,800,0,0,0,0,0,0,50,10,5,700,true,Автоматически чинит союзника при возможности
korshun_aux_repair_beam_plus,korshun_aux_repair_beam,plus,capital_patrol_frigate_r02,Ремонтный луч +,auxiliary,repair_beam,1.50,4.00,1000,0,0,0,0,0,0,70,10,4,1050,true,Дорогой мощный ремонтный цикл
korshun_aux_scanner_hacker,,base,capital_patrol_frigate_r02,Сканер-взломщик,auxiliary,scanner_hacker,1.00,1.00,1600,0,0,0,0,0,0,45,8,5,0,true,Облучает цель для разведки и будущего взлома
korshun_aux_scanner_hacker_plus,korshun_aux_scanner_hacker,plus,capital_patrol_frigate_r02,Сканер-взломщик +,auxiliary,scanner_hacker,1.45,4.00,2200,0,0,0,0,0,0,60,6,4,0,true,Быстрее и дальше раскрывает цель
