id_weapon,base_package_id,upgrade_level,ship_id,local_name_ru,slot_role,power_multiplier,upgrade_cost_multiplier,range_m,damage,damage_type,resistance_ignore_percent,barrels_or_projectiles,shots_per_minute,reload_seconds,projectile_speed_ms,splash_radius_m,explosive_kg,dispersion_m_per_km,shell_type,is_machinegun_aura,machinegun_damage_per_second,notes_ru
korshun_main_37mm_mg_aura,,base,capital_patrol_frigate_r02,37 мм пулеметная аура,main,1.00,1.00,1000,0,kinetic,0,0,0,0,0,0,0,0,MG,true,120,Прямой устойчивый урон по мелким и слабозащищенным целям
korshun_main_37mm_mg_aura_plus,korshun_main_37mm_mg_aura,plus,capital_patrol_frigate_r02,37 мм пулеметная аура +,main,1.50,4.00,1200,0,kinetic,0,0,0,0,0,0,0,0,MG,true,180,Усиленная аура против мелких целей
korshun_main_57mm_triple_autocannon,,base,capital_patrol_frigate_r02,57 мм встроенная тройная автопушка,main,1.00,1.00,2400,70,kinetic,18,3,60,0,760,0,0,45,AP,false,0,Три встроенных ствола ближе к ПМК с высоким темпом
korshun_main_57mm_triple_autocannon_plus,korshun_main_57mm_triple_autocannon,plus,capital_patrol_frigate_r02,57 мм встроенная тройная автопушка +,main,1.50,4.00,2800,100,kinetic,24,3,70,0,820,0,0,35,AP,false,0,Быстрее точнее и пробивнее
korshun_main_76mm_twin,,base,capital_patrol_frigate_r02,76 мм спаренная башня,main,1.00,1.00,3000,260,kinetic,24,2,22,0,620,0,0,32,AP,false,0,Стандартный главный калибр Коршуна с хорошим уроном в минуту
korshun_main_76mm_twin_plus,korshun_main_76mm_twin,plus,capital_patrol_frigate_r02,76 мм спаренная башня +,main,1.50,4.00,3400,390,kinetic,32,2,24,0,700,0,0,25,AP,false,0,Дорогая версия стандартного ГК с сильным приростом
korshun_main_100mm_single,,base,capital_patrol_frigate_r02,100 мм одинарная башня,main,1.00,1.00,4300,280,kinetic,30,1,18,0,720,0,0,34,AP,false,0,Дальше точнее и пробивнее но ниже урон в минуту
korshun_main_100mm_single_plus,korshun_main_100mm_single,plus,capital_patrol_frigate_r02,100 мм одинарная башня +,main,1.50,4.00,5000,420,kinetic,40,1,20,0,800,0,0,28,AP,false,0,Дальняя точная и очень пробивная версия
korshun_main_nurs_turret,,base,capital_patrol_frigate_r02,НУРС-башня,main,1.00,1.00,3000,220,explosive,35,16,0,12,420,6.3,5,80,HE,false,0,Залп мелких неуправляемых ракет хаотичной тучкой с короткой перезарядкой
korshun_main_nurs_turret_plus,korshun_main_nurs_turret,plus,capital_patrol_frigate_r02,НУРС-башня +,main,1.50,4.00,3500,330,explosive,42,20,0,10,480,7.1,6.25,68,HE,false,0,Больше мелких ракет выше пробитие и быстрее перезарядка
korshun_main_200mm_mortar,,base,capital_patrol_frigate_r02,200 мм бомбовая мортира,main,1.00,1.00,600,2200,explosive,38,1,0,14,170,10,12.5,55,HE,false,0,Короткий ствол малая дальность и сильный взрыв
korshun_main_200mm_mortar_plus,korshun_main_200mm_mortar,plus,capital_patrol_frigate_r02,200 мм бомбовая мортира +,main,1.50,4.00,700,3300,explosive,50,1,0,12,200,13,21.125,45,HE,false,0,Сильно тяжелее взрыв и немного лучше дальность
