id_ore_type,local_name_ru,local_name_en,ore_item,base_value,natural_shed_intensity,shot_shed_kg,fragment_fall_speed_ms,color_hex,composition_id_item,composition_share
windshale,Ветровой сланец,Wind Shale,windshale_ore,1,0.90,4,4.0,#8A8272,"iron,calcite","0.80,0.20"
dawnspar,Зоревик,Dawn Spar,dawnspar_ore,2,0.85,4,4.1,#A58F6B,"iron,quartz,tin","0.55,0.30,0.15"
bluebrass,Синелатунь,Bluebrass,bluebrass_ore,3,0.80,5,4.2,#627C91,"copper,iron,zinc","0.45,0.35,0.20"
needlechalk,Игломел,Needle Chalk,needlechalk_ore,4,0.75,5,4.2,#C2BFA6,"calcite,magnesium,quartz","0.50,0.30,0.20"
rainroot,Дождекорень,Rainroot,rainroot_ore,5,0.70,5,4.0,#7E9B78,"magnesium,calcite,tin","0.45,0.30,0.25"
emberloam,Жарозем,Emberloam,emberloam_ore,6,0.65,6,4.3,#A16A43,"copper,charcoal,iron","0.35,0.35,0.30"
glassmire,Стеклотина,Glassmire,glassmire_ore,7,0.60,6,4.4,#78A6A1,"quartz,magnesium,calcite","0.45,0.30,0.25"
stormcrust,Грозовая корка,Storm Crust,stormcrust_ore,8,0.55,7,4.5,#60677D,"iron,monazite,copper","0.45,0.35,0.20"
ashpearl,Пепложемчуг,Ash Pearl,ashpearl_ore,9,0.50,7,4.5,#938C82,"quartz,nickel,calcite","0.40,0.35,0.25"
liftmarrow,Подъемная жила,Lift Marrow,liftmarrow_ore,10,0.45,8,4.0,#7FA894,"claudium,magnesium,calcite","0.40,0.35,0.25"
duskclay,Сумеречная глина,Dusk Clay,duskclay_ore,12,0.42,8,4.8,#56506A,"nickel,quartz,calcite","0.45,0.30,0.25"
thundergrit,Громовая крошка,Thunder Grit,thundergrit_ore,14,0.38,9,4.9,#6E5F49,"iron,monazite,quartz","0.50,0.30,0.20"
mirrorbasalt,Зеркальный базальт,Mirror Basalt,mirrorbasalt_ore,16,0.34,9,5.0,#535B63,"quartz,nickel,copper","0.45,0.35,0.20"
hollowchalk,Полый мел,Hollow Chalk,hollowchalk_ore,18,0.30,10,4.7,#B9B4A2,"calcite,sylvine,tin","0.35,0.40,0.25"
crownstone,Венечник,Crownstone,crownstone_ore,22,0.26,10,5.2,#6C5638,"quartz,claudium,monazite","0.35,0.40,0.25"
blackhoneycomb,Черные соты,Black Honeycomb,blackhoneycomb_ore,26,0.22,11,5.4,#2F2E3A,"nickel,sylvine,quartz","0.45,0.35,0.20"
silverdrift,Сребродрейф,Silver Drift,silverdrift_ore,11,0.45,8,3.6,#B8CDD1,"magnesium,quartz,iron","0.40,0.35,0.25"
embervein,Жарожила,Ember Vein,embervein_ore,13,0.40,9,3.8,#B46D47,"charcoal,copper,iron","0.40,0.35,0.25"
claudreef,Клавдиевый риф,Claudium Reef,claudreef_ore,17,0.28,10,3.4,#78A997,"claudium,calcite,magnesium","0.55,0.25,0.20"
nullcrust,Нулевая корка,Null Crust,nullcrust_ore,24,0.20,11,3.2,#665A80,"sylvine,nickel,claudium","0.50,0.30,0.20"
