category_id,local_name_ru,local_name_en,item_ids,source_config,notes_ru
currency,Валюты,Currencies,freight|solid,Item.csv,Фрахт софт-валюта; Солид хард-валюта
faction_currency,Фракционные ценности,Faction Valuables,gems|nobel|perfcards|amber,Item.csv,Профильные ценности фракций и торговцев
ore,Руды,Ores,windshale_ore|dawnspar_ore|bluebrass_ore|needlechalk_ore|rainroot_ore|emberloam_ore|glassmire_ore|stormcrust_ore|ashpearl_ore|liftmarrow_ore|duskclay_ore|thundergrit_ore|mirrorbasalt_ore|hollowchalk_ore|crownstone_ore|blackhoneycomb_ore|silverdrift_ore|embervein_ore|claudreef_ore|nullcrust_ore,Ore_type.csv,Сырые руды из глыб добычи
processed_mineral,Минералы,Processed Minerals,iron|copper|magnesium|quartz|charcoal|calcite|sylvine|claudium|monazite|tin|zinc|nickel|gems,Ore_type.csv,Выходы переработки руды
cloud_condensate,Конденсаты облаков,Cloud Condensates,mist_condensate|cloud_condensate|wet_condensate|storm_condensate|azure_condensate|amber_condensate|green_condensate|ion_condensate|thermal_condensate|crystal_condensate|claudic_condensate|void_condensate,Gas_condensate_type.csv,Сырые конденсаты газовых облаков
cloud_gas_fraction,Фракции газов,Cloud Gas Fractions,aerosil|vespar|fulgur|ionide|nulgas,Gas_condensate_type.csv,Выходы переработки облачных конденсатов
leviathan_carcass,Туши левиафанов,Leviathan Carcasses,windcalf_carcass|windminnow_carcass|mistwhale_carcass|sky_eel_carcass|stoneback_carcass,Leviathan_type.csv,Сырье после охоты на левиафанов
leviathan_butchery,Разделка левиафанов,Leviathan Butchery,leviathan_meat|leviathan_fat|leviathan_hide|leviathan_sinew|bone_grit|acid|leviathan_ichor|amber|claudium,Leviathan_type.csv,Материалы после разделки туш
prepared_material,Подготовленные материалы,Prepared Materials,steel|bronze|brass|elektron|bulat|melchior|invar|orkit|resin|rubber|bakelite|textolite|fluoroplastic|aramid|siloxane|glass_ceramic,ship_prepared_material_recipes.csv,Материалы R4-R5 для корабельного производства
ship_part,Корабельные детали,Ship Parts,beam|plating|armor_plate|bulkhead|deck_section|airlock|cowling|hatch|engine|actuator|transmission|pump|compressor|gyroscope|sensor|calculator,ship_part_recipes.csv,Корпусные и машинно-приборные детали R6-R7
ship_block,Корабельные блоки,Ship Blocks,power_block|propulsion_block|instrument_block|weapon_block|defense_block|cargo_block|industry_block|hangar_block,ship_block_recipes.csv,Крупные сборочные блоки для R8-R9 кораблей
ship_license,Флагманские лицензии,Flagship Licenses,capital_flagship_license|wind_houses_flagship_license|mist_synod_flagship_license|stone_vault_flagship_license|factory_ark_flagship_license|devourers_flagship_license,faction_r10_licenses.csv,Одноразовые фракционные лицензии для производства кораблей десятого ранга
faction_component,Фракционные комплектующие,Faction Components,capital_ordnance_blank|capital_turret_ring|capital_breech_group|capital_rangefinder_prism|capital_casemate_insert|wind_magnetic_coil|wind_turbine_blade|wind_cargo_sling|wind_course_gyro|wind_launch_cup|mist_gas_membrane|mist_separator_cassette|mist_polymer_cell|mist_pyrophoric_paste|mist_cartridge|stone_crushing_crown|stone_throat_grate|stone_armor_wedge|stone_gun_cradle|stone_quarry_insert|ark_precision_drive|ark_servo_ring|ark_counting_cell|ark_repair_lens|ark_hangar_cradle|dev_harpoon_winch|dev_tension_drum|dev_hook_chain|dev_bone_cutter|dev_bomb_cowling,Item.csv,Покупаемые у фракций комплектующие-залочки для R5+ кораблей и высоких производственных цепочек
automaton_salvage,Детали автоматонов,Automaton Parts,automaton_core|automaton_relay|automaton_coil|automaton_contact_comb|automaton_brass_valve|automaton_mainspring|automaton_calibration_gear|automaton_gyroscope|automaton_optic_lens|automaton_pressure_gauge|automaton_servo_joint|automaton_logic_drum|automaton_command_cylinder|automaton_servo_core,Item.csv,Точные узлы после разборки автоматонов
sublikat,Субликаты,Sublikats,resonant_sublikat|null_sublikat|phase_sublikat|vector_sublikat|gray_sublikat|spectral_sublikat|coronal_sublikat|deep_sublikat|inertial_sublikat,Item.csv,Высотная космическая пыль в ледяных глыбах
service_item,Служебные предметы,Service Items,water|tools|weapon|paper|cloth|mechanisms|design_experience|fundamental_experience|rock_info|airframe_kit|module_kit|munition_bundle|chemical_batch,Item.csv,Рабочие предметы текущего города и сессии


