"id_ship","local_name_ru","local_name_en","rank","faction_id","faction_name_ru","ship_class_id","ship_class_name_ru","class_name_ru","role_id","role_name_ru","catalog_scope","branch_id","branch_name_ru","tree_tier","tree_row","parent_ship_id","required_technology","hull_id","claudium_loop_id","special_module_id","upgrade_hull_id","upgrade_claudium_loop_id","upgrade_special_module_id","visual_model_id","visual_shape_id","visual_color_hex","cost_currency_item","cost_amount","research_cost_amount","firepower","armor","durability","speed","maneuverability","cargo","cargo_capacity_tons","utility","summary_ru","defense","mobility","stealth","warfare","mining","harvesting","hunting","hacking","salvage","survey","repair","lore_ru"
"capital_starter","Пионер","Пионер","1","capital","Империя","prototype","Starter","Starter","starter","Starter","development","starter","Starter","1","0","","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","0","0","12","12","12","52","52","30","22","30","Учебный универсальный корабль со штатной пушкой и дробилкой руды.","12","52","45","12","30","","","","","","","«Пионер» - первый столичный корабль и самый простой универсальный старт: маленький корпус со штатной пушкой, базовой дробилкой руды и минимумом лишних систем. Он не развивается в ветку, зато задает имперскую норму: даже бесплатный корабль должен уметь стрелять, копать, лететь и вернуться с первым опытом."
"wind_houses_starter","Ласточка","Ласточка","1","wind_houses","Ветровые Дома","prototype","Starter","Starter","starter","Starter","development","starter","Starter","1","0","","basic_airship","","","","","","","placeholder_square","square","#1CB7B0","freight","0","0","0","8","8","76","76","11","23","11","Небоевой курьер с магнитом.","8","76","86","","11","","","","10","","","«Ласточка» - стартовый корабль Ветровых Домов: маленькая курьерская трубка с магнитом и почти без боевой части. Она учит главной логике фракции: быстро подлететь, подхватить груз или обломок и уйти раньше, чем бой станет честным."
"mist_synod_starter","Капля","Капля","1","mist_synod","Туманный Синод","prototype","Starter","Starter","starter","Starter","development","starter","Starter","1","0","","basic_airship","","","","","","","placeholder_square","square","#66A36D","freight","0","0","8","9","9","72","72","15","25","15","Первый безопасный вход в газовые облака.","9","72","58","8","","15","","","","","","«Капля» - стартовый корабль Туманного Синода: маленькое герметичное яйцо с сифоном и одной фугасной пушкой вперед. Он сразу показывает фракционный принцип: газ не враг, а среда, в которой корабль прячется, чинится и добывает."
"stone_vault_starter","Жерло","Жерло","1","stone_vault","Каменный Свод","prototype","Starter","Starter","starter","Starter","development","starter","Starter","1","0","","basic_airship","","","","","","","placeholder_square","square","#8B7A5A","freight","0","0","0","22","22","23","23","14","36","14","Стартовый приемник падающей руды без магнита.","22","23","21","","14","","","","","","","«Жерло» - стартовый корабль Каменного Свода: маленькая бронированная ванна с приемным горлом для падающей руды. У него еще нет магнита, зато уже понятна философия фракции: пережить удар сверху и увезти то, что другие даже не рискнули ловить."
"factory_ark_starter","Искра","Искра","1","factory_ark","Заводные Ковчеги","prototype","Starter","Starter","starter","Starter","development","starter","Starter","1","0","","basic_airship","","","","","","","placeholder_square","square","#B36B2C","freight","0","0","10","14","14","47","47","0","24","21","X-Ray и маленькая скорострельная пушка.","14","47","74","10","","","","","","21","","«Искра» - стартовый корабль Заводных Ковчегов: маленький корпус с X-Ray и одной скорострельной пушкой. Он нужен не для честной перестрелки, а для первого знакомства с заводной логикой: увидеть скрытый узел, дать автоматике цель и не подставить хрупкую цитадель."
"devourers_starter","Клык","Клык","1","devourers","Пожиратели","prototype","Starter","Starter","starter","Starter","development","starter","Starter","1","0","","basic_airship","","","","","","","placeholder_square","square","#8F3A3A","freight","0","0","15","14","14","75","75","16","25","16","Малый гарпун и дробовая пушка.","14","75","56","15","","","16","","","","","«Клык» - стартовый корабль Пожирателей: маленький охотник с слабым гарпуном и дробовой пушкой. Он сразу показывает фракционную правду: близко страшно, издалека неудобно, а добычу нужно не просто убить, но еще и удержать."
"capital_patrol_frigate_r02","Коршун","Коршун","2","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","2","0","capital_starter","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","9000","140","17","19","19","79","79","27","37","0","PatrolFrigate R2.","18","72","52","20","","","","","","","","Коршун развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. Это ранний серийный корабль после «Пионера», еще простой, но уже построенный по столичным стандартам. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r03","Стриж","Стриж","3","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","3","0","capital_patrol_frigate_r02","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","25000","460","25","18","18","60","60","30","40","0","PatrolFrigate R3.","20","68","60","28","","","","","","","","Стриж развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. На третьем ранге Империя исправляет первые эксплуатационные жалобы, не меняя общую школу корпуса. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r04","Шершень","Шершень","4","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","4","0","capital_patrol_frigate_r03","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","60000","1250","26","26","26","79","79","31","42","0","PatrolFrigate R4.","24","78","54","32","","","","","","","","Шершень развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. Четвертый ранг приносит взрослый модуль или новую схему вооружения, которую потом будут развивать дальше. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r05","Горностай","Горностай","5","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","5","0","capital_patrol_frigate_r04","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","135000","3200","36","30","30","86","86","33","45","0","PatrolFrigate R5.","28","82","56","40","","","","","","","","Горностай развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. Пятый ранг стал ответом на более плотные миссии и первые столкновения с чужими фракционными приемами. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r06","Вымпел","Вымпел","6","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","6","0","capital_patrol_frigate_r05","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","310000","7800","47","33","33","64","64","36","48","0","PatrolFrigate R6.","30","74","58","48","","","","","","","","Вымпел развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. Шестой ранг собирает опыт дальних рейдов: корабль становится надежнее, но еще не перегружен старшими узлами. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r07","Ястреб","Ястреб","7","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","7","0","capital_patrol_frigate_r06","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","720000","18000","51","29","29","67","67","38","51","0","PatrolFrigate R7.","32","78","62","54","","","","","","","","Ястреб развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. С этого места линия уже выглядит как зрелая имперская программа, а не как увеличенный ранний корпус. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r08","Сокол","Сокол","8","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","8","0","capital_patrol_frigate_r07","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","1650000","42000","51","31","31","86","86","39","53","0","PatrolFrigate R8.","33","82","58","58","","","","","","","","Сокол развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. Восьмой ранг получает дорогие заимствованные решения, потому что столица может покупать и адаптировать почти все. В характеристиках сейчас сильнее всего видны мобильность и вооружение; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r09","Кречет","Кречет","9","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","9","0","capital_patrol_frigate_r08","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","3750000","92000","56","32","32","76","76","41","55","0","PatrolFrigate R9.","34","84","60","66","","","","","","","","Кречет развивает линию «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей. Девятый ранг почти доводит идею до предела, оставляя финалу последнюю сборку и полировку доктрины. В характеристиках сейчас сильнее всего видны мобильность и вооружение; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_patrol_frigate_r10","Орлан","Орлан","10","capital","Империя","frigate","Frigate","Frigate","patrol","Patrol","development","patrol_frigate","PatrolFrigate","10","0","capital_patrol_frigate_r09","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","8400000","205000","71","33","33","85","85","43","58","0","PatrolFrigate R10.","36","86","62","74","","","","","","","","Орлан - финальный T1-образец линии «патрульный фрегат»: быстрый боевой фрегат с автопушками и передними торпедами для честного патруля и добивания малых целей, доведенный до столичного стандарта. Мобильность и вооружение растут первыми, но корпус остается средним, без фракционной крайности. Поэтому в цифрах первыми читаются мобильность и вооружение, а широкая имперская школа заметна в отсутствии совсем провальных вторичных систем."
"capital_recon_frigate_r02","Фонарщик","Фонарщик","2","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","2","1","capital_starter","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","9000","140","7","13","13","75","75","23","31","26","ReconFrigate R2.","14","74","68","8","","","","","","28","","Фонарщик развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. Это ранний серийный корабль после «Пионера», еще простой, но уже построенный по столичным стандартам. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r03","Лучник","Лучник","3","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","3","1","capital_recon_frigate_r02","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","25000","460","10","15","15","80","80","24","33","30","ReconFrigate R3.","16","80","72","12","","","","","","34","","Лучник развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. На третьем ранге Империя исправляет первые эксплуатационные жалобы, не меняя общую школу корпуса. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r04","Искатель","Искатель","4","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","4","1","capital_recon_frigate_r03","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","60000","1250","19","22","22","83","83","27","37","48","ReconFrigate R4.","20","82","76","20","","","","","","48","","Искатель развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. Четвертый ранг приносит взрослый модуль или новую схему вооружения, которую потом будут развивать дальше. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r05","Визир","Визир","5","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","5","1","capital_recon_frigate_r04","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","135000","3200","18","17","17","85","85","29","39","56","ReconFrigate R5.","21","84","70","22","","","","10","","58","","Визир развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. Пятый ранг стал ответом на более плотные миссии и первые столкновения с чужими фракционными приемами. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r06","Дозор","Дозор","6","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","6","1","capital_recon_frigate_r05","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","310000","7800","29","19","19","94","94","30","41","63","ReconFrigate R6.","23","88","74","28","","","","18","","64","","Дозор развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. Шестой ранг собирает опыт дальних рейдов: корабль становится надежнее, но еще не перегружен старшими узлами. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r07","Лоцман","Лоцман","7","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","7","1","capital_recon_frigate_r06","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","720000","18000","35","29","29","85","85","33","44","72","ReconFrigate R7.","26","86","80","34","","","","24","","72","","Лоцман развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. С этого места линия уже выглядит как зрелая имперская программа, а не как увеличенный ранний корпус. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r08","Следопыт","Следопыт","8","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","8","1","capital_recon_frigate_r07","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","1650000","42000","41","25","25","96","96","35","47","81","ReconFrigate R8.","28","88","84","38","","","","30","","78","","Следопыт развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. Восьмой ранг получает дорогие заимствованные решения, потому что столица может покупать и адаптировать почти все. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
