id_technology,local_name_ru,local_name_en,rank,branch,category_id,category_name_ru,tree_column,tree_row,icon_text,cycle_time_seconds,required_cycles,sp_cost_by_level,required_technology,cycle_cost_item,cycle_cost_amount,modifier_id,modifier_operation,modifier_value_per_level,modifier_target_id,lock_summary_ru,unlock_summary_ru
basic_airship,Airship Basics,Airship Basics,0,starter,starter,Starter,0,0,AIR,0,1,0,,,,starter_airship_unlock,unlock,1,session_core,,Starter Pioneer and the base ship assembly rules.
tech_base_storehouse_ledgers,Складские ведомости,Storehouse Ledgers,1,base,base,База,1,0,BOX,0,5,"1000,5000,20000,80000,250000",basic_airship,"freight,metal","120,8",warehouse_capacity,add_percent,0.04,base_storage,,+4% емкости складов базы за уровень.
tech_base_queue_dispatch,Диспетчерская очередь,Queue Dispatch,2,base,base,База,2,0,CLK,0,5,"1000,5000,20000,80000,250000",tech_base_storehouse_ledgers,"freight,tools","160,4",base_project_speed,add_percent,0.03,base_projects,,+3% скорости базовых проектов за уровень.
tech_base_dock_loading_crews,Доковые погрузочные бригады,Dock Loading Crews,2,base,base,База,2,1,DOCK,0,5,"1000,5000,20000,80000,250000",tech_base_storehouse_ledgers,"freight,metal","180,10",dock_loading_speed,add_percent,0.03,docks,,+3% скорости погрузки и разгрузки за уровень.
tech_prod_ore_sorting_tables,Рудные сортировочные таблицы,Ore Sorting Tables,1,production,production,Производство,1,0,ORE,0,5,"1000,5000,20000,80000,250000",basic_airship,"freight,windshale_ore","120,12",processing_yield,add_percent,0.03,ore_processing,,+3% выхода переработки руды за уровень.
tech_prod_refinery_heat_recovery,Возврат тепла рафинерии,Refinery Heat Recovery,2,production,production,Производство,2,0,HEAT,0,5,"1000,5000,20000,80000,250000",tech_prod_ore_sorting_tables,"freight,cloud_condensate","190,10",processing_cycle_speed,add_percent,0.025,refinery,,+2.5% скорости переработки за уровень.
tech_prod_cascade_jigs,Каскадные сборочные кондукторы,Cascade Assembly Jigs,3,production,production,Производство,3,0,JIG,0,5,"1000,5000,20000,80000,250000",tech_prod_refinery_heat_recovery,"freight,mechanisms","240,4",manufacturing_speed,add_percent,0.03,cascade_workshop,,+3% скорости каскадной сборки за уровень.
tech_ship_cargo_rational_stowage,Рациональная укладка груза,Rational Cargo Stowage,1,ships,ships,Корабли,1,0,CARGO,0,5,"1000,5000,20000,80000,250000",basic_airship,"freight,tools","140,3",cargo_capacity,add_percent,0.04,ships,,+4% грузового объема кораблей за уровень.
tech_ship_claudium_loop_calibration,Калибровка клавдиевого контура,Claudium Loop Calibration,2,ships,ships,Корабли,2,0,LIFT,0,5,"1000,5000,20000,80000,250000",tech_ship_cargo_rational_stowage,"freight,claudium","190,8",claudium_lift_efficiency,add_percent,0.03,ship_claudium_loop,,+3% эффективности подъема за уровень.
tech_ship_engine_valve_lubrication,Клапанная смазка,Engine Valve Lubrication,3,ships,ships,Корабли,3,0,ENG,0,5,"1000,5000,20000,80000,250000",tech_ship_claudium_loop_calibration,"freight,charcoal","230,12",fuel_use,add_percent,-0.02,ship_engine,,−2% расхода топлива за уровень.
tech_log_route_weather_ledgers,Погодные маршрутные журналы,Route Weather Ledgers,1,logistics,logistics,Логистика,1,0,MAP,0,5,"1000,5000,20000,80000,250000",basic_airship,"freight,paper","110,2",route_safety,add_percent,0.03,routes,,+3% безопасности маршрутов за уровень.
tech_log_local_pilot_signals,Сигналы островных пилотов,Local Pilot Signals,2,logistics,logistics,Логистика,2,0,SIG,0,5,"1000,5000,20000,80000,250000",tech_log_route_weather_ledgers,"freight,cloth","170,6",local_pilot_speed,add_percent,0.04,island_pilots,,+4% скорости островных пилотов за уровень.
tech_log_courier_manifest_codes,Коды курьерских манифестов,Courier Manifest Codes,3,logistics,logistics,Логистика,3,0,POST,0,5,"1000,5000,20000,80000,250000",tech_log_local_pilot_signals,"freight,design_experience","210,6",courier_reward_freight,add_percent,0.03,courier_service,,+3% фрахтовой выгоды курьерских заявок за уровень.
tech_research_archive_indexing,Индексация архивов,Archive Indexing,1,research,research,Архивы,1,0,BOOK,0,5,"1000,5000,20000,80000,250000",basic_airship,"freight,design_experience","120,5",research_speed,add_percent,0.04,technology_research,,+4% выработки SP архивов за уровень.
tech_research_field_notebooks,Полевые журналы,Field Notebooks,2,research,research,Архивы,2,0,NOTE,0,5,"1000,5000,20000,80000,250000",tech_research_archive_indexing,"freight,rock_info","160,8",observation_gain,add_percent,0.05,field_observation,,+5% наблюдений от разведки за уровень.
tech_research_recipe_comparison,Сравнение рецептов,Recipe Comparison,3,research,research,Архивы,3,0,LAB,0,5,"1000,5000,20000,80000,250000",tech_research_field_notebooks,"freight,design_experience","220,8",recipe_quality_bonus,add_percent,0.02,recipes,,+2% качества рецептов за уровень.
tech_research_ship_teardown,Разбор изношенных кораблей,Ship Teardown,4,research,research,Архивы,4,0,SHIP,0,5,"1000,5000,20000,80000,250000",tech_research_recipe_comparison,"freight,design_experience","260,8",design_experience_gain,add_percent,0.05,shipyard_analysis,,+5% очков освоения от разборки кораблей за уровень.
