builder_yard_level,min_anchor_level,builder_slots,upgrade_speed_bonus_percent,free_speedup_min_per_day,parallel_clearing_slots,notes_ru
1,1,1,0,5,1,Один строитель и один участок расчистки.
3,3,1,4,10,1,Ранний комфорт без второго строителя.
5,5,2,7,15,1,Второй строитель как первый большой milestone.
8,8,2,10,20,2,Можно держать стройку и расчистку без полного стопора.
10,10,2,13,30,2,Закрывает ранний порт.
13,13,3,16,40,2,Третий строитель для средней базы.
16,16,3,19,55,2,Дорогие улучшения становятся терпимее.
20,20,3,23,75,3,Верхняя база с несколькими таймерами.
24,24,4,27,100,3,Четвертый строитель для позднего T1.
27,27,4,31,130,3,Подготовка к дорогим R9-R10 зданиям.
30,30,5,35,180,4,Потолок первой версии строительной очереди.
