anchor_level,ship_docks_total,repair_dock_slots,courier_pads,contract_slots,notes_ru
1,3,0,0,0,Стартовые три обычных дока для расходных кораблей.
3,4,0,2,0,Курьерка начинает открываться после нижней набережной.
5,5,1,4,0,Ремонтный док и самолет столицы входят в регулярный цикл.
8,6,1,6,0,Игрок уже может держать несколько рабочих кораблей.
10,6,1,8,1,Курьерка выходит на целевой полный экран.
13,7,1,8,1,Верфь и сборочный док требуют больше места.
16,8,1,8,2,Средняя база поддерживает специализацию флота.
20,9,2,8,2,Второй слот ремонта возможен как поздний комфорт.
24,11,2,8,3,Внешние причалы и контрактные назначения.
30,12,2,8,4,Потолок первой версии порта без бесконечных слотов.
