mission_profile,mission_profile_ru,ship_id,local_name_ru,rank,faction_id,faction_name_ru,ship_class_id,role_id,branch_id,primary_activity,primary_activity_ru,primary_activity_score,combat_score,mining_score,gas_score,hunting_score,salvage_score,relic_score,repair_score,courier_score,effectiveness_multiplier,class_income_multiplier,mission_scope,mission_archetype,mission_base_fe,mission_required_power,ship_power_estimate,mission_success_factor,requirement_details,mission_capacity_multiplier,five_sortie_floor_fe,five_sortie_floor_applied,variance_multiplier,gross_total_value_fe,accumulated_total_value_fe,material_value_fe,intangible_value_fe,extraction_intangible_multiplier,extraction_intangible_bonus_fe,destroyed_total_value_fe,destroyed_liquid_fe,extracted_total_value_fe,extracted_liquid_fe,total_value_fe,freight_fe,extracted_freight_fe,resource_fe,profile_currency_fe,reputation_fe,extracted_reputation_fe,info_fe,liquid_fe,base_ship_xp,destroyed_ship_xp,extracted_ship_xp,ship_xp,base_mastery_points,destroyed_mastery_points,extracted_mastery_points,mastery_points,craft_full_eff_fe,craft_raw_fe,buy_estimate_fe,base_sorties,craft_payback_sorties,raw_craft_payback_sorties,buy_payback_sorties,craft_total_value_payback_sorties,raw_craft_total_value_payback_sorties,buy_total_value_payback_sorties,craft_lifetimes_to_payback,raw_craft_lifetimes_to_payback,buy_lifetimes_to_payback,activity_capacity_fe,activity_capacity_note,capacity_target_fe,capacity_vs_material_value,capacity_vs_required_value,capacity_vs_total_value,capacity_vs_liquid_value,capacity_vs_five_sortie_craft_target
elite,Элитная,capital_artillery_cruiser_r10,Аврора,10,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,92.00,92.00,0.00,0.00,0.00,0.00,10.80,0.00,59.66,1.2402,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7511.04,1.0000,warfare 92/80; defense 70/55; mobility 56/40; stealth 48/35,1.60,3418022.80,no,1.0318,2495224.73,2495224.73,623806.18,1871418.55,2.00,1871418.55,1871418.55,1097898.88,4366643.28,2819603.94,4366643.28,1097898.88,2195797.76,499044.95,124761.24,74856.74,149713.48,0.00,2819603.94,76032,76032,152064,152064,20,20,40,40,17090114.00,99467304.00,85450570.00,15,6.06,35.28,30.31,3.91,22.78,19.57,0.40,2.35,2.02,12051935.44,"лимит задается плотностью целей/контрактом, не трюмом",4366643.28,19.32,2.76,2.76,4.27,3.53
elite,Элитная,capital_bomb_artillery_cruiser_r10,Вулкан,10,capital,Империя,cruiser,bomb_artillery,bomb_artillery_cruiser,combat,Бой,86.00,86.00,24.00,0.00,0.00,0.00,0.00,0.00,62.54,1.2237,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7456.32,1.0000,warfare 86/80; defense 58/55; mobility 66/40; stealth 56/35,1.60,3284395.00,no,0.9683,2310590.24,2310590.24,577647.56,1732942.68,2.00,1732942.68,1732942.68,1016659.70,4043532.91,2610966.97,4043532.91,1016659.70,2033319.41,462118.05,115529.51,69317.71,138635.41,0.00,2610966.97,76032,76032,152064,152064,20,20,40,40,16421975.00,94307872.00,82109875.00,15,6.29,36.12,31.45,4.06,23.32,20.31,0.42,2.41,2.10,10917538.86,"лимит задается плотностью целей/контрактом, не трюмом",4043532.91,18.90,2.70,2.70,4.18,3.32
elite,Элитная,capital_cargo_frigate_r10,Опора,10,capital,Империя,frigate,cargo,cargo_frigate,courier,Курьерка,67.82,22.00,42.00,0.00,0.00,42.00,0.00,58.00,67.82,1.1492,0.92,fixed_world_difficulty,elite_courier,1950000.00,7200.00,7096.32,0.8593,cargo 67/75; mobility 76/75; stealth 66/65; defense 36/35; survey 0/30,1.60,2741028.40,no,1.0398,2143619.58,1841956.70,276293.51,1565663.20,2.00,1565663.20,1565663.20,589426.14,3407619.90,1455145.79,3407619.90,589426.14,1178852.29,221034.80,55258.70,773621.81,1547243.63,0.00,1455145.79,11264,11264,22528,22528,23,23,46,46,13705142.00,74550504.00,68525710.00,15,9.42,51.23,47.09,4.02,21.88,20.11,0.63,3.42,3.14,8581068.42,"лимит задается плотностью целей/контрактом, не трюмом",3407619.90,31.06,2.52,2.52,5.90,3.13
elite,Элитная,capital_heavy_battleship_r10,Титан,10,capital,Империя,battleship,heavy,heavy_battleship,combat,Бой,100.00,100.00,0.00,0.00,0.00,0.00,40.80,0.00,50.33,1.2526,1.12,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7646.40,1.0000,warfare 100/80; defense 99/55; mobility 42/40; stealth 30/35,1.60,4317864.00,no,0.9555,2614003.49,2614003.49,653500.87,1960502.62,2.00,1960502.62,1960502.62,1150161.54,4574506.12,2953823.95,4574506.12,1150161.54,2300323.08,522800.70,130700.17,78420.10,156840.21,0.00,2953823.95,76032,76032,152064,152064,20,20,40,40,21589320.00,141482272.00,107946600.00,15,7.31,47.90,36.54,4.72,30.93,23.60,0.49,3.19,2.44,12991597.37,"лимит задается плотностью целей/контрактом, не трюмом",4574506.12,19.88,2.84,2.84,4.40,3.01
elite,Элитная,capital_industrial_battleship_r10,Доминион,10,capital,Империя,battleship,industrial,industrial_battleship,mining,Руда,100.00,58.00,100.00,82.00,50.00,66.00,0.00,62.00,65.16,1.3024,1.12,fixed_world_difficulty,elite_ore,1950000.00,7200.00,7372.80,1.0000,mining 100/75; cargo 93/65; defense 90/35; mobility 30/30; stealth 26/25,1.60,4637496.20,yes,1.0253,2916347.96,3739916.29,2842336.38,897579.91,2.00,897579.91,897579.91,523588.28,4637496.20,3889512.94,4637496.20,523588.28,1047176.56,2543143.08,299193.30,74798.33,149596.65,0.00,3889512.94,25344,25344,50688,50688,24,24,48,48,23187481.00,154228000.00,115937405.00,15,5.96,39.65,29.81,5.00,33.26,25.00,0.40,2.64,1.99,809299764.71,royal_vein / 4594.1 т сырья,2842336.38,284.73,284.73,174.51,208.07,174.51
elite,Элитная,capital_industrial_cruiser_r10,Экспедитор,10,capital,Империя,cruiser,industrial,industrial_cruiser,courier,Курьерка,76.56,36.00,62.00,72.00,17.00,36.00,15.60,0.00,76.56,1.2069,1.00,fixed_world_difficulty,elite_courier,1950000.00,7200.00,7176.96,0.8220,cargo 100/75; mobility 52/75; stealth 48/65; defense 56/35; survey 26/30,1.60,0.00,no,1.0247,2411561.25,1982202.66,297330.40,1684872.26,2.00,1684872.26,1684872.26,634304.85,3667074.92,1565940.10,3667074.92,634304.85,1268609.70,237864.32,59466.08,832525.12,1665050.23,0.00,1565940.10,11264,11264,22528,22528,22,22,44,44,17479980.00,106065656.00,87399900.00,15,11.16,67.73,55.81,4.77,28.92,23.83,0.74,4.52,3.72,9554930.42,"лимит задается плотностью целей/контрактом, не трюмом",3667074.92,32.14,2.61,2.61,6.10,2.73
elite,Элитная,capital_light_recon_cruiser_r10,Фарватер,10,capital,Империя,cruiser,light_recon,light_recon_cruiser,combat,Бой,72.00,72.00,0.00,0.00,0.00,0.00,58.80,0.00,70.38,1.2026,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7499.52,1.0000,warfare 72/80; defense 62/55; mobility 78/40; stealth 88/35,1.60,3432727.40,no,1.0295,2414245.61,2414245.61,603561.40,1810684.21,2.00,1810684.21,1810684.21,1062268.07,4224929.82,2728097.54,4224929.82,1062268.07,2124536.14,482849.12,120712.28,72427.37,144854.74,0.00,2728097.54,76032,76032,152064,152064,20,20,40,40,17163637.00,99382200.00,85818185.00,15,6.29,36.43,31.46,4.06,23.52,20.31,0.42,2.43,2.10,10815820.33,"лимит задается плотностью целей/контрактом, не трюмом",4224929.82,17.92,2.56,2.56,3.96,3.15
elite,Элитная,capital_long_range_heavy_cruiser_r10,Монарх,10,capital,Империя,cruiser,long_range_heavy,long_range_heavy_cruiser,combat,Бой,90.00,90.00,0.00,0.00,0.00,0.00,14.40,0.00,60.02,1.2331,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7516.80,1.0000,warfare 90/80; defense 76/55; mobility 52/40; stealth 42/35,1.60,3528589.40,no,1.0016,2408389.37,2408389.37,602097.34,1806292.03,2.00,1806292.03,1806292.03,1059691.32,4214681.40,2721479.99,4214681.40,1059691.32,2119382.65,481677.87,120419.47,72251.68,144503.36,0.00,2721479.99,76032,76032,152064,152064,20,20,40,40,17642947.00,104233996.00,88214735.00,15,6.48,38.30,32.41,4.19,24.73,20.93,0.43,2.55,2.16,11548227.03,"лимит задается плотностью целей/контрактом, не трюмом",4214681.40,19.18,2.74,2.74,4.24,3.27
elite,Элитная,capital_patrol_frigate_r10,Орлан,10,capital,Империя,frigate,patrol,patrol_frigate,combat,Бой,74.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,57.54,1.1639,0.92,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7344.00,0.8907,warfare 74/80; defense 36/55; mobility 86/40; stealth 62/35,1.60,2703377.20,no,0.9622,2009052.56,1789468.10,447367.02,1342101.07,2.00,1342101.07,1342101.07,787365.96,3131569.17,2022098.95,3131569.17,787365.96,1574731.93,357893.62,89473.40,53684.04,107368.09,0.00,2022098.95,76032,76032,152064,152064,18,18,36,36,13516886.00,70540632.00,67584430.00,15,6.68,34.88,33.42,4.32,22.53,21.58,0.45,2.33,2.23,8079448.46,"лимит задается плотностью целей/контрактом, не трюмом",3131569.17,18.06,2.58,2.58,4.00,2.99
elite,Элитная,capital_recon_frigate_r10,Аргус,10,capital,Империя,frigate,recon,recon_frigate,courier,Курьерка,59.28,42.00,0.00,0.00,0.00,0.00,51.60,0.00,59.28,1.1060,0.92,fixed_world_difficulty,elite_courier,1950000.00,7200.00,7211.52,0.6022,cargo 39/75; mobility 90/75; stealth 82/65; defense 30/35; survey 86/30,1.60,0.00,no,0.9525,1889822.22,1138068.94,170710.34,967358.60,2.00,967358.60,967358.60,364182.06,2105427.54,899074.46,2105427.54,364182.06,728364.12,136568.27,34142.07,477988.95,955977.91,0.00,899074.46,11264,11264,22528,22528,16,16,32,32,13156596.00,66488992.00,65782980.00,15,14.63,73.95,73.17,6.25,31.58,31.24,0.98,4.93,4.88,5122084.12,"лимит задается плотностью целей/контрактом, не трюмом",2105427.54,30.00,2.43,2.43,5.70,1.95
