recipe_id,economy_level,input_multiplier,input_ids,input_amounts,total_input_units
make_steel,0,2.00,iron;charcoal;calcite,32;16;6,54
make_steel,1,1.80,iron;charcoal;calcite,29;15;6,50
make_steel,2,1.60,iron;charcoal;calcite,26;13;5,44
make_steel,3,1.40,iron;charcoal;calcite,23;12;5,40
make_steel,4,1.20,iron;charcoal;calcite,20;10;4,34
make_steel,5,1.00,iron;charcoal;calcite,16;8;3,27
make_bronze,0,2.00,copper;tin;bone_grit,20;8;8,36
make_bronze,1,1.80,copper;tin;bone_grit,18;8;8,34
make_bronze,2,1.60,copper;tin;bone_grit,16;7;7,30
make_bronze,3,1.40,copper;tin;bone_grit,14;6;6,26
make_bronze,4,1.20,copper;tin;bone_grit,12;5;5,22
make_bronze,5,1.00,copper;tin;bone_grit,10;4;4,18
make_brass,0,2.00,copper;zinc;sylvine,20;10;6,36
make_brass,1,1.80,copper;zinc;sylvine,18;9;6,33
make_brass,2,1.60,copper;zinc;sylvine,16;8;5,29
make_brass,3,1.40,copper;zinc;sylvine,14;7;5,26
make_brass,4,1.20,copper;zinc;sylvine,12;6;4,22
make_brass,5,1.00,copper;zinc;sylvine,10;5;3,18
make_elektron,0,2.00,magnesium;zinc;aerosil,24;6;16,46
make_elektron,1,1.80,magnesium;zinc;aerosil,22;6;15,43
make_elektron,2,1.60,magnesium;zinc;aerosil,20;5;13,38
make_elektron,3,1.40,magnesium;zinc;aerosil,17;5;12,34
make_elektron,4,1.20,magnesium;zinc;aerosil,15;4;10,29
make_elektron,5,1.00,magnesium;zinc;aerosil,12;3;8,23
make_bulat,0,2.00,iron;monazite;acid,40;6;10,56
make_bulat,1,1.80,iron;monazite;acid,36;6;9,51
make_bulat,2,1.60,iron;monazite;acid,32;5;8,45
make_bulat,3,1.40,iron;monazite;acid,28;5;7,40
make_bulat,4,1.20,iron;monazite;acid,24;4;6,34
make_bulat,5,1.00,iron;monazite;acid,20;3;5,28
make_melchior,0,2.00,copper;nickel;ionide,24;10;6,40
make_melchior,1,1.80,copper;nickel;ionide,22;9;6,37
make_melchior,2,1.60,copper;nickel;ionide,20;8;5,33
make_melchior,3,1.40,copper;nickel;ionide,17;7;5,29
make_melchior,4,1.20,copper;nickel;ionide,15;6;4,25
make_melchior,5,1.00,copper;nickel;ionide,12;5;3,20
make_invar,0,2.00,iron;nickel;nulgas,28;12;4,44
make_invar,1,1.80,iron;nickel;nulgas,26;11;4,41
make_invar,2,1.60,iron;nickel;nulgas,23;10;4,37
make_invar,3,1.40,iron;nickel;nulgas,20;9;3,32
make_invar,4,1.20,iron;nickel;nulgas,17;8;3,28
make_invar,5,1.00,iron;nickel;nulgas,14;6;2,22
make_orkit,0,2.00,claudium;fulgur;bone_grit,16;8;12,36
make_orkit,1,1.80,claudium;fulgur;bone_grit,15;8;11,34
make_orkit,2,1.60,claudium;fulgur;bone_grit,13;7;10,30
make_orkit,3,1.40,claudium;fulgur;bone_grit,12;6;9,27
make_orkit,4,1.20,claudium;fulgur;bone_grit,10;5;8,23
make_orkit,5,1.00,claudium;fulgur;bone_grit,8;4;6,18
make_resin,0,2.00,vespar;leviathan_fat;acid,12;8;4,24
make_resin,1,1.80,vespar;leviathan_fat;acid,11;8;4,23
