recipe_id,time_level,time_multiplier,time_min_building1,time_min_building30
make_steel,0,2.50,10.00,6.67
make_steel,1,2.20,8.80,5.87
make_steel,2,1.90,7.60,5.07
make_steel,3,1.60,6.40,4.27
make_steel,4,1.30,5.20,3.47
make_steel,5,1.00,4.00,2.67
make_bronze,0,2.50,12.50,8.33
make_bronze,1,2.20,11.00,7.33
make_bronze,2,1.90,9.50,6.33
make_bronze,3,1.60,8.00,5.33
make_bronze,4,1.30,6.50,4.33
make_bronze,5,1.00,5.00,3.33
make_brass,0,2.50,12.50,8.33
make_brass,1,2.20,11.00,7.33
make_brass,2,1.90,9.50,6.33
make_brass,3,1.60,8.00,5.33
make_brass,4,1.30,6.50,4.33
make_brass,5,1.00,5.00,3.33
make_elektron,0,2.50,15.00,10.00
make_elektron,1,2.20,13.20,8.80
make_elektron,2,1.90,11.40,7.60
make_elektron,3,1.60,9.60,6.40
make_elektron,4,1.30,7.80,5.20
make_elektron,5,1.00,6.00,4.00
make_bulat,0,2.50,30.00,20.00
make_bulat,1,2.20,26.40,17.60
make_bulat,2,1.90,22.80,15.20
make_bulat,3,1.60,19.20,12.80
make_bulat,4,1.30,15.60,10.40
make_bulat,5,1.00,12.00,8.00
make_melchior,0,2.50,25.00,16.67
make_melchior,1,2.20,22.00,14.67
make_melchior,2,1.90,19.00,12.67
make_melchior,3,1.60,16.00,10.67
make_melchior,4,1.30,13.00,8.67
make_melchior,5,1.00,10.00,6.67
make_invar,0,2.50,35.00,23.33
make_invar,1,2.20,30.80,20.53
make_invar,2,1.90,26.60,17.73
make_invar,3,1.60,22.40,14.93
make_invar,4,1.30,18.20,12.13
make_invar,5,1.00,14.00,9.33
make_orkit,0,2.50,40.00,26.67
make_orkit,1,2.20,35.20,23.47
make_orkit,2,1.90,30.40,20.27
make_orkit,3,1.60,25.60,17.07
make_orkit,4,1.30,20.80,13.87
make_orkit,5,1.00,16.00,10.67
make_resin,0,2.50,12.50,8.33
make_resin,1,2.20,11.00,7.33
make_resin,2,1.90,9.50,6.33
make_resin,3,1.60,8.00,5.33
make_resin,4,1.30,6.50,4.33
make_resin,5,1.00,5.00,3.33
make_rubber,0,2.50,15.00,10.00
make_rubber,1,2.20,13.20,8.80
make_rubber,2,1.90,11.40,7.60
make_rubber,3,1.60,9.60,6.40
make_rubber,4,1.30,7.80,5.20
make_rubber,5,1.00,6.00,4.00
make_bakelite,0,2.50,15.00,10.00
make_bakelite,1,2.20,13.20,8.80
make_bakelite,2,1.90,11.40,7.60
make_bakelite,3,1.60,9.60,6.40
make_bakelite,4,1.30,7.80,5.20
make_bakelite,5,1.00,6.00,4.00
make_textolite,0,2.50,20.00,13.33
make_textolite,1,2.20,17.60,11.73
make_textolite,2,1.90,15.20,10.13
make_textolite,3,1.60,12.80,8.53
make_textolite,4,1.30,10.40,6.93
make_textolite,5,1.00,8.00,5.33
make_fluoroplastic,0,2.50,35.00,23.33
make_fluoroplastic,1,2.20,30.80,20.53
make_fluoroplastic,2,1.90,26.60,17.73
make_fluoroplastic,3,1.60,22.40,14.93
make_fluoroplastic,4,1.30,18.20,12.13
make_fluoroplastic,5,1.00,14.00,9.33
make_aramid,0,2.50,30.00,20.00
make_aramid,1,2.20,26.40,17.60
make_aramid,2,1.90,22.80,15.20
make_aramid,3,1.60,19.20,12.80
make_aramid,4,1.30,15.60,10.40
make_aramid,5,1.00,12.00,8.00
make_siloxane,0,2.50,20.00,13.33
make_siloxane,1,2.20,17.60,11.73
make_siloxane,2,1.90,15.20,10.13
make_siloxane,3,1.60,12.80,8.53
make_siloxane,4,1.30,10.40,6.93
make_siloxane,5,1.00,8.00,5.33
make_glass_ceramic,0,2.50,25.00,16.67
make_glass_ceramic,1,2.20,22.00,14.67
make_glass_ceramic,2,1.90,19.00,12.67
make_glass_ceramic,3,1.60,16.00,10.67
make_glass_ceramic,4,1.30,13.00,8.67
make_glass_ceramic,5,1.00,10.00,6.67
make_beam,0,2.50,25.00,16.67
make_beam,1,2.20,22.00,14.67
make_beam,2,1.90,19.00,12.67
make_beam,3,1.60,16.00,10.67
make_beam,4,1.30,13.00,8.67
make_beam,5,1.00,10.00,6.67
make_plating,0,2.50,30.00,20.00
make_plating,1,2.20,26.40,17.60
make_plating,2,1.90,22.80,15.20
make_plating,3,1.60,19.20,12.80
make_plating,4,1.30,15.60,10.40
make_plating,5,1.00,12.00,8.00
make_armor_plate,0,2.50,60.00,40.00
make_armor_plate,1,2.20,52.80,35.20
make_armor_plate,2,1.90,45.60,30.40
make_armor_plate,3,1.60,38.40,25.60
make_armor_plate,4,1.30,31.20,20.80
make_armor_plate,5,1.00,24.00,16.00
make_bulkhead,0,2.50,35.00,23.33
make_bulkhead,1,2.20,30.80,20.53
make_bulkhead,2,1.90,26.60,17.73
make_bulkhead,3,1.60,22.40,14.93
make_bulkhead,4,1.30,18.20,12.13
make_bulkhead,5,1.00,14.00,9.33
make_deck_section,0,2.50,40.00,26.67
make_deck_section,1,2.20,35.20,23.47
make_deck_section,2,1.90,30.40,20.27
make_deck_section,3,1.60,25.60,17.07
make_deck_section,4,1.30,20.80,13.87
make_deck_section,5,1.00,16.00,10.67
make_airlock,0,2.50,45.00,30.00
make_airlock,1,2.20,39.60,26.40
make_airlock,2,1.90,34.20,22.80
make_airlock,3,1.60,28.80,19.20
make_airlock,4,1.30,23.40,15.60
make_airlock,5,1.00,18.00,12.00
make_cowling,0,2.50,55.00,36.67
make_cowling,1,2.20,48.40,32.27
make_cowling,2,1.90,41.80,27.87
make_cowling,3,1.60,35.20,23.47
make_cowling,4,1.30,28.60,19.07
make_cowling,5,1.00,22.00,14.67
make_hatch,0,2.50,35.00,23.33
make_hatch,1,2.20,30.80,20.53
make_hatch,2,1.90,26.60,17.73
make_hatch,3,1.60,22.40,14.93
make_hatch,4,1.30,18.20,12.13
make_hatch,5,1.00,14.00,9.33
make_engine,0,2.50,45.00,30.00
make_engine,1,2.20,39.60,26.40
make_engine,2,1.90,34.20,22.80
make_engine,3,1.60,28.80,19.20
make_engine,4,1.30,23.40,15.60
make_engine,5,1.00,18.00,12.00
make_actuator,0,2.50,40.00,26.67
make_actuator,1,2.20,35.20,23.47
make_actuator,2,1.90,30.40,20.27
make_actuator,3,1.60,25.60,17.07
make_actuator,4,1.30,20.80,13.87
make_actuator,5,1.00,16.00,10.67
make_transmission,0,2.50,42.50,28.33
make_transmission,1,2.20,37.40,24.93
make_transmission,2,1.90,32.30,21.53
make_transmission,3,1.60,27.20,18.13
make_transmission,4,1.30,22.10,14.73
make_transmission,5,1.00,17.00,11.33
make_pump,0,2.50,37.50,25.00
make_pump,1,2.20,33.00,22.00
make_pump,2,1.90,28.50,19.00
make_pump,3,1.60,24.00,16.00
make_pump,4,1.30,19.50,13.00
make_pump,5,1.00,15.00,10.00
make_compressor,0,2.50,50.00,33.33
make_compressor,1,2.20,44.00,29.33
make_compressor,2,1.90,38.00,25.33
make_compressor,3,1.60,32.00,21.33
make_compressor,4,1.30,26.00,17.33
make_compressor,5,1.00,20.00,13.33
make_gyroscope,0,2.50,55.00,36.67
make_gyroscope,1,2.20,48.40,32.27
make_gyroscope,2,1.90,41.80,27.87
make_gyroscope,3,1.60,35.20,23.47
make_gyroscope,4,1.30,28.60,19.07
make_gyroscope,5,1.00,22.00,14.67
make_sensor,0,2.50,50.00,33.33
make_sensor,1,2.20,44.00,29.33
make_sensor,2,1.90,38.00,25.33
make_sensor,3,1.60,32.00,21.33
make_sensor,4,1.30,26.00,17.33
make_sensor,5,1.00,20.00,13.33
make_calculator,0,2.50,60.00,40.00
make_calculator,1,2.20,52.80,35.20
make_calculator,2,1.90,45.60,30.40
make_calculator,3,1.60,38.40,25.60
make_calculator,4,1.30,31.20,20.80
make_calculator,5,1.00,24.00,16.00
make_power_block,0,2.50,300.00,200.00
make_power_block,1,2.20,264.00,176.00
make_power_block,2,1.90,228.00,152.00
make_power_block,3,1.60,192.00,128.00
make_power_block,4,1.30,156.00,104.00
make_power_block,5,1.00,120.00,80.00
make_propulsion_block,0,2.50,275.00,183.33
make_propulsion_block,1,2.20,242.00,161.33
make_propulsion_block,2,1.90,209.00,139.33
make_propulsion_block,3,1.60,176.00,117.33
make_propulsion_block,4,1.30,143.00,95.33
make_propulsion_block,5,1.00,110.00,73.33
make_instrument_block,0,2.50,250.00,166.67
make_instrument_block,1,2.20,220.00,146.67
make_instrument_block,2,1.90,190.00,126.67
make_instrument_block,3,1.60,160.00,106.67
make_instrument_block,4,1.30,130.00,86.67
make_instrument_block,5,1.00,100.00,66.67
make_weapon_block,0,2.50,287.50,191.67
make_weapon_block,1,2.20,253.00,168.67
make_weapon_block,2,1.90,218.50,145.67
make_weapon_block,3,1.60,184.00,122.67
make_weapon_block,4,1.30,149.50,99.67
make_weapon_block,5,1.00,115.00,76.67
make_defense_block,0,2.50,325.00,216.67
make_defense_block,1,2.20,286.00,190.67
make_defense_block,2,1.90,247.00,164.67
make_defense_block,3,1.60,208.00,138.67
make_defense_block,4,1.30,169.00,112.67
make_defense_block,5,1.00,130.00,86.67
make_cargo_block,0,2.50,225.00,150.00
make_cargo_block,1,2.20,198.00,132.00
make_cargo_block,2,1.90,171.00,114.00
make_cargo_block,3,1.60,144.00,96.00
make_cargo_block,4,1.30,117.00,78.00
make_cargo_block,5,1.00,90.00,60.00
make_industry_block,0,2.50,350.00,233.33
make_industry_block,1,2.20,308.00,205.33
make_industry_block,2,1.90,266.00,177.33
make_industry_block,3,1.60,224.00,149.33
make_industry_block,4,1.30,182.00,121.33
make_industry_block,5,1.00,140.00,93.33
make_hangar_block,0,2.50,312.50,208.33
make_hangar_block,1,2.20,275.00,183.33
make_hangar_block,2,1.90,237.50,158.33
make_hangar_block,3,1.60,200.00,133.33
make_hangar_block,4,1.30,162.50,108.33
make_hangar_block,5,1.00,125.00,83.33
