mission_profile,rank,primary_activity,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,2,combat,9,1802490.04,1163893.57,257498.58,772495.73,772495.73,1802490.04,8901.11,17802.22,11571.44,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01
danger,2,courier,39,936928.87,400093.95,75967.21,430480.83,430480.83,936928.87,6309.74,12619.49,8202.67,0.03,0.04,0.01,0.02,0.00,0.00,0.02,0.02,0.01,0.01
danger,2,hunting,1,894484.39,729348.81,481645.44,206419.47,206419.47,894484.39,9960.00,19920.00,12948.00,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
danger,2,mining,1,1294252.72,1085502.28,793251.67,250500.53,250500.53,1294252.72,9210.00,18420.00,11973.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
danger,2,salvage,1,1074842.38,846845.51,553706.68,260567.85,260567.85,1074842.38,9920.00,19840.00,12896.00,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
danger,3,combat,11,2401735.28,1550834.79,343105.04,1029315.12,1029315.12,2401735.28,22270.00,44540.00,33405.00,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
danger,3,courier,34,1326647.33,566514.26,107566.00,609540.66,609540.66,1326647.33,15790.29,31580.59,23685.44,0.03,0.05,0.01,0.02,0.00,0.00,0.03,0.04,0.01,0.02
danger,3,gas,1,1912964.07,1573567.22,1172461.85,370251.11,370251.11,1912964.07,25980.00,51960.00,38970.00,0.02,0.02,0.01,0.02,0.00,0.00,0.02,0.02,0.01,0.02
danger,3,hunting,2,1761815.48,1436557.24,948669.87,406572.80,406572.80,1761815.48,22340.00,44680.00,33510.00,0.01,0.03,0.01,0.02,0.00,0.00,0.01,0.03,0.01,0.02
danger,3,mining,2,1680681.11,1409603.52,1030094.88,325293.12,325293.12,1680681.11,20920.00,41840.00,31380.00,0.01,0.02,0.01,0.02,0.00,0.00,0.01,0.02,0.01,0.02
danger,3,salvage,1,2111483.78,1663593.28,1087734.07,511874.86,511874.86,2111483.78,27320.00,54640.00,40980.00,0.02,0.02,0.01,0.02,0.00,0.00,0.02,0.02,0.01,0.02
danger,4,combat,17,2617926.87,1690432.78,373989.55,1121968.66,1121968.66,2617926.87,50826.47,199047.06,91487.65,0.03,0.06,0.02,0.04,0.00,0.01,0.03,0.05,0.02,0.03
danger,4,courier,22,1670792.49,713473.55,135469.66,767661.41,767661.41,1670792.49,36624.09,144260.00,65923.36,0.06,0.10,0.03,0.04,0.01,0.01,0.05,0.10,0.02,0.04
danger,4,gas,2,2238679.21,1841494.19,1372093.71,433292.75,433292.75,2238679.21,55164.00,215236.00,99295.20,0.03,0.06,0.03,0.04,0.00,0.01,0.03,0.06,0.03,0.04
danger,4,hunting,2,2319494.33,1891280.00,1248958.49,535267.93,535267.93,2319494.33,53563.00,205532.00,96413.40,0.03,0.05,0.03,0.04,0.00,0.01,0.03,0.05,0.03,0.04
danger,4,mining,4,2245735.70,1883520.27,1376418.66,434658.53,434658.53,2245735.70,54630.75,205623.00,98335.35,0.03,0.05,0.03,0.04,0.00,0.01,0.03,0.06,0.03,0.04
danger,4,relic,1,2318854.01,761414.75,1142122.13,588365.94,588365.94,2318854.01,44803.00,179212.00,80645.40,0.06,0.11,0.02,0.03,0.01,0.01,0.06,0.11,0.02,0.03
danger,4,salvage,3,1828090.60,1440313.80,941743.64,443173.48,443173.48,1828090.60,56669.33,219984.00,102004.80,0.05,0.08,0.04,0.07,0.00,0.01,0.04,0.07,0.03,0.05
danger,5,combat,18,2893212.44,1868188.60,413316.06,1239948.19,1239948.19,2893212.44,124089.50,490478.00,272996.90,0.07,0.15,0.04,0.10,0.01,0.01,0.07,0.15,0.04,0.10
danger,5,courier,15,2094191.63,894276.43,169799.32,962196.16,962196.16,2094191.63,88705.27,354143.73,195151.59,0.11,0.24,0.04,0.10,0.01,0.02,0.10,0.23,0.04,0.10
danger,5,gas,2,2376442.96,1954815.98,1456529.55,459956.70,459956.70,2376442.96,139445.50,552042.00,306780.10,0.07,0.15,0.06,0.13,0.01,0.01,0.07,0.15,0.06,0.13
danger,5,hunting,3,2163556.48,1764130.67,1164991.95,499282.27,499282.27,2163556.48,120533.67,469721.33,265174.07,0.07,0.15,0.06,0.12,0.01,0.01,0.07,0.15,0.06,0.13
danger,5,mining,5,2276995.62,1909738.26,1395577.96,440708.83,440708.83,2276995.62,123675.40,481565.60,272085.88,0.07,0.14,0.05,0.12,0.01,0.01,0.06,0.13,0.05,0.11
danger,5,relic,1,2428917.93,797555.14,1196332.71,616292.61,616292.61,2428917.93,112208.00,448832.00,246857.60,0.14,0.31,0.05,0.10,0.01,0.03,0.14,0.31,0.05,0.10
danger,5,repair,4,2453114.82,799329.54,303193.97,1074960.43,1074960.43,2453114.82,103237.00,407998.00,227121.40,0.13,0.29,0.04,0.10,0.01,0.03,0.13,0.29,0.04,0.10
danger,5,salvage,3,2034809.69,1603183.39,1048235.29,493287.20,493287.20,2034809.69,132941.33,527365.33,292470.93,0.09,0.20,0.07,0.16,0.01,0.01,0.08,0.17,0.06,0.14
danger,6,combat,19,3190811.62,2060352.65,455830.23,1367490.70,1367490.70,3190811.62,314762.95,1968583.79,818383.66,0.15,0.39,0.10,0.25,0.01,0.03,0.14,0.37,0.09,0.24
danger,6,courier,13,2154269.95,919931.49,174670.54,989799.71,989799.71,2154269.95,216173.15,1323653.85,562050.20,0.26,0.67,0.11,0.28,0.02,0.06,0.23,0.61,0.10,0.26
danger,6,gas,2,2431161.22,1999826.17,1490066.56,470547.33,470547.33,2431161.22,356664.50,2272200.00,927327.70,0.17,0.46,0.15,0.38,0.01,0.04,0.17,0.46,0.15,0.38
danger,6,hunting,3,2312216.95,1885346.13,1245039.90,533588.53,533588.53,2312216.95,305614.67,1916377.33,794598.13,0.16,0.42,0.13,0.34,0.01,0.03,0.15,0.38,0.12,0.31
danger,6,mining,6,2263772.84,1898648.19,1387473.68,438149.58,438149.58,2263772.84,307385.00,1969769.33,799201.00,0.16,0.42,0.14,0.35,0.01,0.03,0.15,0.41,0.13,0.34
danger,6,relic,1,2425682.67,796492.82,1194739.22,615471.72,615471.72,2425682.67,273518.00,1586224.00,711146.80,0.34,0.89,0.11,0.29,0.03,0.07,0.34,0.89,0.11,0.29
danger,6,repair,4,2941831.40,958574.28,363597.14,1289117.13,1289117.13,2941831.40,264041.25,1634108.00,686507.25,0.28,0.73,0.09,0.24,0.02,0.06,0.27,0.69,0.09,0.23
danger,6,salvage,3,2314073.66,1823209.55,1192098.55,560987.55,560987.55,2314073.66,344646.33,2169050.67,896080.47,0.19,0.49,0.15,0.38,0.02,0.04,0.19,0.50,0.15,0.39
danger,7,combat,21,3202446.69,2067865.57,457492.38,1372477.15,1372477.15,3202446.69,754079.00,4745902.10,2413052.80,0.36,1.15,0.23,0.74,0.03,0.10,0.34,1.10,0.22,0.71
danger,7,courier,11,2557382.14,1092071.29,207355.31,1175013.42,1175013.42,2557382.14,562554.09,3453035.64,1800173.09,0.54,1.73,0.23,0.74,0.04,0.14,0.51,1.62,0.22,0.69
danger,7,gas,3,2306069.35,1896928.01,1413397.34,446336.00,446336.00,2306069.35,771407.67,4941461.33,2468504.53,0.40,1.27,0.33,1.04,0.03,0.11,0.36,1.16,0.30,0.95
danger,7,hunting,3,2521838.69,2056268.47,1357913.14,581962.78,581962.78,2521838.69,769451.00,4862453.33,2462243.20,0.37,1.18,0.30,0.96,0.03,0.10,0.35,1.10,0.28,0.90
danger,7,mining,5,2420316.75,2029943.08,1483419.94,468448.40,468448.40,2420316.75,824068.80,5344020.00,2637020.16,0.40,1.29,0.34,1.08,0.03,0.11,0.38,1.21,0.32,1.01
danger,7,relic,1,2512683.80,825060.35,1237590.53,637546.63,637546.63,2512683.80,705210.00,4068280.00,2256672.00,0.85,2.74,0.28,0.90,0.07,0.23,0.85,2.74,0.28,0.90
danger,7,repair,4,3150136.11,1026448.84,389342.66,1380396.72,1380396.72,3150136.11,683172.00,4207706.00,2186150.40,0.67,2.13,0.22,0.69,0.06,0.18,0.67,2.13,0.22,0.69
danger,7,salvage,3,2479386.07,1953455.69,1277259.49,601063.29,601063.29,2479386.07,867999.67,5475944.00,2777598.93,0.43,1.39,0.34,1.09,0.04,0.12,0.46,1.48,0.36,1.17
danger,8,combat,20,3348189.29,2161973.66,478312.76,1434938.27,1434938.27,3348189.29,1933551.90,16699566.00,7347497.22,0.89,3.36,0.57,2.17,0.06,0.22,0.85,3.23,0.55,2.08
danger,8,courier,10,2623704.77,1120392.85,212732.82,1205485.97,1205485.97,2623704.77,1449011.50,12434928.80,5506243.70,1.33,5.07,0.57,2.16,0.09,0.34,1.31,4.98,0.56,2.12
danger,8,gas,3,2338870.87,1923909.91,1433501.50,452684.68,452684.68,2338870.87,1917399.00,16629528.00,7286116.20,0.97,3.70,0.80,3.04,0.06,0.25,0.85,3.24,0.70,2.66
danger,8,hunting,3,2541644.35,2072417.70,1368577.73,586533.31,586533.31,2541644.35,1950598.67,16912493.33,7412274.93,0.92,3.50,0.75,2.86,0.06,0.24,0.85,3.25,0.70,2.65
danger,8,mining,6,2461510.36,2064492.56,1508667.64,476421.36,476421.36,2461510.36,2082979.67,18177673.33,7915322.73,0.99,3.76,0.83,3.15,0.07,0.25,0.95,3.62,0.80,3.04
danger,8,relic,1,2574141.97,845240.65,1267860.97,653140.50,653140.50,2574141.97,1889969.00,15449864.00,7181882.20,2.24,8.50,0.73,2.79,0.15,0.57,2.24,8.50,0.73,2.79
danger,8,repair,5,3393453.73,1105732.11,419415.63,1487019.05,1487019.05,3393453.73,1953762.00,16938979.20,7424295.60,1.75,6.64,0.57,2.16,0.12,0.44,1.60,6.07,0.52,1.98
danger,8,salvage,3,2709741.28,2134947.68,1395927.33,656906.98,656906.98,2709741.28,2348749.67,20296746.67,8925248.73,1.07,4.08,0.85,3.21,0.07,0.27,1.18,4.50,0.93,3.54
danger,9,combat,21,3486814.07,2251485.66,498116.30,1494348.89,1494348.89,3486814.07,4830001.10,42081738.29,21252004.82,2.12,9.32,1.37,6.02,0.14,0.62,2.04,8.96,1.31,5.79
danger,9,courier,9,2802503.77,1196744.86,227230.04,1287636.87,1287636.87,2802503.77,3543036.33,30437872.89,15589359.87,3.02,13.28,1.29,5.67,0.20,0.89,3.05,13.42,1.30,5.73
danger,9,gas,3,2469994.82,2031769.93,1513867.79,478063.51,478063.51,2469994.82,4816589.00,42488829.33,21192991.60,2.33,10.27,1.92,8.45,0.15,0.68,2.13,9.37,1.75,7.71
danger,9,hunting,3,2614241.04,2131611.92,1407668.25,603286.39,603286.39,2614241.04,4892805.00,42969333.33,21528342.00,2.25,9.92,1.84,8.09,0.15,0.66,2.16,9.52,1.76,7.76
danger,9,mining,6,2470886.52,2072356.44,1514414.32,478236.10,478236.10,2470886.52,4950802.67,43634753.33,21783531.73,2.34,10.30,1.96,8.63,0.16,0.68,2.27,9.98,1.90,8.38
danger,9,relic,1,2603659.62,854933.01,1282399.51,660630.05,660630.05,2603659.62,4289543.00,35255760.00,18873989.20,5.02,22.08,1.65,7.25,0.33,1.47,5.02,22.08,1.65,7.25
danger,9,repair,5,3545406.63,1155244.86,438196.32,1553605.15,1553605.15,3545406.63,4859258.60,42736576.00,21380737.84,4.16,18.30,1.36,5.96,0.28,1.22,4.05,17.82,1.32,5.81
danger,9,salvage,3,2736366.54,2155925.15,1409643.37,663361.59,663361.59,2736366.54,5423218.67,47593946.67,23862162.13,2.46,10.83,1.94,8.53,0.17,0.72,2.79,12.26,2.20,9.66
