mission_profile,rank,ship_class_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,2,battleship,12,1559560.63,1002942.34,322121.19,618719.72,618719.72,1559560.63,10007.50,20015.00,13009.75,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
danger,2,cruiser,23,1123918.74,513512.41,100611.24,511653.75,511653.75,1123918.74,6835.22,13670.43,8885.78,0.03,0.03,0.01,0.02,0.00,0.00,0.01,0.02,0.01,0.01
danger,2,frigate,16,716334.83,305894.33,58081.20,329126.81,329126.81,716334.83,4873.75,9747.50,6335.88,0.03,0.04,0.01,0.02,0.00,0.00,0.02,0.02,0.01,0.01
danger,3,battleship,12,2323015.84,1567542.75,599039.38,861988.23,861988.23,2323015.84,26606.67,53213.33,39910.00,0.02,0.03,0.01,0.02,0.00,0.00,0.02,0.02,0.01,0.02
danger,3,cruiser,23,1652761.26,842371.44,222573.00,715094.14,715094.14,1652761.26,17382.61,34765.22,26073.91,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.02
danger,3,frigate,16,1034052.44,441568.34,83842.09,475105.18,475105.18,1034052.44,12661.25,25322.50,18991.88,0.03,0.05,0.01,0.02,0.00,0.00,0.03,0.04,0.01,0.02
danger,4,battleship,12,2888907.07,2069602.08,924611.21,982147.93,982147.93,2888907.07,66865.33,258178.00,120357.60,0.03,0.06,0.02,0.04,0.00,0.01,0.03,0.06,0.03,0.04
danger,4,cruiser,23,2287983.38,1323369.62,475729.13,906127.12,906127.12,2287983.38,43961.74,172205.22,79131.13,0.04,0.07,0.02,0.04,0.00,0.01,0.03,0.06,0.02,0.03
danger,4,frigate,16,1242131.54,577689.66,126011.40,558060.07,558060.07,1242131.54,31691.50,125116.00,57044.70,0.06,0.11,0.03,0.05,0.01,0.01,0.06,0.11,0.03,0.05
danger,5,battleship,12,3085343.25,2211520.19,990146.77,1047598.25,1047598.25,3085343.25,165125.42,648648.33,363275.92,0.08,0.16,0.06,0.12,0.01,0.01,0.08,0.17,0.06,0.12
danger,5,cruiser,23,2680858.51,1514261.54,550335.75,1065261.39,1065261.39,2680858.51,109677.48,434323.83,241290.45,0.08,0.17,0.04,0.09,0.01,0.01,0.07,0.15,0.04,0.09
danger,5,frigate,16,1611323.33,826901.40,274183.43,668569.95,668569.95,1611323.33,77684.50,309470.50,170905.90,0.10,0.23,0.05,0.11,0.01,0.02,0.11,0.24,0.05,0.11
danger,6,battleship,12,3126825.15,2243235.98,1009095.74,1058864.71,1058864.71,3126825.15,411117.17,2646739.33,1068904.63,0.18,0.48,0.14,0.35,0.02,0.04,0.19,0.48,0.14,0.35
danger,6,cruiser,23,2906984.00,1715635.80,644204.46,1131389.77,1131389.77,2906984.00,281786.04,1742904.35,732643.71,0.18,0.46,0.10,0.26,0.01,0.04,0.15,0.38,0.09,0.24
danger,6,frigate,16,1922827.26,992209.56,329447.40,796689.93,796689.93,1922827.26,200897.94,1219054.75,522334.64,0.23,0.61,0.11,0.29,0.02,0.05,0.22,0.58,0.11,0.29
danger,7,battleship,12,3240649.09,2325570.23,1047783.37,1096432.86,1096432.86,3240649.09,1042974.08,6771307.00,3337517.07,0.45,1.44,0.33,1.06,0.04,0.12,0.46,1.46,0.32,1.05
danger,7,cruiser,23,3036936.97,1781733.60,669584.24,1183676.36,1183676.36,3036936.97,707006.22,4392302.26,2262419.90,0.43,1.37,0.24,0.76,0.04,0.11,0.35,1.12,0.22,0.70
danger,7,frigate,16,2236371.19,1209485.84,392011.33,922179.93,922179.93,2236371.19,501983.69,3051717.50,1606347.80,0.46,1.47,0.23,0.75,0.04,0.12,0.38,1.23,0.23,0.74
danger,8,battleship,12,3377151.75,2324483.88,1093641.37,1141755.19,1141755.19,3377151.75,2736288.50,24009786.67,10397896.30,1.22,4.65,0.83,3.16,0.08,0.31,1.17,4.42,0.83,3.17
danger,8,cruiser,23,3107890.83,1856610.76,689856.17,1209017.33,1209017.33,3107890.83,1804436.39,15447837.57,6856858.29,1.05,4.00,0.59,2.25,0.07,0.27,0.87,3.32,0.55,2.09
