mission_profile,rank,faction_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,2,capital,11,1353059.49,654278.78,131313.69,610872.90,610872.90,1353059.49,6987.27,13974.55,9083.45,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
danger,2,devourers,8,938121.55,497091.62,142194.23,397963.66,397963.66,938121.55,6951.25,13902.50,9036.62,0.02,0.02,0.01,0.01,0.00,0.00,0.02,0.02,0.01,0.01
danger,2,factory_ark,8,1005272.76,567408.65,165152.46,420060.15,420060.15,1005272.76,6735.00,13470.00,8755.50,0.02,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
danger,2,mist_synod,8,1220590.77,591015.31,118681.53,550954.62,550954.62,1220590.77,6982.50,13965.00,9077.25,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
danger,2,stone_vault,7,701585.16,454925.55,177591.99,261996.59,261996.59,701585.16,7038.57,14077.14,9150.14,0.06,0.08,0.03,0.04,0.01,0.01,0.02,0.03,0.01,0.01
danger,2,wind_houses,9,1213287.19,568303.64,112554.64,550366.27,550366.27,1213287.19,7088.89,14177.78,9215.56,0.04,0.04,0.01,0.02,0.00,0.00,0.01,0.02,0.01,0.01
danger,3,capital,11,1870650.00,948916.10,194074.89,838287.56,838287.56,1870650.00,17528.18,35056.36,26292.27,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.01
danger,3,devourers,8,1505436.23,920872.89,353731.32,575852.45,575852.45,1505436.23,17876.25,35752.50,26814.38,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.02
danger,3,factory_ark,8,1472409.29,848414.92,269096.54,601656.38,601656.38,1472409.29,18193.75,36387.50,27290.62,0.03,0.04,0.01,0.02,0.00,0.00,0.03,0.04,0.01,0.02
danger,3,mist_synod,8,1731008.65,930230.72,294769.73,718119.46,718119.46,1731008.65,18485.00,36970.00,27727.50,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.02
danger,3,stone_vault,7,1299676.67,875356.14,395410.22,452133.22,452133.22,1299676.67,18297.14,36594.29,27445.71,0.03,0.05,0.02,0.03,0.00,0.00,0.02,0.03,0.01,0.02
danger,3,wind_houses,9,1676535.37,787603.47,156183.20,760176.08,760176.08,1676535.37,18258.89,36517.78,27388.33,0.03,0.04,0.01,0.02,0.00,0.00,0.03,0.04,0.01,0.02
danger,4,capital,11,2376274.60,1323486.11,371225.01,1002524.79,1002524.79,2376274.60,45248.64,175761.82,81447.55,0.04,0.07,0.02,0.04,0.00,0.01,0.03,0.06,0.02,0.03
danger,4,devourers,8,1947248.79,1255725.96,479322.51,733963.14,733963.14,1947248.79,45330.88,175363.50,81595.57,0.05,0.08,0.03,0.05,0.00,0.01,0.03,0.06,0.02,0.04
danger,4,factory_ark,8,1926583.31,1157833.71,513617.34,706482.98,706482.98,1926583.31,45784.00,182226.00,82411.20,0.05,0.09,0.03,0.05,0.01,0.01,0.05,0.08,0.03,0.04
danger,4,mist_synod,8,2168973.57,1306269.14,518332.20,825320.68,825320.68,2168973.57,45976.62,180761.50,82757.93,0.04,0.07,0.02,0.04,0.00,0.01,0.04,0.07,0.02,0.04
danger,4,stone_vault,7,1983487.97,1435858.20,716876.13,633305.92,633305.92,1983487.97,45820.14,175160.57,82476.26,0.04,0.07,0.03,0.04,0.00,0.01,0.03,0.06,0.02,0.04
danger,4,wind_houses,9,2088747.28,1127530.64,317944.72,885401.28,885401.28,2088747.28,45040.00,177155.56,81072.00,0.05,0.09,0.02,0.04,0.00,0.01,0.04,0.07,0.02,0.04
danger,5,capital,11,2656515.26,1438151.03,414788.57,1120863.35,1120863.35,2656515.26,112289.73,443937.09,247037.40,0.08,0.19,0.04,0.10,0.01,0.01,0.08,0.17,0.04,0.09
danger,5,devourers,8,2354017.56,1611222.15,644131.14,854943.21,854943.21,2354017.56,111834.62,437468.50,246036.17,0.07,0.16,0.05,0.11,0.01,0.01,0.07,0.15,0.04,0.10
