mission_profile,rank,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,2,51,1098553.25,563537.31,139388.47,479582.39,479582.39,1098553.25,6966.27,13932.55,9056.16,0.03,0.03,0.01,0.02,0.00,0.00,0.01,0.02,0.01,0.01
danger,3,51,1616363.50,887257.84,267629.90,674366.80,674366.80,1616363.50,18071.76,36143.53,27107.65,0.03,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.02
danger,4,51,2101266.81,1265014.92,471633.08,814816.86,814816.86,2101266.81,45501.33,177661.02,81902.40,0.04,0.08,0.02,0.04,0.00,0.01,0.04,0.06,0.02,0.04
danger,5,51,2440490.94,1462680.00,567184.67,936653.14,936653.14,2440490.94,112687.04,445583.45,247911.49,0.09,0.19,0.05,0.11,0.01,0.01,0.08,0.17,0.05,0.10
danger,6,51,2649956.27,1612819.77,631313.92,1009321.18,1009321.18,2649956.27,286840.24,1791226.43,745784.61,0.20,0.51,0.11,0.29,0.02,0.04,0.17,0.45,0.11,0.28
danger,7,51,2833711.34,1730166.45,671490.57,1081110.38,1081110.38,2833711.34,721736.69,4531492.47,2309557.40,0.44,1.42,0.26,0.83,0.04,0.12,0.41,1.30,0.24,0.76
danger,8,51,2946707.37,1796040.86,719697.02,1113505.17,1113505.17,2946707.37,1881726.51,16256229.65,7150560.74,1.11,4.24,0.65,2.45,0.07,0.28,1.00,3.82,0.64,2.42
danger,9,51,3079675.46,1883825.87,746253.29,1166711.09,1166711.09,3079675.46,4647173.33,40540408.78,20447562.67,2.60,11.45,1.52,6.70,0.17,0.76,2.41,10.60,1.41,6.20
danger,10,51,3134670.98,1933873.40,766371.74,1184149.62,1184149.62,3134670.98,17179774.94,101950260.47,85898874.71,9.49,47.43,5.57,27.83,0.63,3.16,8.29,41.43,5.12,25.58
elite,2,51,525291.96,279696.86,69149.37,228071.29,228071.29,525291.96,6966.27,13932.55,9056.16,0.08,0.10,0.04,0.05,0.01,0.01,0.03,0.04,0.02,0.02
elite,3,51,989173.83,566916.15,175864.04,406654.89,406654.89,989173.83,18071.76,36143.53,27107.65,0.11,0.17,0.05,0.07,0.01,0.02,0.04,0.06,0.02,0.03
elite,4,51,1624935.59,1004120.51,393908.70,615513.45,615513.45,1624935.59,45501.33,177661.02,81902.40,0.12,0.22,0.06,0.11,0.01,0.02,0.05,0.09,0.03,0.05
elite,5,51,2186858.78,1348169.30,552324.15,817267.32,817267.32,2186858.78,112687.04,445583.45,247911.49,0.16,0.35,0.08,0.18,0.01,0.03,0.09,0.19,0.05,0.12
elite,6,51,2623374.21,1636232.23,672146.24,975613.99,975613.99,2623374.21,286840.24,1791226.43,745784.61,0.34,0.89,0.17,0.45,0.03,0.07,0.17,0.44,0.11,0.28
elite,7,51,2983424.60,1849188.37,738893.84,1122265.38,1122265.38,2983424.60,721736.69,4531492.47,2309557.40,0.45,1.44,0.26,0.82,0.04,0.12,0.38,1.23,0.24,0.76
elite,8,51,3228056.12,1988261.20,811692.16,1208181.98,1208181.98,3228056.12,1881726.51,16256229.65,7150560.74,1.07,4.05,0.61,2.31,0.07,0.27,0.91,3.47,0.58,2.21
elite,9,51,3451761.00,2131135.99,853975.32,1298892.84,1298892.84,3451761.00,4647173.33,40540408.78,20447562.67,2.41,10.62,1.39,6.11,0.16,0.71,2.09,9.21,1.35,5.95
elite,10,51,3735616.39,2358517.68,987398.86,1374108.76,1374108.76,3735616.39,17179774.94,101950260.47,85898874.71,8.32,41.59,4.73,23.64,0.56,2.77,6.47,32.36,4.64,23.20
normal,2,51,1327120.37,662388.28,159791.41,583664.48,583664.48,1327120.37,6966.27,13932.55,9056.16,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,3,51,1533866.49,808989.67,229681.45,652092.52,652092.52,1533866.49,18071.76,36143.53,27107.65,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.02
normal,4,51,1626412.54,948319.70,330548.95,647931.79,647931.79,1626412.54,45501.33,177661.02,81902.40,0.05,0.09,0.03,0.05,0.01,0.01,0.05,0.09,0.03,0.05
normal,5,51,1730381.79,1015998.37,380922.52,674729.63,674729.63,1730381.79,112687.04,445583.45,247911.49,0.12,0.25,0.07,0.14,0.01,0.02,0.11,0.25,0.06,0.13
normal,6,51,1776119.93,1062668.02,407001.13,684559.40,684559.40,1776119.93,286840.24,1791226.43,745784.61,0.28,0.73,0.16,0.43,0.02,0.06,0.26,0.68,0.15,0.38
normal,7,51,1839242.46,1111275.60,425218.46,707012.00,707012.00,1839242.46,721736.69,4531492.47,2309557.40,0.67,2.14,0.40,1.27,0.06,0.18,0.63,2.01,0.36,1.15
normal,8,51,1881047.72,1135989.31,449682.18,715682.77,715682.77,1881047.72,1881726.51,16256229.65,7150560.74,1.73,6.56,1.01,3.83,0.12,0.44,1.63,6.20,0.92,3.48
normal,9,51,1939056.20,1179047.79,463209.89,737923.16,737923.16,1939056.20,4647173.33,40540408.78,20447562.67,4.10,18.04,2.42,10.64,0.27,1.20,3.91,17.22,2.22,9.79
