mission_profile,mission_profile_ru,scope,ship_rank,base_fe,required_power,tuned_base_fe,ship_xp_base,ship_xp_multiplier,capacity_multiplier,base_sorties,fe_scale_multiplier,notes_ru
quick,Быстрая,adaptive_ship_rank,2,2200.00,0.00,2200.00,100,0.50,1.00,10,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,3,4400.00,0.00,4400.00,200,0.50,1.00,10,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,4,8700.00,0.00,8700.00,400,0.50,1.00,10,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,5,17400.00,0.00,17400.00,800,0.50,1.00,12,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,6,35000.00,0.00,35000.00,1600,0.50,1.00,12,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,7,70000.00,0.00,70000.00,3200,0.50,1.00,12,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,8,140000.00,0.00,140000.00,6400,0.50,1.00,15,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,9,284000.00,0.00,284000.00,12800,0.50,1.00,15,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
quick,Быстрая,adaptive_ship_rank,10,580000.00,0.00,580000.00,25600,0.50,1.00,15,10,Маленький безопасный быстрый вылет; не предназначен для окупаемости топовых кораблей.
normal,Обычная,fixed_world_difficulty,any,1000000.00,2500.00,1000000.00,by_ship_rank,1.00,1.15,by_ship_rank,10,Стандартная адаптированная миссия по рангу корабля.
danger,Опасная,fixed_world_difficulty,any,1624000.00,4200.00,1624000.00,by_ship_rank,1.45,1.35,by_ship_rank,10,Рискованный вылет с повышенной плотностью целей и ресурсов на старших рангах.
elite,Элитная,fixed_world_difficulty,any,1950000.00,7200.00,1950000.00,by_ship_rank,2.20,1.60,by_ship_rank,10,Самая вкусная и сложная миссия; R10 должен окупаться здесь полной ценностью примерно за 5 вылетов.
