"mission_profile","mission_profile_ru","ship_id","local_name_ru","rank","faction_id","faction_name_ru","ship_class_id","role_id","branch_id","primary_activity","primary_activity_ru","primary_activity_score","combat_score","mining_score","gas_score","hunting_score","salvage_score","relic_score","repair_score","courier_score","effectiveness_multiplier","class_income_multiplier","mission_scope","mission_archetype","mission_base_fe","mission_required_power","ship_power_estimate","mission_success_factor","requirement_details","mission_capacity_multiplier","five_sortie_floor_fe","five_sortie_floor_applied","variance_multiplier","gross_total_value_fe","accumulated_total_value_fe","material_value_fe","intangible_value_fe","extraction_intangible_multiplier","extraction_intangible_bonus_fe","destroyed_total_value_fe","destroyed_liquid_fe","extracted_total_value_fe","extracted_liquid_fe","total_value_fe","freight_fe","extracted_freight_fe","resource_fe","profile_currency_fe","reputation_fe","extracted_reputation_fe","info_fe","liquid_fe","base_ship_xp","destroyed_ship_xp","extracted_ship_xp","ship_xp","base_mastery_points","destroyed_mastery_points","extracted_mastery_points","mastery_points","craft_full_eff_fe","craft_raw_fe","buy_estimate_fe","base_sorties","craft_payback_sorties","raw_craft_payback_sorties","buy_payback_sorties","craft_total_value_payback_sorties","raw_craft_total_value_payback_sorties","buy_total_value_payback_sorties","craft_lifetimes_to_payback","raw_craft_lifetimes_to_payback","buy_lifetimes_to_payback","activity_capacity_fe","activity_capacity_note","capacity_target_fe","capacity_vs_material_value","capacity_vs_required_value","capacity_vs_total_value","capacity_vs_liquid_value","capacity_vs_five_sortie_craft_target"
"quick","Быстрая","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","courier","Курьерка","40.00","34.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.9693","1.00","adaptive_ship_rank","quick_adaptive","2200.00","0.00","97.28","1.0000","quick_adaptive","1.00","0.00","no","1.0244","2184.67","2184.67","327.70","1856.97","2.00","1856.97","1856.97","699.09","4041.63","1725.89","4041.63","699.09","1398.19","262.16","65.54","917.56","1835.12","0.00","1725.89","10","10","20","20","9","9","18","18","6840.00","13680.00","8892.00","10","3.96","7.93","5.15","1.69","3.38","2.20","0.40","0.79","0.52","5658.29","лимит задается плотностью целей/контрактом, не трюмом","4041.63","17.27","1.40","1.40","3.28","4.14"
"normal","Обычная","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","courier","Курьерка","40.00","34.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.9693","1.00","fixed_world_difficulty","normal_courier","1000000.00","2500.00","97.28","0.8303","cargo 39/45; mobility 44/45; stealth 38/40; defense 34/20; survey 0/15","1.15","0.00","no","1.0244","993030.31","824516.07","123677.41","700838.66","2.00","700838.66","700838.66","263845.14","1525354.73","651367.70","1525354.73","263845.14","527690.29","98941.93","24735.48","346296.75","692593.50","0.00","651367.70","20","20","40","40","7","7","14","14","6840.00","13680.00","8892.00","10","0.01","0.02","0.01","0.00","0.01","0.01","0.00","0.00","0.00","2455821.12","лимит задается плотностью целей/контрактом, не трюмом","1525354.73","19.86","1.61","1.61","3.77","1795.19"
"danger","Опасная","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","courier","Курьерка","40.00","34.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.9693","1.00","fixed_world_difficulty","danger_courier","1624000.00","4200.00","97.28","0.3924","cargo 39/60; mobility 44/60; stealth 38/55; defense 34/30; survey 0/25","1.35","0.00","no","1.0244","1612681.22","632795.97","94919.40","537876.57","2.00","537876.57","537876.57","202494.71","1170672.54","499908.82","1170672.54","202494.71","404989.42","75935.52","18983.88","265774.31","531548.61","0.00","499908.82","29","29","58","58","3","3","6","6","6840.00","13680.00","8892.00","10","0.01","0.03","0.02","0.01","0.01","0.01","0.00","0.00","0.00","2212571.11","лимит задается плотностью целей/контрактом, не трюмом","1170672.54","23.31","1.89","1.89","4.43","1617.38"
"elite","Элитная","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","courier","Курьерка","40.00","34.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.9693","1.00","fixed_world_difficulty","elite_courier","1950000.00","7200.00","97.28","0.1539","cargo 39/75; mobility 44/75; stealth 38/65; defense 34/35; survey 0/30","1.60","0.00","no","1.0244","1936409.10","297968.93","44695.34","253273.59","2.00","253273.59","253273.59","95350.06","551242.52","235395.46","551242.52","95350.06","190700.12","35756.27","8939.07","125146.95","250293.90","0.00","235395.46","44","44","88","88","2","2","4","4","6840.00","13680.00","8892.00","10","0.03","0.06","0.04","0.01","0.02","0.02","0.00","0.01","0.00","1234783.25","лимит задается плотностью целей/контрактом, не трюмом","551242.52","27.63","2.24","2.24","5.25","902.62"
"quick","Быстрая","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","combat","Бой","50.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","32.68","0.9992","1.12","adaptive_ship_rank","quick_adaptive","2200.00","0.00","99.12","1.0000","quick_adaptive","1.00","0.00","no","1.0402","2560.90","2560.90","640.22","1920.67","2.00","1920.67","1920.67","1126.80","4481.57","2893.81","4481.57","1126.80","2253.59","512.18","128.04","76.83","153.65","0.00","2893.81","68","68","136","136","7","7","14","14","10250.00","20500.00","13325.00","10","3.54","7.08","4.60","2.29","4.57","2.97","0.35","0.71","0.46","6554.30","лимит задается плотностью целей/контрактом, не трюмом","4481.57","10.24","1.46","1.46","2.26","3.20"
"normal","Обычная","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","combat","Бой","50.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","32.68","0.9992","1.12","fixed_world_difficulty","normal_combat","1000000.00","2500.00","99.12","1.0000","warfare 50/45; defense 58/30; mobility 28/25; stealth 18/20","1.15","0.00","no","1.0402","1164044.51","1164044.51","291011.13","873033.38","2.00","873033.38","873033.38","512179.59","2037077.90","1315370.30","2037077.90","512179.59","1024359.17","232808.90","58202.23","34921.34","69842.67","0.00","1315370.30","135","135","270","270","7","7","14","14","10250.00","20500.00","13325.00","10","0.01","0.02","0.01","0.01","0.01","0.01","0.00","0.00","0.00","3426110.39","лимит задается плотностью целей/контрактом, не трюмом","2037077.90","11.77","1.68","1.68","2.60","1671.27"
"danger","Опасная","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","combat","Бой","50.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","32.68","0.9992","1.12","fixed_world_difficulty","danger_combat","1624000.00","4200.00","99.12","0.7385","warfare 50/65; defense 58/45; mobility 28/35; stealth 18/30","1.35","0.00","no","1.0402","1890408.29","1395993.81","348998.45","1046995.36","2.00","1046995.36","1046995.36","614237.28","2442989.17","1577473.01","2442989.17","614237.28","1228474.56","279198.76","69799.69","41879.81","83759.63","0.00","1577473.01","196","196","392","392","5","5","10","10","10250.00","20500.00","13325.00","10","0.01","0.01","0.01","0.00","0.01","0.01","0.00","0.00","0.00","4823376.75","лимит задается плотностью целей/контрактом, не трюмом","2442989.17","13.82","1.97","1.97","3.06","2352.87"
"elite","Элитная","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","combat","Бой","50.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","32.68","0.9992","1.12","fixed_world_difficulty","elite_combat","1950000.00","7200.00","99.12","0.4197","warfare 50/80; defense 58/55; mobility 28/40; stealth 18/35","1.60","0.00","no","1.0402","2269886.80","952765.11","238191.28","714573.83","2.00","714573.83","714573.83","419216.65","1667338.94","1076624.57","1667338.94","419216.65","838433.29","190553.02","47638.26","28582.95","57165.91","0.00","1076624.57","297","297","594","594","3","3","6","6","10250.00","20500.00","13325.00","10","0.01","0.02","0.01","0.01","0.01","0.01","0.00","0.00","0.00","3901573.12","лимит задается плотностью целей/контрактом, не трюмом","1667338.94","16.38","2.34","2.34","3.62","1903.21"
"quick","Быстрая","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","courier","Курьерка","42.90","20.00","0.00","0.00","0.00","0.00","0.00","0.00","42.90","0.9671","0.92","adaptive_ship_rank","quick_adaptive","2200.00","0.00","96.56","1.0000","quick_adaptive","1.00","0.00","no","1.0475","2050.30","2050.30","307.55","1742.76","2.00","1742.76","1742.76","656.10","3793.06","1619.74","3793.06","656.10","1312.19","246.04","61.51","861.13","1722.26","0.00","1619.74","10","10","20","20","9","9","18","18","5200.00","10400.00","6760.00","10","3.21","6.42","4.17","1.37","2.74","1.78","0.32","0.64","0.42","5379.04","лимит задается плотностью целей/контрактом, не трюмом","3793.06","17.49","1.42","1.42","3.32","5.17"
"normal","Обычная","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","courier","Курьерка","42.90","20.00","0.00","0.00","0.00","0.00","0.00","0.00","42.90","0.9671","0.92","fixed_world_difficulty","normal_courier","1000000.00","2500.00","96.56","0.6545","cargo 27/45; mobility 72/45; stealth 52/40; defense 18/20; survey 0/15","1.15","0.00","no","1.0475","931956.27","610007.74","91501.16","518506.58","2.00","518506.58","518506.58","195202.48","1128514.32","481906.11","1128514.32","195202.48","390404.95","73200.93","18300.23","256203.25","512406.50","0.00","481906.11","20","20","40","40","6","6","12","12","5200.00","10400.00","6760.00","10","0.01","0.02","0.01","0.00","0.01","0.01","0.00","0.00","0.00","1840430.53","лимит задается плотностью целей/контрактом, не трюмом","1128514.32","20.11","1.63","1.63","3.82","1769.64"
