building_group,base_cost_multiplier,time_multiplier,infra_multiplier,pop_multiplier,repeatable_policy,main_unlock_levels,notes_ru
core,1.00,1.00,1.00,1.00,limited,1;5;10;20;30,Главные лимиты острова и обязательные сервисы.
docks,1.35,1.25,1.35,1.10,limited_by_shore,1;4;8;15;25,Корабельные места гавань ремонт верфь и разбор.
processing,1.10,1.05,1.15,1.05,repeatable,1;4;7;13;21,Потоковая переработка сырья из миссий.
production,1.25,1.30,1.25,1.20,repeatable,3;7;13;21;28,Восемь каскадных цехов с bottleneck мощностью.
research,1.05,1.15,0.90,0.80,limited,2;6;12;20;28,Архив знания книги SP и карты.
progression,0.60,0.55,0.35,0.25,unique,1;3;10;20;30,Деревья кораблей достижения освоение и сводка заданий.
orders,1.00,0.95,1.10,0.95,unique,3;5;10;18;26,Курьерка и самолет столицы как регулярные порты.
markets,0.80,0.75,0.70,0.55,unique,4;6;12;20;30,Торговцы бандлы hard currency и фракционная репутация.
events,0.65,0.60,0.45,0.35,unique,4;10;20;30,Физический вход в события без тяжелой экономики здания.
inventory,0.75,0.70,0.60,0.45,unique,3;8;16;24,Контейнеры складские операции и ключи.
idle,0.85,0.90,0.70,0.75,repeatable,2;8;15;22;30,Пассивные источники маленького фона.
island,0.95,1.00,0.55,0.75,limited_by_zone,1;6;12;18;24;30,Расчистка декор реликты и открытие территории.
staff,0.90,0.85,0.50,0.45,unique,7;14;21;28,Специалисты и их лимит.
logistics,1.10,1.05,1.20,0.90,limited_by_shore,8;15;22;30,Внешние слоты и пассивные назначения кораблей.
