level,anchor_max_other_building_level,base_upgrade_cost_fe,base_upgrade_time_min,infrastructure_limit,population_limit,storage_multiplier,mastery_reward,notes_ru
1,1,0,0,20,60,1.00,0,Стартовый уровень и базовый остров.
2,2,180,5,26,74,1.08,40,Первые простые улучшения без долгих таймеров.
3,3,320,10,34,92,1.17,70,Закрывает стартовую полосу.
4,4,540,20,44,114,1.27,110,Открывает первые портовые сервисы.
5,5,850,35,57,142,1.38,160,Первый ощутимый cap для зданий и заказов.
6,6,1300,55,74,176,1.50,220,Старт средних переработчиков.
7,7,1900,80,96,218,1.63,300,Больше работников и промышленной нагрузки.
8,8,2750,120,125,270,1.77,390,Расширение гавани начинает быть важным.
9,9,3900,180,162,335,1.92,500,Закрывает раннюю базу.
10,10,5500,260,210,415,2.08,650,Первый крупный milestone Якорного дома.
11,11,7600,360,270,510,2.25,820,Больше одновременных систем.
12,12,10300,480,345,625,2.43,1020,Средняя база становится устойчивой.
13,13,13800,650,440,765,2.62,1260,Открывает более дорогие фракционные требования.
14,14,18200,850,560,930,2.82,1540,Первые серьезные bottleneck здания.
15,15,23800,1100,710,1125,3.03,1860,Большой средний milestone.
16,16,31000,1400,900,1355,3.25,2220,Подготовка к R7 экономике.
17,17,40500,1800,1140,1625,3.48,2640,Развитые цепочки начинают давить на лимиты.
18,18,53000,2300,1440,1940,3.72,3120,База требует несколько инфраструктурных зданий.
19,19,70000,2900,1810,2310,3.97,3660,Рынки и события уже не должны душить строительство.
20,20,92000,3600,2270,2740,4.23,4300,Второй крупный milestone.
21,21,122000,4500,2840,3240,4.50,5000,Верхняя экономика T1.
22,22,161000,5600,3540,3820,4.78,5800,Дорогие очереди и крупные заказы.
23,23,213000,7000,4400,4490,5.07,6700,База должна быть визуально большой.
24,24,281000,8600,5450,5260,5.37,7700,Закрывает вход в R8 зоны.
25,25,370000,10500,6750,6150,5.68,8800,Почти топовый остров.
26,26,490000,12800,8350,7170,6.00,10000,Много параллельных производств.
27,27,650000,15500,10300,8330,6.33,11300,Закрывает R9 базу.
28,28,860000,18800,12700,9650,6.67,12700,Топовый T1 слой.
29,29,1140000,22600,15600,11150,7.02,14200,Подготовка к редким T2 bottleneck.
30,30,1500000,27000,19100,12850,7.38,16000,Потолок первой версии порта и cap всех зданий.
