rank,primary_activity,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
2,combat,9,4028.23,2601.08,575.46,1726.38,1726.38,4028.23,8901.11,17802.22,11571.44,3.40,4.42,2.19,2.85,0.34,0.44,3.54,4.60,2.29,2.97
2,courier,39,3864.96,1650.44,313.37,1775.79,1775.79,3864.96,6309.74,12619.49,8202.67,3.78,4.92,1.62,2.10,0.38,0.49,3.95,5.14,1.69,2.19
2,hunting,1,3064.17,2498.48,1649.94,707.12,707.12,3064.17,9960.00,19920.00,12948.00,3.99,5.18,3.25,4.23,0.40,0.52,3.99,5.18,3.25,4.23
2,mining,1,2769.35,2322.68,1697.34,536.00,536.00,2769.35,9210.00,18420.00,11973.00,3.97,5.15,3.33,4.32,0.40,0.52,3.97,5.15,3.33,4.32
2,salvage,1,3042.53,2397.15,1567.37,737.58,737.58,3042.53,9920.00,19840.00,12896.00,4.14,5.38,3.26,4.24,0.41,0.54,4.14,5.38,3.26,4.24
3,combat,11,8390.48,5417.85,1198.64,3595.92,3595.92,8390.48,22270.00,44540.00,33405.00,4.07,6.10,2.63,3.94,0.41,0.61,4.34,6.52,2.80,4.21
3,courier,34,7847.29,3351.01,636.27,3605.51,3605.51,7847.29,15790.29,31580.59,23685.44,4.66,6.99,1.99,2.99,0.47,0.70,4.83,7.25,2.06,3.10
3,gas,1,5946.26,4891.28,3644.48,1150.89,1150.89,5946.26,25980.00,51960.00,38970.00,5.31,7.97,4.37,6.55,0.53,0.80,5.31,7.97,4.37,6.55
3,hunting,2,6259.45,5103.86,3370.48,1444.49,1444.49,6259.45,22340.00,44680.00,33510.00,4.33,6.50,3.53,5.29,0.43,0.65,4.33,6.50,3.53,5.29
3,mining,2,5729.15,4805.09,3511.41,1108.87,1108.87,5729.15,20920.00,41840.00,31380.00,4.30,6.46,3.61,5.42,0.43,0.65,4.30,6.46,3.61,5.42
3,salvage,1,6803.08,5360.00,3504.62,1649.23,1649.23,6803.08,27320.00,54640.00,40980.00,5.10,7.65,4.02,6.02,0.51,0.76,5.10,7.65,4.02,6.02
4,combat,17,16585.77,10709.67,2369.39,7108.18,7108.18,16585.77,50826.47,199047.06,91487.65,4.68,8.42,3.02,5.43,0.47,0.84,4.40,7.92,2.84,5.11
4,courier,22,15500.48,6619.12,1256.79,7121.84,7121.84,15500.48,36624.09,144260.00,65923.36,5.51,9.91,2.35,4.23,0.55,0.99,5.13,9.25,2.19,3.95
4,gas,2,11992.92,9865.15,7350.50,2321.21,2321.21,11992.92,55164.00,215236.00,99295.20,5.56,10.02,4.58,8.24,0.55,1.00,5.56,10.02,4.58,8.24
4,hunting,2,12425.86,10131.85,6690.85,2867.51,2867.51,12425.86,53563.00,205532.00,96413.40,5.24,9.43,4.28,7.69,0.53,0.94,5.24,9.43,4.28,7.69
4,mining,4,12030.73,10090.29,7373.67,2328.53,2328.53,12030.73,54630.75,205623.00,98335.35,5.36,9.65,4.50,8.10,0.54,0.96,5.38,9.68,4.50,8.12
4,relic,1,12422.43,4079.01,6118.51,3151.96,3151.96,12422.43,44803.00,179212.00,80645.40,10.98,19.77,3.61,6.49,1.10,1.98,10.98,19.77,3.61,6.49
4,salvage,3,12768.32,10059.89,6577.62,3095.35,3095.35,12768.32,56669.33,219984.00,102004.80,5.47,9.85,4.31,7.76,0.55,0.99,6.22,11.19,4.90,8.82
5,combat,18,34110.11,22025.38,4872.87,14618.62,14618.62,34110.11,124089.50,490478.00,272996.90,5.55,12.22,3.59,7.89,0.46,1.02,5.26,11.57,3.40,7.47
5,courier,15,32011.51,13669.78,2595.53,14707.99,14707.99,32011.51,88705.27,354143.73,195151.59,6.44,14.17,2.75,6.05,0.54,1.18,6.11,13.43,2.61,5.74
5,gas,2,25461.89,20944.46,15605.67,4928.10,4928.10,25461.89,139445.50,552042.00,306780.10,6.62,14.55,5.45,11.97,0.55,1.21,6.62,14.55,5.45,11.97
5,hunting,3,25357.76,20676.33,13654.18,5851.79,5851.79,25357.76,120533.67,469721.33,265174.07,5.67,12.49,4.63,10.18,0.47,1.04,5.38,11.84,4.39,9.66
5,mining,5,24396.38,20461.48,14952.62,4721.88,4721.88,24396.38,123675.40,481565.60,272085.88,5.93,13.06,4.98,10.95,0.50,1.09,5.61,12.35,4.71,10.36
5,relic,1,26024.12,8545.23,12817.85,6603.14,6603.14,26024.12,112208.00,448832.00,246857.60,13.13,28.89,4.31,9.49,1.09,2.41,13.13,28.89,4.31,9.49
5,repair,4,31924.71,10402.43,3945.75,13989.48,13989.48,31924.71,103237.00,407998.00,227121.40,9.89,21.75,3.22,7.09,0.82,1.81,10.25,22.55,3.34,7.35
5,salvage,3,25601.27,20170.70,13188.54,6206.37,6206.37,25601.27,132941.33,527365.33,292470.93,6.42,14.13,5.06,11.13,0.54,1.18,7.29,16.03,5.74,12.63
6,combat,19,70869.70,45761.57,10124.24,30372.73,30372.73,70869.70,314762.95,1968583.79,818383.66,6.81,17.71,4.40,11.43,0.57,1.47,6.43,16.72,4.15,10.79
6,courier,13,64444.58,27519.58,5225.24,29609.67,29609.67,64444.58,216173.15,1323653.85,562050.20,7.83,20.36,3.34,8.69,0.65,1.70,7.50,19.50,3.20,8.33
6,gas,2,52395.71,43099.70,32113.50,10141.10,10141.10,52395.71,356664.50,2272200.00,927327.70,8.21,21.35,6.75,17.56,0.69,1.78,8.21,21.35,6.75,17.56
6,hunting,3,51808.12,42243.54,27896.68,11955.72,11955.72,51808.12,305614.67,1916377.33,794598.13,7.08,18.41,5.77,15.01,0.59,1.54,6.77,17.61,5.52,14.36
6,mining,6,48788.21,40919.14,29902.45,9442.88,9442.88,48788.21,307385.00,1969769.33,799201.00,7.41,19.26,6.21,16.15,0.62,1.60,7.16,18.64,6.01,15.63
6,relic,1,52277.64,17165.79,25748.69,13264.48,13264.48,52277.64,273518.00,1586224.00,711146.80,15.93,41.43,5.23,13.60,1.33,3.45,15.93,41.43,5.23,13.60
6,repair,4,67714.76,22064.36,8369.24,29672.76,29672.76,67714.76,264041.25,1634108.00,686507.25,11.94,31.05,3.89,10.12,1.00,2.59,12.13,31.54,3.96,10.28
6,salvage,3,54317.56,42795.65,27981.77,13167.89,13167.89,54317.56,344646.33,2169050.67,896080.47,7.82,20.34,6.17,16.03,0.65,1.69,8.86,23.04,6.98,18.15
7,combat,21,141091.37,91104.72,20155.91,60467.73,60467.73,141091.37,754079.00,4745902.10,2413052.80,8.16,26.11,5.27,16.86,0.68,2.18,7.92,25.33,5.11,16.36
7,courier,11,134167.61,57293.20,10878.45,61644.58,61644.58,134167.61,562554.09,3453035.64,1800173.09,9.74,31.16,4.16,13.31,0.81,2.60,9.16,29.30,3.91,12.51
