rank,ship_class_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
2,battleship,12,3994.32,2457.59,805.15,1594.59,1594.59,3994.32,10007.50,20015.00,13009.75,4.18,5.42,2.57,3.34,0.42,0.54,3.88,5.03,2.36,3.06
2,cruiser,23,3931.95,1780.50,347.46,1792.24,1792.24,3931.95,6835.22,13670.43,8885.78,3.88,5.04,1.74,2.26,0.39,0.50,4.00,5.20,1.72,2.24
2,frigate,16,3593.55,1534.54,291.37,1651.09,1651.09,3593.55,4873.75,9747.50,6335.88,3.18,4.13,1.36,1.76,0.32,0.41,3.18,4.13,1.35,1.77
3,battleship,12,8314.29,5388.25,1999.70,3157.30,3157.30,8314.29,26606.67,53213.33,39910.00,5.04,7.57,3.30,4.95,0.50,0.76,4.83,7.24,2.88,4.33
3,cruiser,23,7730.75,3845.41,962.90,3383.93,3383.93,7730.75,17382.61,34765.22,26073.91,4.62,6.93,2.27,3.41,0.46,0.69,5.02,7.52,2.17,3.26
3,frigate,16,7390.68,3156.02,599.24,3395.72,3395.72,7390.68,12661.25,25322.50,18991.88,4.01,6.02,1.71,2.57,0.40,0.60,4.00,6.00,1.71,2.56
4,battleship,12,16112.35,11520.19,5102.61,5504.87,5504.87,16112.35,66865.33,258178.00,120357.60,5.83,10.49,4.29,7.72,0.58,1.05,5.88,10.57,4.30,7.75
4,cruiser,23,15034.90,8504.66,2838.46,6098.22,6098.22,15034.90,43961.74,172205.22,79131.13,5.45,9.81,2.98,5.36,0.54,0.98,4.70,8.46,2.79,5.03
4,frigate,16,14469.10,6778.08,1552.62,6458.24,6458.24,14469.10,31691.50,125116.00,57044.70,4.74,8.52,2.21,3.98,0.47,0.85,4.88,8.79,2.15,3.87
5,battleship,12,33521.32,23994.51,10675.01,11423.15,11423.15,33521.32,165125.42,648648.33,363275.92,6.91,15.20,5.08,11.17,0.58,1.27,6.97,15.34,5.11,11.23
5,cruiser,23,31227.45,17537.62,6203.32,12512.07,12512.07,31227.45,109677.48,434323.83,241290.45,6.76,14.86,3.57,7.85,0.56,1.24,5.43,11.94,3.36,7.39
5,frigate,16,28323.33,14193.54,4435.72,11943.80,11943.80,28323.33,77684.50,309470.50,170905.90,5.64,12.40,2.80,6.16,0.47,1.03,5.86,12.88,2.61,5.74
6,battleship,12,67773.87,48594.46,21802.81,22985.53,22985.53,67773.87,411117.17,2646739.33,1068904.63,8.49,22.06,6.24,16.22,0.71,1.84,8.66,22.50,6.28,16.34
6,cruiser,23,63955.69,37690.12,14034.14,24960.78,24960.78,63955.69,281786.04,1742904.35,732643.71,8.08,21.02,4.50,11.71,0.67,1.75,6.75,17.54,4.13,10.75
6,frigate,16,58691.93,29342.07,9148.28,24771.82,24771.82,58691.93,200897.94,1219054.75,522334.64,7.05,18.32,3.50,9.09,0.59,1.53,7.29,18.96,3.21,8.36
7,battleship,12,140447.50,100733.65,45272.27,47587.61,47587.61,140447.50,1042974.08,6771307.00,3337517.07,10.37,33.19,7.62,24.39,0.87,2.77,10.56,33.80,7.62,24.41
7,cruiser,23,131062.10,76867.03,28874.33,51093.88,51093.88,131062.10,707006.22,4392302.26,2262419.90,9.93,31.76,5.50,17.59,0.83,2.65,8.13,26.00,5.11,16.36
7,frigate,16,118562.01,62725.99,19571.36,49495.32,49495.32,118562.01,501983.69,3051717.50,1606347.80,8.30,26.57,4.32,13.82,0.69,2.21,8.84,28.30,4.09,13.10
8,battleship,12,292516.78,201279.57,94477.00,99019.89,99019.89,292516.78,2736288.50,24009786.67,10397896.30,14.14,53.75,9.60,36.48,0.94,3.59,13.33,50.66,9.65,36.67
8,cruiser,23,267921.62,160052.65,59470.36,104225.63,104225.63,267921.62,1804436.39,15447837.57,6856858.29,12.20,46.38,6.88,26.16,0.81,3.09,10.14,38.52,6.37,24.21
8,frigate,16,235574.67,126191.12,44379.58,95597.55,95597.55,235574.67,1351909.56,11603125.50,5137256.34,11.10,42.17,5.88,22.33,0.74,2.81,11.61,44.12,5.51,20.94
9,battleship,12,601957.50,412872.78,191547.58,205204.96,205204.96,601957.50,6677385.92,59267370.67,29380498.03,16.80,73.91,11.41,50.20,1.12,4.93,15.98,70.33,11.30,49.72
9,cruiser,23,566866.50,338475.34,124979.22,220943.64,220943.64,566866.50,4569424.13,39586411.13,20105466.17,14.56,64.08,8.23,36.22,0.97,4.27,12.18,53.59,7.56,33.28
9,frigate,16,492632.72,272674.84,96297.64,198167.54,198167.54,492632.72,3236278.38,27866559.00,14239624.85,12.39,54.51,6.70,29.47,0.83,3.63,11.94,52.55,6.25,27.50
10,battleship,12,1231662.36,847250.07,397301.55,417180.41,417180.41,1231662.36,22214759.42,145908960.67,111073797.08,27.19,135.95,18.49,92.43,1.81,9.06,25.55,127.74,17.94,89.70
10,cruiser,23,1174417.33,715369.36,264681.36,454867.99,454867.99,1174417.33,17039285.87,100263884.35,85196429.35,25.79,128.97,14.82,74.08,1.72,8.60,21.76,108.80,13.65,68.27
10,frigate,16,1014546.99,563125.59,198856.31,407845.34,407845.34,1014546.99,13605489.62,71405401.00,68027448.12,25.31,126.53,13.69,68.46,1.69,8.44,24.51,122.53,12.79,63.94
