rank,faction_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
2,capital,11,3980.48,1859.33,367.81,1806.33,1806.33,3980.48,6987.27,13974.55,9083.45,3.76,4.89,1.73,2.26,0.38,0.49,3.87,5.03,1.73,2.25
2,devourers,8,3746.88,1867.48,512.52,1617.18,1617.18,3746.88,6951.25,13902.50,9036.62,3.69,4.80,1.87,2.43,0.37,0.48,3.82,4.96,1.72,2.24
2,factory_ark,8,3562.75,1872.71,514.43,1524.16,1524.16,3562.75,6735.00,13470.00,8755.50,3.59,4.67,1.90,2.47,0.36,0.47,3.54,4.59,1.75,2.29
2,mist_synod,8,3913.64,1789.41,350.70,1781.47,1781.47,3913.64,6982.50,13965.00,9077.25,3.90,5.07,1.76,2.29,0.39,0.51,3.99,5.17,1.71,2.21
2,stone_vault,7,3658.21,1962.79,574.18,1542.02,1542.02,3658.21,7038.57,14077.14,9150.14,3.58,4.66,1.97,2.56,0.36,0.47,3.59,4.67,1.76,2.29
2,wind_houses,9,4076.05,1840.70,358.77,1858.64,1858.64,4076.05,7088.89,14177.78,9215.56,3.81,4.96,1.72,2.24,0.38,0.50,3.83,4.98,1.69,2.19
3,capital,11,7957.00,3876.00,780.23,3588.38,3588.38,7957.00,17528.18,35056.36,26292.27,4.56,6.85,2.18,3.27,0.46,0.68,4.34,6.52,2.17,3.25
3,devourers,8,7366.35,4208.01,1441.44,2962.45,2962.45,7366.35,17876.25,35752.50,26814.38,4.22,6.33,2.44,3.66,0.42,0.63,4.06,6.09,2.25,3.38
3,factory_ark,8,7714.97,4050.38,1121.50,3296.73,3296.73,7714.97,18193.75,36387.50,27290.62,4.49,6.73,2.36,3.55,0.45,0.67,4.33,6.50,2.20,3.30
3,mist_synod,8,7831.62,3899.66,1104.12,3363.75,3363.75,7831.62,18485.00,36970.00,27727.50,4.74,7.10,2.40,3.60,0.47,0.71,5.04,7.56,2.16,3.24
