mission_profile,mission_profile_ru,ship_id,local_name_ru,rank,faction_id,faction_name_ru,ship_class_id,role_id,branch_id,primary_activity,primary_activity_ru,primary_activity_score,combat_score,mining_score,gas_score,hunting_score,salvage_score,relic_score,repair_score,courier_score,effectiveness_multiplier,class_income_multiplier,mission_scope,mission_archetype,mission_base_fe,mission_required_power,ship_power_estimate,mission_success_factor,requirement_details,mission_capacity_multiplier,five_sortie_floor_fe,five_sortie_floor_applied,variance_multiplier,gross_total_value_fe,accumulated_total_value_fe,material_value_fe,intangible_value_fe,extraction_intangible_multiplier,extraction_intangible_bonus_fe,destroyed_total_value_fe,destroyed_liquid_fe,extracted_total_value_fe,extracted_liquid_fe,total_value_fe,freight_fe,extracted_freight_fe,resource_fe,profile_currency_fe,reputation_fe,extracted_reputation_fe,info_fe,liquid_fe,base_ship_xp,destroyed_ship_xp,extracted_ship_xp,ship_xp,base_mastery_points,destroyed_mastery_points,extracted_mastery_points,mastery_points,craft_full_eff_fe,craft_raw_fe,buy_estimate_fe,base_sorties,craft_payback_sorties,raw_craft_payback_sorties,buy_payback_sorties,craft_total_value_payback_sorties,raw_craft_total_value_payback_sorties,buy_total_value_payback_sorties,craft_lifetimes_to_payback,raw_craft_lifetimes_to_payback,buy_lifetimes_to_payback,activity_capacity_fe,activity_capacity_note,capacity_target_fe,capacity_vs_material_value,capacity_vs_required_value,capacity_vs_total_value,capacity_vs_liquid_value,capacity_vs_five_sortie_craft_target
quick,Быстрая,capital_artillery_cruiser_r02,Барбет,2,capital,Империя,cruiser,artillery,artillery_cruiser,courier,Курьерка,40.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.9693,1.00,adaptive_ship_rank,quick_adaptive,2200.00,0.00,97.28,1.0000,quick_adaptive,1.00,0.00,no,1.0244,2184.67,2184.67,327.70,1856.97,2.00,1856.97,1856.97,699.09,4041.63,1725.89,4041.63,699.09,1398.19,262.16,65.54,917.56,1835.12,0.00,1725.89,10,10,20,20,9,9,18,18,6840.00,13680.00,8892.00,10,3.96,7.93,5.15,1.69,3.38,2.20,0.40,0.79,0.52,5658.29,"лимит задается плотностью целей/контрактом, не трюмом",4041.63,17.27,1.40,1.40,3.28,4.14
quick,Быстрая,capital_artillery_cruiser_r03,Калибр,3,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,46.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,40.33,1.0024,1.00,adaptive_ship_rank,quick_adaptive,4400.00,0.00,167.18,1.0000,quick_adaptive,1.00,0.00,no,0.9890,4362.02,4362.02,1090.51,3271.52,2.00,3271.52,3271.52,1919.29,7633.54,4929.08,7633.54,1919.29,3838.58,872.40,218.10,130.86,261.72,0.00,4929.08,135,135,270,270,9,9,18,18,17210.00,34420.00,25815.00,10,3.49,6.98,5.24,2.25,4.51,3.38,0.35,0.70,0.52,10973.21,"лимит задается плотностью целей/контрактом, не трюмом",7633.54,10.06,1.44,1.44,2.23,3.19
quick,Быстрая,capital_artillery_cruiser_r04,Бастион,4,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,52.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,43.90,1.0387,1.00,adaptive_ship_rank,quick_adaptive,8700.00,0.00,288.96,1.0000,quick_adaptive,1.00,0.00,no,0.9994,9031.37,9031.37,2257.84,6773.52,2.00,6773.52,6773.52,3973.80,15804.89,10205.44,15804.89,3973.80,7947.60,1806.27,451.57,270.94,541.88,0.00,10205.44,270,270,540,540,10,10,20,20,43746.00,169944.00,78742.80,10,4.29,16.65,7.72,2.77,10.75,4.98,0.43,1.67,0.77,23312.21,"лимит задается плотностью целей/контрактом, не трюмом",15804.89,10.32,1.47,1.47,2.28,2.66
quick,Быстрая,capital_artillery_cruiser_r05,Громобой,5,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,64.00,64.00,0.00,0.00,0.00,0.00,4.20,0.00,45.69,1.0895,1.00,adaptive_ship_rank,quick_adaptive,17400.00,0.00,503.80,1.0000,quick_adaptive,1.00,0.00,no,0.9410,17839.69,17839.69,4459.92,13379.77,2.00,13379.77,13379.77,7849.46,31219.46,20158.85,31219.46,7849.46,15698.93,3567.94,891.98,535.19,1070.38,0.00,20158.85,540,540,1080,1080,12,12,24,24,101542.00,406168.00,223392.40,12,5.04,20.15,11.08,3.25,13.01,7.16,0.42,1.68,0.92,48390.16,"лимит задается плотностью целей/контрактом, не трюмом",31219.46,10.85,1.55,1.55,2.40,2.38
quick,Быстрая,capital_artillery_cruiser_r06,Держава,6,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,60.00,60.00,0.00,0.00,0.00,0.00,6.00,0.00,49.94,1.0879,1.00,adaptive_ship_rank,quick_adaptive,35000.00,0.00,858.84,1.0000,quick_adaptive,1.00,0.00,no,1.0141,38614.25,38614.25,9653.56,28960.69,2.00,28960.69,28960.69,16990.27,67574.94,43634.10,67574.94,16990.27,33980.54,7722.85,1930.71,1158.43,2316.86,0.00,43634.10,1080,1080,2160,2160,14,14,28,28,278409.00,1716296.00,723863.40,12,6.38,39.33,16.59,4.12,25.40,10.71,0.53,3.28,1.38,103051.78,"лимит задается плотностью целей/контрактом, не трюмом",67574.94,10.67,1.52,1.52,2.36,1.85
quick,Быстрая,capital_artillery_cruiser_r07,Редут,7,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,70.00,70.00,0.00,0.00,0.00,0.00,7.20,0.00,51.26,1.1314,1.00,adaptive_ship_rank,quick_adaptive,70000.00,0.00,1479.58,1.0000,quick_adaptive,1.00,0.00,no,0.9405,74486.23,74486.23,18621.56,55864.67,2.00,55864.67,55864.67,32773.94,130350.91,84169.44,130350.91,32773.94,65547.88,14897.25,3724.31,2234.59,4469.17,0.00,84169.44,2160,2160,4320,4320,15,15,30,30,650222.00,4027368.00,2080710.40,12,7.73,47.85,24.72,4.99,30.90,15.96,0.64,3.99,2.06,206932.06,"лимит задается плотностью целей/контрактом, не трюмом",130350.91,11.11,1.59,1.59,2.46,1.59
quick,Быстрая,capital_artillery_cruiser_r08,Форпост,8,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,80.00,80.00,0.00,0.00,0.00,0.00,8.40,0.00,53.41,1.1755,1.00,adaptive_ship_rank,quick_adaptive,140000.00,0.00,2575.50,1.0000,quick_adaptive,1.00,0.00,no,1.0259,168837.67,168837.67,42209.42,126628.25,2.00,126628.25,126628.25,74288.57,295465.92,190786.56,295465.92,74288.57,148577.15,33767.53,8441.88,5065.13,10130.26,0.00,190786.56,4320,4320,8640,8640,17,17,34,34,1749416.00,14968000.00,6647780.80,15,9.17,78.45,34.84,5.92,50.66,22.50,0.61,5.23,2.32,487518.76,"лимит задается плотностью целей/контрактом, не трюмом",295465.92,11.55,1.65,1.65,2.56,1.39
quick,Быстрая,capital_artillery_cruiser_r09,Триумф,9,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,88.00,88.00,0.00,0.00,0.00,0.00,9.60,0.00,56.33,1.2150,1.00,adaptive_ship_rank,quick_adaptive,284000.00,0.00,4357.92,1.0000,quick_adaptive,1.00,0.00,no,0.9645,332817.02,332817.02,83204.25,249612.76,2.00,249612.76,249612.76,146439.49,582429.78,376083.23,582429.78,146439.49,292878.97,66563.40,16640.85,9984.51,19969.02,0.00,376083.23,8640,8640,17280,17280,18,18,36,36,4299617.00,37180712.00,18918314.80,15,11.43,98.86,50.30,7.38,63.84,32.48,0.76,6.59,3.35,990130.62,"лимит задается плотностью целей/контрактом, не трюмом",582429.78,11.90,1.70,1.70,2.63,1.15
quick,Быстрая,capital_artillery_cruiser_r10,Аврора,10,capital,Империя,cruiser,artillery,artillery_cruiser,combat,Бой,92.00,92.00,0.00,0.00,0.00,0.00,10.80,0.00,59.66,1.2402,1.00,adaptive_ship_rank,quick_adaptive,580000.00,0.00,7511.04,1.0000,quick_adaptive,1.00,0.00,no,1.0318,742169.41,742169.41,185542.35,556627.05,2.00,556627.05,556627.05,326554.54,1298796.46,838651.43,1298796.46,326554.54,653109.08,148433.88,37108.47,22265.08,44530.16,0.00,838651.43,17280,17280,34560,34560,20,20,40,40,17090114.00,99467304.00,85450570.00,15,20.38,118.60,101.89,13.16,76.58,65.79,1.36,7.91,6.79,2240423.90,"лимит задается плотностью целей/контрактом, не трюмом",1298796.46,12.07,1.72,1.72,2.67,0.66
quick,Быстрая,capital_bomb_artillery_cruiser_r02,Гренадер,2,capital,Империя,cruiser,bomb_artillery,bomb_artillery_cruiser,courier,Курьерка,37.44,30.00,0.00,0.00,0.00,0.00,0.00,0.00,37.44,0.9500,1.00,adaptive_ship_rank,quick_adaptive,2200.00,0.00,96.76,1.0000,quick_adaptive,1.00,0.00,no,0.9607,2007.83,2007.83,301.17,1706.66,2.00,1706.66,1706.66,642.51,3714.49,1586.19,3714.49,642.51,1285.01,240.94,60.23,843.29,1686.58,0.00,1586.19,10,10,20,20,9,9,18,18,6520.00,13040.00,8476.00,10,4.11,8.22,5.34,1.76,3.51,2.28,0.41,0.82,0.53,5140.85,"лимит задается плотностью целей/контрактом, не трюмом",3714.49,17.07,1.38,1.38,3.24,3.94
