budget_row,public_rank,is_virtual_for_t2,buy_t1_fe,craft_t1_fe,raw_input_fe,wind_buyback_fe,power_budget,quick_mission_fe,normal_mission_fe,danger_mission_fe,elite_mission_fe,ship_xp_per_suitable_mission,ship_research_xp_cost,base_sorties,notes_ru
R1,1,false,0,0,0,0,35,60,100,145,220,50,0,999,Бесплатный пионер; не использовать как главный фарм.
R2,2,false,1000,700,500,75,100,220,380,550,840,100,200,10,Первый покупной/крафтовый корабль.
R3,3,false,2500,1800,1300,200,170,440,760,1100,1700,200,800,10,Ранняя специализация.
R4,4,false,6300,4500,3200,480,290,870,1500,2200,3300,400,2400,10,Появляются первые сложные требования.
R5,5,false,16000,11000,8000,1200,500,1740,3000,4350,6600,800,7000,12,Середина ранней экономики.
R6,6,false,40000,28000,20000,3000,850,3500,6000,8700,13200,1600,20000,12,Первый серьезный дорогой слой.
R7,7,false,100000,70000,50000,7500,1450,7000,12000,17400,26400,3200,55000,12,Развитая база и специализация.
R8,8,false,250000,175000,125000,19000,2500,14000,24000,34800,52800,6400,150000,15,Верхняя экономика начинает требовать бонусы.
R9,9,false,625000,440000,310000,46000,4200,28400,49000,71000,108000,12800,400000,15,Почти топовый T1.
R10,10,false,1560000,1100000,780000,117000,7200,58000,100000,145000,220000,25600,1000000,15,Топовый T1 с дорогой эксплуатацией.
R11*,10,true,3900000,2730000,1900000,290000,12200,116000,200000,290000,440000,0,0,15,Виртуальный бюджет для T2: public rank + 5.
R12*,10,true,9800000,6850000,4800000,720000,20800,232000,400000,580000,880000,0,0,15,Виртуальный бюджет для T2.
R13*,10,true,24400000,17100000,12000000,1800000,35300,464000,800000,1160000,1760000,0,0,15,Виртуальный бюджет для T2.
R14*,10,true,61000000,42700000,30000000,4500000,60000,928000,1600000,2320000,3520000,0,0,15,Виртуальный бюджет для T2.
R15*,10,true,152000000,107000000,75000000,11300000,102000,1856000,3200000,4640000,7040000,0,0,15,Виртуальный бюджет для T2 R10.
