building_level,speed_multiplier,time_multiplier,notes_ru
1,1.0000,1.0000,
2,1.0172,0.9831,
3,1.0345,0.9667,
4,1.0517,0.9508,
5,1.0690,0.9355,
6,1.0862,0.9206,
7,1.1034,0.9062,
8,1.1207,0.8923,
9,1.1379,0.8788,
10,1.1552,0.8657,
11,1.1724,0.8529,
12,1.1897,0.8406,
13,1.2069,0.8286,
14,1.2241,0.8169,
15,1.2414,0.8056,
16,1.2586,0.7945,
17,1.2759,0.7838,
18,1.2931,0.7733,
19,1.3103,0.7632,
20,1.3276,0.7532,
21,1.3448,0.7436,
22,1.3621,0.7342,
23,1.3793,0.7250,
24,1.3966,0.7160,
25,1.4138,0.7073,
26,1.4310,0.6988,
27,1.4483,0.6905,
28,1.4655,0.6824,
29,1.4828,0.6744,
30,1.5000,0.6667,Максимум здания ускоряет все рецепты этого здания примерно в полтора раза.
