rank,craft_layer,craft_layer_ru,main_inputs_ru,notes_ru
R1,free_starter,Р‘РµСЃРїР»Р°С‚РЅС‹Р№ СЃС‚Р°СЂС‚РѕРІС‹Р№ РєРѕСЂР°Р±Р»СЊ,РЅРµС‚ РєСЂР°С„С‚Р°,РџРёРѕРЅРµСЂСЃРєРёР№ РєРѕСЂР°Р±Р»СЊ РІС‹РґР°РµС‚СЃСЏ РёРіСЂРѕРєСѓ Рё РЅРµ С‚СЂРµР±СѓРµС‚ РїСЂРѕРёР·РІРѕРґСЃС‚РІРµРЅРЅРѕР№ С†РµРїРѕС‡РєРё.
R2,raw_resources,РџСЂСЏРјРѕР№ СЂРµСЃСѓСЂСЃРЅС‹Р№ РєСЂР°С„С‚,РјРёРЅРµСЂР°Р»С‹; Р±Р°Р·РѕРІС‹Рµ РіР°Р·РѕРІС‹Рµ С„СЂР°РєС†РёРё; РїСЂРѕСЃС‚Р°СЏ СЂР°Р·РґРµР»РєР° Р»РµРІРёР°С„Р°РЅРѕРІ; РїСЂРѕСЃС‚С‹Рµ РґРµС‚Р°Р»Рё Р°РІС‚РѕРјР°С‚РѕРЅРѕРІ,РљРѕСЂР°Р±Р»СЊ РµС‰Рµ РЅР°СЃС‚РѕР»СЊРєРѕ РїСЂРѕСЃС‚РѕР№ С‡С‚Рѕ СЃРѕР±РёСЂР°РµС‚СЃСЏ РїРѕС‡С‚Рё РЅР°РїСЂСЏРјСѓСЋ РёР· РґРѕР±С‹С‚С‹С… Рё РїРµСЂРµСЂР°Р±РѕС‚Р°РЅРЅС‹С… СЂРµСЃСѓСЂСЃРѕРІ.
R3,raw_resources,РџСЂСЏРјРѕР№ СЂРµСЃСѓСЂСЃРЅС‹Р№ РєСЂР°С„С‚,РјРёРЅРµСЂР°Р»С‹; Р±Р°Р·РѕРІС‹Рµ РіР°Р·РѕРІС‹Рµ С„СЂР°РєС†РёРё; РїСЂРѕСЃС‚Р°СЏ СЂР°Р·РґРµР»РєР° Р»РµРІРёР°С„Р°РЅРѕРІ; РїСЂРѕСЃС‚С‹Рµ РґРµС‚Р°Р»Рё Р°РІС‚РѕРјР°С‚РѕРЅРѕРІ,РџРѕСЃР»РµРґРЅРёР№ СЂР°РЅРі РіРґРµ РєРѕСЂР°Р±Р»СЊ РјРѕР¶РЅРѕ СЃРѕР±СЂР°С‚СЊ Р±РµР· РѕС‚РґРµР»СЊРЅРѕРіРѕ СЃР»РѕСЏ РјР°С‚РµСЂРёР°Р»РѕРІ.
R4,prepared_materials,РџРѕРґРіРѕС‚РѕРІР»РµРЅРЅС‹Рµ РјР°С‚РµСЂРёР°Р»С‹,СЃРїР»Р°РІС‹; РїРѕР»РёРјРµСЂС‹; РєРµСЂР°РјРёРєР°; СЂРµР°РєС‚РѕСЂРЅС‹Рµ РјР°С‚РµСЂРёР°Р»С‹,РџРѕСЏРІР»СЏСЋС‚СЃСЏ РјРµС‚Р°Р»Р»СѓСЂРіРёСЏ Рё СЂРµР°РєС‚РѕСЂРЅС‹Р№ РѕС‚СЃРµРє РєР°Рє РѕР±СЏР·Р°С‚РµР»СЊРЅС‹Р№ СЃР»РѕР№ РєСЂР°С„С‚Р°.
R5,prepared_materials,РџРѕРґРіРѕС‚РѕРІР»РµРЅРЅС‹Рµ РјР°С‚РµСЂРёР°Р»С‹,СЃРїР»Р°РІС‹; РїРѕР»РёРјРµСЂС‹; РєРµСЂР°РјРёРєР°; СЂРµР°РєС‚РѕСЂРЅС‹Рµ РјР°С‚РµСЂРёР°Р»С‹,РњР°С‚РµСЂРёР°Р»С‹ СЃС‚Р°РЅРѕРІСЏС‚СЃСЏ РѕСЃРЅРѕРІРѕР№ СЂРµС†РµРїС‚Р° Р° РїСЂСЏРјС‹Рµ РјРёРЅРµСЂР°Р»С‹ СѓС…РѕРґСЏС‚ РІ РјРµРЅСЊС€СѓСЋ РґРѕР»СЋ.
R6,hull_and_machine_parts,РљРѕСЂРїСѓСЃРЅС‹Рµ Рё РјР°С€РёРЅРЅРѕ-РїСЂРёР±РѕСЂРЅС‹Рµ РґРµС‚Р°Р»Рё,РєРѕСЂРїСѓСЃРЅС‹Рµ РґРµС‚Р°Р»Рё; РґРІРёРіР°С‚РµР»Рё; РїСЂРёРІРѕРґС‹; РїРµСЂРµРґР°С‡Рё; РЅР°СЃРѕСЃС‹; РєРѕРјРїСЂРµСЃСЃРѕСЂС‹; РіРёСЂРѕСЃРєРѕРїС‹; СЃРµРЅСЃРѕСЂС‹; РІС‹С‡РёСЃР»РёС‚РµР»Рё,РџРµСЂРІС‹Р№ СЂР°РЅРі РіРґРµ РєРѕСЂР°Р±Р»СЊ СЃРѕР±РёСЂР°РµС‚СЃСЏ СѓР¶Рµ РёР· РїСЂРµРґРјРµС‚РѕРІ Р° РЅРµ С‚РѕР»СЊРєРѕ РёР· РјР°С‚РµСЂРёР°Р»РѕРІ.
R7,hull_and_machine_parts,РљРѕСЂРїСѓСЃРЅС‹Рµ Рё РјР°С€РёРЅРЅРѕ-РїСЂРёР±РѕСЂРЅС‹Рµ РґРµС‚Р°Р»Рё,РєРѕСЂРїСѓСЃРЅС‹Рµ РґРµС‚Р°Р»Рё; РґРІРёРіР°С‚РµР»Рё; РїСЂРёРІРѕРґС‹; РїРµСЂРµРґР°С‡Рё; РЅР°СЃРѕСЃС‹; РєРѕРјРїСЂРµСЃСЃРѕСЂС‹; РіРёСЂРѕСЃРєРѕРїС‹; СЃРµРЅСЃРѕСЂС‹; РІС‹С‡РёСЃР»РёС‚РµР»Рё,РЎР»РѕР№ РїСЂРµРґРјРµС‚РѕРІ СЃС‚Р°РЅРѕРІРёС‚СЃСЏ РіР»Р°РІРЅС‹Рј РґР»СЏ РєРѕСЂРїСѓСЃР° Рё Р±Р°Р·РѕРІС‹С… СЃРёСЃС‚РµРј РєРѕСЂР°Р±Р»СЏ.
R8,ship_blocks,РљРѕСЂР°Р±РµР»СЊРЅС‹Рµ Р±Р»РѕРєРё,СЃРёР»РѕРІРѕР№ Р±Р»РѕРє; С…РѕРґРѕРІРѕР№ Р±Р»РѕРє; РїСЂРёР±РѕСЂРЅС‹Р№ Р±Р»РѕРє; РѕСЂСѓРґРёР№РЅС‹Р№ Р±Р»РѕРє; Р·Р°С‰РёС‚РЅС‹Р№ Р±Р»РѕРє; РіСЂСѓР·РѕРІРѕР№ Р±Р»РѕРє; РїСЂРѕРјС‹СЃР»РѕРІС‹Р№ Р±Р»РѕРє; Р°РЅРіР°СЂРЅС‹Р№ Р±Р»РѕРє,РџРµСЂРІС‹Р№ СЂР°РЅРі РіРґРµ РєСЂСѓРїРЅС‹Рµ Р±Р»РѕРєРё РІС…РѕРґСЏС‚ РІ СЂРµС†РµРїС‚ РєР°Рє Р·Р°РјРµС‚РЅС‹Р№ СЃР»РѕР№.
R9,ship_blocks,РљРѕСЂР°Р±РµР»СЊРЅС‹Рµ Р±Р»РѕРєРё,СЃРёР»РѕРІРѕР№ Р±Р»РѕРє; С…РѕРґРѕРІРѕР№ Р±Р»РѕРє; РїСЂРёР±РѕСЂРЅС‹Р№ Р±Р»РѕРє; РѕСЂСѓРґРёР№РЅС‹Р№ Р±Р»РѕРє; Р·Р°С‰РёС‚РЅС‹Р№ Р±Р»РѕРє; РіСЂСѓР·РѕРІРѕР№ Р±Р»РѕРє; РїСЂРѕРјС‹СЃР»РѕРІС‹Р№ Р±Р»РѕРє; Р°РЅРіР°СЂРЅС‹Р№ Р±Р»РѕРє,РЎРµСЂСЊРµР·РЅР°СЏ РјР°С€РёРЅР° СѓР¶Рµ РІ РѕСЃРЅРѕРІРЅРѕРј СЃРѕР±РёСЂР°РµС‚СЃСЏ РёР· РєСЂСѓРїРЅС‹С… РєРѕСЂР°Р±РµР»СЊРЅС‹С… Р±Р»РѕРєРѕРІ.
R10,faction_flagship_license,Р¤СЂР°РєС†РёРѕРЅРЅР°СЏ С„Р»Р°РіРјР°РЅСЃРєР°СЏ Р»РёС†РµРЅР·РёСЏ,С„Р»Р°РіРјР°РЅСЃРєР°СЏ Р»РёС†РµРЅР·РёСЏ СЃРІРѕРµР№ С„СЂР°РєС†РёРё; РєСЂСѓРїРЅС‹Рµ РєРѕСЂР°Р±РµР»СЊРЅС‹Рµ Р±Р»РѕРєРё; РїРѕРґРіРѕС‚РѕРІР»РµРЅРЅС‹Рµ РјР°С‚РµСЂРёР°Р»С‹; РєРѕСЂРїСѓСЃРЅС‹Рµ РґРµС‚Р°Р»Рё; РјР°С€РёРЅРЅРѕ-РїСЂРёР±РѕСЂРЅС‹Рµ РґРµС‚Р°Р»Рё; РїСЂРѕС„РёР»СЊРЅРѕРµ СЃС‹СЂСЊРµ,Р’РµСЂС€РёРЅР° С‚РµРєСѓС‰РµР№ РєРѕСЂР°Р±РµР»СЊРЅРѕР№ РїСЂРѕРіСЂРµСЃСЃРёРё С‚СЂРµР±СѓРµС‚ РјР°РєСЃРёРјР°Р»СЊРЅСѓСЋ СЂРµРїСѓС‚Р°С†РёСЋ Сѓ С„СЂР°РєС†РёРё Рё СЂР°СЃС…РѕРґСѓРµРјСѓСЋ Р»РёС†РµРЅР·РёСЋ Р·Р° СЃРѕР»РёРґС‹; СЃР°Рј РєСЂР°С„С‚ РїСЂРёРјРµСЂРЅРѕ РІ 2-2.5 СЂР°Р·Р° С‚СЏР¶РµР»РµРµ R9.
