recipe_id,ship_id,local_name_ru,rank,faction_id,faction_name_ru,ship_class_id,ship_class_name_ru,role_id,role_name_ru,branch_id,craft_layer,producer_building_id,base_time_min_level5_yard1,time_min_level5_yard30,required_license_item_id,required_license_amount,input_ids_level5,input_amounts_level5,target_material_fe_level5,notes_ru
craft_capital_patrol_frigate_r02,capital_patrol_frigate_r02,Коршун,2,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,raw_resources,frigate_yard,1.60,1.07,,0,iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz,80;22;73;24;14;2;13;7,5235.00,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r03,capital_patrol_frigate_r03,Стриж,3,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,raw_resources,frigate_yard,3.75,2.50,,0,iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz,194;53;182;59;35;6;32;19,12833.45,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r04,capital_patrol_frigate_r04,Шершень,4,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,prepared_materials,frigate_yard,9.00,6.00,,0,steel;bulat;elektron;brass;aramid;siloxane;orkit;resin;bakelite;iron,195;16;52;41;13;20;11;17;26;83,33453.69,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r05,capital_patrol_frigate_r05,Горностай,5,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,prepared_materials,frigate_yard,22.50,15.00,,0,steel;bulat;elektron;brass;aramid;siloxane;orkit;resin;bakelite;glass_ceramic,464;40;125;99;32;49;26;39;61;43,79929.14,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r06,capital_patrol_frigate_r06,Вымпел,6,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,hull_and_machine_parts,frigate_yard,60.00,40.00,,0,bulkhead;deck_section;armor_plate;actuator;beam;hatch;plating;gyroscope;engine;steel;cowling;transmission,24;24;9;3;24;16;17;2;1;213;10;1,192954.79,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r07,capital_patrol_frigate_r07,Ястреб,7,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,hull_and_machine_parts,frigate_yard,135.00,90.00,,0,bulkhead;deck_section;armor_plate;actuator;beam;hatch;plating;gyroscope;engine;cowling;transmission;steel,68;69;25;9;66;44;48;5;4;28;3;449,537938.35,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r08,capital_patrol_frigate_r08,Сокол,8,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,ship_blocks,frigate_yard,270.00,180.00,,0,propulsion_block;defense_block;power_block;weapon_block;instrument_block;cargo_block;bulkhead;deck_section;armor_plate;actuator;hatch;beam;plating;gyroscope,2;2;1;1;1;1;66;67;25;9;43;64;46;6,1217304.14,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r09,capital_patrol_frigate_r09,Кречет,9,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,ship_blocks,frigate_yard,495.00,330.00,,0,propulsion_block;defense_block;power_block;weapon_block;instrument_block;cargo_block;bulkhead;deck_section;armor_plate;actuator;hatch;beam;steel;plating,4;7;4;4;2;3;137;142;53;19;91;130;1811;95,3349243.74,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_patrol_frigate_r10,capital_patrol_frigate_r10,Орлан,10,capital,Империя,frigate,Frigate,patrol,Patrol,patrol_frigate,faction_flagship_license,frigate_yard,900.00,600.00,capital_flagship_license,1,propulsion_block;defense_block;power_block;weapon_block;instrument_block;cargo_block;steel;deck_section;bulkhead;armor_plate;actuator;hatch;beam;gyroscope;plating;engine,8;13;9;8;5;6;6990;377;358;141;52;242;335;30;245;22,7857110.88,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r02,capital_recon_frigate_r02,Фонарщик,2,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,raw_resources,frigate_yard,1.60,1.07,,0,iron;magnesium;quartz;copper;charcoal;calcite;claudium;aerosil,64;25;23;22;44;10;3;17,5110.82,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
