rank,faction_id,economy_level,ship_count,min_total_fe,avg_total_fe,median_total_fe,max_total_fe
2,capital,0,11,9460.00,13974.55,13680.00,21340.00
2,capital,1,11,8650.00,12741.82,12480.00,19380.00
2,capital,2,11,7730.00,11336.36,11080.00,17160.00
2,capital,3,11,6730.00,9953.64,9740.00,15150.00
2,capital,4,11,5810.00,8548.18,8340.00,12930.00
2,capital,5,11,4730.00,6987.27,6840.00,10670.00
2,devourers,0,8,9620.00,13902.50,13880.00,20400.00
2,devourers,1,8,8790.00,12768.75,12775.00,18730.00
2,devourers,2,8,7940.00,11440.00,11435.00,16500.00
2,devourers,3,8,6920.00,9985.00,9925.00,14740.00
2,devourers,4,8,6090.00,8656.25,8635.00,12510.00
2,devourers,5,8,4810.00,6951.25,6940.00,10200.00
2,factory_ark,0,8,9040.00,13470.00,13240.00,19840.00
2,factory_ark,1,8,8310.00,12305.00,12120.00,17970.00
2,factory_ark,2,8,7500.00,11002.50,10785.00,16060.00
2,factory_ark,3,8,6710.00,9655.00,9485.00,14100.00
2,factory_ark,4,8,5820.00,8352.50,8150.00,12170.00
2,factory_ark,5,8,4520.00,6735.00,6620.00,9920.00
2,mist_synod,0,8,9080.00,13965.00,13410.00,19740.00
2,mist_synod,1,8,8370.00,12727.50,12175.00,17860.00
2,mist_synod,2,8,7450.00,11357.50,10875.00,15890.00
2,mist_synod,3,8,6700.00,9963.75,9540.00,13910.00
2,mist_synod,4,8,5780.00,8593.75,8240.00,11960.00
2,mist_synod,5,8,4540.00,6982.50,6705.00,9870.00
2,stone_vault,0,7,9520.00,14077.14,13320.00,19260.00
2,stone_vault,1,7,8670.00,12784.29,12230.00,17400.00
2,stone_vault,2,7,7750.00,11384.29,10990.00,15510.00
2,stone_vault,3,7,6830.00,10012.86,9690.00,13550.00
2,stone_vault,4,7,5910.00,8612.86,8450.00,11660.00
2,stone_vault,5,7,4760.00,7038.57,6660.00,9630.00
2,wind_houses,0,9,9780.00,14177.78,13660.00,21220.00
2,wind_houses,1,9,8960.00,12915.56,12480.00,19220.00
2,wind_houses,2,9,7970.00,11488.89,11120.00,17080.00
2,wind_houses,3,9,6970.00,10064.44,9680.00,14970.00
2,wind_houses,4,9,5980.00,8637.78,8320.00,12830.00
2,wind_houses,5,9,4890.00,7088.89,6830.00,10610.00
3,capital,0,11,23000.00,35056.36,34420.00,52400.00
3,capital,1,11,20730.00,31702.73,31320.00,47260.00
3,capital,2,11,18440.00,28211.82,27850.00,42040.00
3,capital,3,11,16150.00,24675.45,24360.00,36790.00
3,capital,4,11,13860.00,21184.55,20890.00,31570.00
3,capital,5,11,11500.00,17528.18,17210.00,26200.00
3,devourers,0,8,23660.00,35752.50,34530.00,54260.00
3,devourers,1,8,21490.00,32417.50,31325.00,49050.00
3,devourers,2,8,19200.00,28897.50,27955.00,43720.00
3,devourers,3,8,16720.00,25237.50,24380.00,38160.00
3,devourers,4,8,14430.00,21717.50,21010.00,32830.00
3,devourers,5,8,11830.00,17876.25,17265.00,27130.00
3,factory_ark,0,8,25760.00,36387.50,34560.00,54640.00
3,factory_ark,1,8,23300.00,32982.50,31445.00,49310.00
3,factory_ark,2,8,20750.00,29332.50,27875.00,43840.00
3,factory_ark,3,8,18120.00,25647.50,24500.00,38340.00
3,factory_ark,4,8,15570.00,21997.50,20930.00,32870.00
3,factory_ark,5,8,12880.00,18193.75,17280.00,27320.00
3,mist_synod,0,8,24880.00,36970.00,35130.00,54020.00
3,mist_synod,1,8,22670.00,33446.25,31730.00,48780.00
3,mist_synod,2,8,20150.00,29752.50,28265.00,43320.00
3,mist_synod,3,8,17630.00,26060.00,24765.00,37950.00
3,mist_synod,4,8,15110.00,22366.25,21300.00,32490.00
3,mist_synod,5,8,12440.00,18485.00,17565.00,27010.00
3,stone_vault,0,7,23760.00,36594.29,33400.00,53820.00
3,stone_vault,1,7,21520.00,33078.57,30220.00,48620.00
3,stone_vault,2,7,19100.00,29402.86,26940.00,43150.00
3,stone_vault,3,7,16800.00,25780.00,23740.00,37870.00
3,stone_vault,4,7,14380.00,22104.29,20460.00,32400.00
3,stone_vault,5,7,11880.00,18297.14,16700.00,26910.00
3,wind_houses,0,9,24040.00,36517.78,35840.00,56540.00
3,wind_houses,1,9,21830.00,33007.78,32400.00,50970.00
3,wind_houses,2,9,19380.00,29354.44,28790.00,45340.00
3,wind_houses,3,9,16960.00,25693.33,25200.00,39620.00
3,wind_houses,4,9,14510.00,22040.00,21590.00,33990.00
3,wind_houses,5,9,12020.00,18258.89,17920.00,28270.00
4,capital,0,11,117268.00,175761.82,170792.00,255468.00
4,capital,1,11,101598.00,151058.09,146602.00,218690.00
4,capital,2,11,80969.00,120316.64,116624.00,176215.00
4,capital,3,11,62945.00,93886.27,91027.00,136852.00
4,capital,4,11,46960.00,70010.64,67980.00,103682.00
4,capital,5,11,30217.00,45248.64,44040.00,68047.00
4,devourers,0,8,120520.00,175363.50,166928.00,263772.00
4,devourers,1,8,104652.00,151509.75,144338.50,227255.00
4,devourers,2,8,81932.00,120442.38,114868.00,181562.00
4,devourers,3,8,65372.00,94162.88,89851.00,141255.00
4,devourers,4,8,47712.00,70055.75,66959.00,105768.00
4,devourers,5,8,30720.00,45330.88,43472.00,68613.00
4,factory_ark,0,8,125332.00,182226.00,173246.00,277068.00
4,factory_ark,1,8,109112.00,157430.88,149253.50,238356.00
4,factory_ark,2,8,86960.00,125669.38,118855.00,191478.00
