recipe_id,ship_id,local_name_ru,rank,faction_id,ship_class_id,role_id,branch_id,producer_building_id,scenario_id,scenario_ru,economy_level,time_level,building_level,final_assembly_min,item_work_min,total_work_min,staged_parallel_min,total_work_hours,staged_parallel_hours,metallurgy_min,chemical_reactor_min,construction_min,mechanical_min,instrumentation_min,assembly_min
craft_capital_patrol_frigate_r02,capital_patrol_frigate_r02,Коршун,2,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,4.00,0.00,4.00,4.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r02,capital_patrol_frigate_r02,Коршун,2,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,1.07,0.00,1.07,1.07,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r03,capital_patrol_frigate_r03,Стриж,3,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,9.38,0.00,9.38,9.38,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r03,capital_patrol_frigate_r03,Стриж,3,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,2.50,0.00,2.50,2.50,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r04,capital_patrol_frigate_r04,Шершень,4,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,22.50,1217.50,1240.00,930.00,20.67,15.50,907.50,310.00,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r04,capital_patrol_frigate_r04,Шершень,4,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,6.00,176.71,182.71,137.39,3.05,2.29,131.39,45.32,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r05,capital_patrol_frigate_r05,Горностай,5,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,56.25,2965.00,3021.25,2091.25,50.35,34.85,2035.00,930.00,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r05,capital_patrol_frigate_r05,Горностай,5,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,15.00,408.12,423.12,289.80,7.05,4.83,274.80,133.32,0.00,0.00,0.00,0.00
craft_capital_patrol_frigate_r06,capital_patrol_frigate_r06,Вымпел,6,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,150.00,17990.00,18140.00,14975.00,302.33,249.58,5705.00,2530.00,9120.00,415.00,220.00,0.00
craft_capital_patrol_frigate_r06,capital_patrol_frigate_r06,Вымпел,6,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,40.00,1887.74,1927.74,1674.42,32.13,27.91,418.36,168.64,1216.06,55.34,29.34,0.00
