rank,ship_class_id,producer_building_id,scenario_id,scenario_ru,ship_count,avg_final_assembly_min,min_total_work_min,avg_total_work_min,median_total_work_min,max_total_work_min,min_staged_parallel_min,avg_staged_parallel_min,median_staged_parallel_min,max_staged_parallel_min,avg_total_work_hours,avg_staged_parallel_hours
2,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.07,0.07
2,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,0.02,0.02
2,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.07,0.07
2,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,0.02,0.02
2,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.07,0.07
2,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,0.02,0.02
3,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,0.16,0.16
3,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,0.04,0.04
3,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,0.16,0.16
3,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,0.04,0.04
