profile_id,ship_class_ru,ship_class_id,economy_level,ship_count,input_multiplier,avg_discountable_fe,avg_license_fe,avg_total_fe,median_total_fe,min_total_fe,max_total_fe,avg_total_mfe
r10_battleship,Линкор,battleship,0,12,2.00,140308960.67,5600000.00,145908960.67,144903506.00,137652848.00,156381592.00,145.909
r10_battleship,Линкор,battleship,1,12,1.80,116126730.58,5600000.00,121726730.58,121022955.00,113978725.00,130891277.00,121.727
r10_battleship,Линкор,battleship,2,12,1.60,80092847.58,5600000.00,85692847.58,85109198.50,80196391.00,92222189.00,85.693
r10_battleship,Линкор,battleship,3,12,1.40,53553165.83,5600000.00,59153165.83,58873813.50,55515963.00,63131983.00,59.153
r10_battleship,Линкор,battleship,4,12,1.20,33567841.50,5600000.00,39167841.50,38962927.00,36797684.00,41764522.00,39.168
r10_battleship,Линкор,battleship,5,12,1.00,16614759.42,5600000.00,22214759.42,22052641.50,21149649.00,23492177.00,22.215
r10_cruiser,Крейсер,cruiser,0,23,2.00,94663884.35,5600000.00,100263884.35,99382200.00,94220848.00,109924544.00,100.264
r10_cruiser,Крейсер,cruiser,1,23,1.80,79025107.74,5600000.00,84625107.74,83860621.00,79390204.00,92798071.00,84.625
r10_cruiser,Крейсер,cruiser,2,23,1.60,54530403.70,5600000.00,60130403.70,59746877.00,56478859.00,65385671.00,60.130
r10_cruiser,Крейсер,cruiser,3,23,1.40,36855409.83,5600000.00,42455409.83,42298723.00,40076782.00,45734462.00,42.455
r10_cruiser,Крейсер,cruiser,4,23,1.20,23124203.74,5600000.00,28724203.74,28770258.00,27213834.00,30536418.00,28.724
r10_cruiser,Крейсер,cruiser,5,23,1.00,11439285.87,5600000.00,17039285.87,17090114.00,16107367.00,17856499.00,17.039
r10_frigate,Фрегат,frigate,0,16,2.00,65805401.00,5600000.00,71405401.00,70985544.00,66209988.00,79812072.00,71.405
r10_frigate,Фрегат,frigate,1,16,1.80,55555894.50,5600000.00,61155894.50,60459445.00,56668067.00,68143570.00,61.156
r10_frigate,Фрегат,frigate,2,16,1.60,38459881.06,5600000.00,44059881.06,43552945.00,41195856.00,48918959.00,44.060
r10_frigate,Фрегат,frigate,3,16,1.40,25898937.44,5600000.00,31498937.44,31207208.00,29733431.00,34328540.00,31.499
r10_frigate,Фрегат,frigate,4,16,1.20,16314317.25,5600000.00,21914317.25,21728270.00,20830266.00,23681480.00,21.914
r10_frigate,Фрегат,frigate,5,16,1.00,8005489.62,5600000.00,13605489.62,13505263.00,13121185.00,14503042.00,13.605
