profile_id,economy_level,input_multiplier,required_license_amount,input_ids,input_amounts,total_discountable_input_units
r10_frigate,0,2.00,1,power_block;propulsion_block;instrument_block;weapon_block;steel;orkit;sensor;calculator;automaton_core,2;2;2;2;80;30;4;4;2,128
r10_frigate,1,1.80,1,power_block;propulsion_block;instrument_block;weapon_block;steel;orkit;sensor;calculator;automaton_core,2;2;2;2;72;27;4;4;2,117
r10_frigate,2,1.60,1,power_block;propulsion_block;instrument_block;weapon_block;steel;orkit;sensor;calculator;automaton_core,2;2;2;2;64;24;4;4;2,106
r10_frigate,3,1.40,1,power_block;propulsion_block;instrument_block;weapon_block;steel;orkit;sensor;calculator;automaton_core,2;2;2;2;56;21;3;3;2,93
r10_frigate,4,1.20,1,power_block;propulsion_block;instrument_block;weapon_block;steel;orkit;sensor;calculator;automaton_core,2;2;2;2;48;18;3;3;2,82
r10_frigate,5,1.00,1,power_block;propulsion_block;instrument_block;weapon_block;steel;orkit;sensor;calculator;automaton_core,1;1;1;1;40;15;2;2;1,64
r10_cruiser,0,2.00,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;cargo_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core,2;2;2;2;2;2;160;40;60;4;8;8;4;4,300
r10_cruiser,1,1.80,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;cargo_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core,2;2;2;2;2;2;144;36;54;4;8;8;4;4,274
r10_cruiser,2,1.60,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;cargo_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core,2;2;2;2;2;2;128;32;48;4;7;7;4;4,246
r10_cruiser,3,1.40,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;cargo_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core,2;2;2;2;2;2;112;28;42;3;6;6;3;3,215
r10_cruiser,4,1.20,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;cargo_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core,2;2;2;2;2;2;96;24;36;3;5;5;3;3,187
r10_cruiser,5,1.00,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;cargo_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core,1;1;1;1;1;1;80;20;30;2;4;4;2;2,150
r10_battleship,0,2.00,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;industry_block;hangar_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core;leviathan_ichor;nulgas,2;2;2;4;4;2;2;300;100;120;8;16;16;10;10;20;20,638
r10_battleship,1,1.80,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;industry_block;hangar_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core;leviathan_ichor;nulgas,2;2;2;4;4;2;2;270;90;108;8;15;15;9;9;18;18,578
r10_battleship,2,1.60,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;industry_block;hangar_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core;leviathan_ichor;nulgas,2;2;2;4;4;2;2;240;80;96;7;13;13;8;8;16;16,515
r10_battleship,3,1.40,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;industry_block;hangar_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core;leviathan_ichor;nulgas,2;2;2;3;3;2;2;210;70;84;6;12;12;7;7;14;14,452
r10_battleship,4,1.20,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;industry_block;hangar_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core;leviathan_ichor;nulgas,2;2;2;3;3;2;2;180;60;72;5;10;10;6;6;12;12,389
r10_battleship,5,1.00,1,power_block;propulsion_block;instrument_block;weapon_block;defense_block;industry_block;hangar_block;steel;bulat;orkit;engine;sensor;calculator;automaton_core;automaton_servo_core;leviathan_ichor;nulgas,1;1;1;2;2;1;1;150;50;60;4;8;8;5;5;10;10,319
