profile_id,time_level,time_multiplier,time_min_building1,time_min_building30
r10_frigate,0,2.50,2250.00,1500.00
r10_frigate,1,2.20,1980.00,1320.00
r10_frigate,2,1.90,1710.00,1140.00
r10_frigate,3,1.60,1440.00,960.00
r10_frigate,4,1.30,1170.00,780.00
r10_frigate,5,1.00,900.00,600.00
r10_cruiser,0,2.50,2250.00,1500.00
r10_cruiser,1,2.20,1980.00,1320.00
r10_cruiser,2,1.90,1710.00,1140.00
r10_cruiser,3,1.60,1440.00,960.00
r10_cruiser,4,1.30,1170.00,780.00
r10_cruiser,5,1.00,900.00,600.00
r10_battleship,0,2.50,2250.00,1500.00
r10_battleship,1,2.20,1980.00,1320.00
r10_battleship,2,1.90,1710.00,1140.00
r10_battleship,3,1.60,1440.00,960.00
r10_battleship,4,1.30,1170.00,780.00
r10_battleship,5,1.00,900.00,600.00
