rank,ship_class_id,economy_level,ship_count,min_total_fe,avg_total_fe,median_total_fe,max_total_fe,avg_discountable_fe,avg_license_fe
2,battleship,0,12,18420.00,20015.00,19880.00,21340.00,20015.00,0.00
2,battleship,1,12,16690.00,18163.33,18025.00,19380.00,18163.33,0.00
2,battleship,2,12,14810.00,16155.83,16130.00,17160.00,16155.83,0.00
2,battleship,3,12,13030.00,14173.33,14065.00,15150.00,14173.33,0.00
2,battleship,4,12,11150.00,12165.83,12180.00,12930.00,12165.83,0.00
2,battleship,5,12,9210.00,10007.50,9940.00,10670.00,10007.50,0.00
2,cruiser,0,23,12600.00,13670.43,13580.00,15180.00,13670.43,0.00
2,cruiser,1,23,11550.00,12488.26,12480.00,13810.00,12488.26,0.00
2,cruiser,2,23,10340.00,11133.04,11080.00,12270.00,11133.04,0.00
2,cruiser,3,23,8960.00,9765.22,9680.00,10720.00,9765.22,0.00
2,cruiser,4,23,7750.00,8410.00,8390.00,9180.00,8410.00,0.00
2,cruiser,5,23,6300.00,6835.22,6790.00,7590.00,6835.22,0.00
2,frigate,0,16,9040.00,9747.50,9660.00,10420.00,9747.50,0.00
2,frigate,1,16,8310.00,8944.38,8930.00,9510.00,8944.38,0.00
2,frigate,2,16,7450.00,8016.25,8035.00,8520.00,8016.25,0.00
2,frigate,3,16,6700.00,7019.38,6975.00,7430.00,7019.38,0.00
2,frigate,4,16,5780.00,6091.25,6110.00,6380.00,6091.25,0.00
2,frigate,5,16,4520.00,4873.75,4830.00,5210.00,4873.75,0.00
3,battleship,0,12,50000.00,53213.33,53830.00,56540.00,53213.33,0.00
3,battleship,1,12,45100.00,48051.67,48690.00,50970.00,48051.67,0.00
3,battleship,2,12,40170.00,42741.67,43235.00,45340.00,42741.67,0.00
3,battleship,3,12,35090.00,37375.00,37885.00,39620.00,37375.00,0.00
3,battleship,4,12,30160.00,32065.00,32445.00,33990.00,32065.00,0.00
3,battleship,5,12,25000.00,26606.67,26915.00,28270.00,26606.67,0.00
3,cruiser,0,23,32420.00,34765.22,34980.00,36300.00,34765.22,0.00
3,cruiser,1,23,29280.00,31469.13,31640.00,32840.00,31469.13,0.00
3,cruiser,2,23,25990.00,27996.52,28130.00,29210.00,27996.52,0.00
3,cruiser,3,23,22810.00,24520.43,24760.00,25540.00,24520.43,0.00
3,cruiser,4,23,19520.00,21047.83,21170.00,21920.00,21047.83,0.00
3,cruiser,5,23,16210.00,17382.61,17490.00,18150.00,17382.61,0.00
3,frigate,0,16,23000.00,25322.50,25650.00,27180.00,25322.50,0.00
3,frigate,1,16,20730.00,22981.88,23215.00,24560.00,22981.88,0.00
3,frigate,2,16,18440.00,20461.25,20695.00,21950.00,20461.25,0.00
3,frigate,3,16,16150.00,17888.75,18035.00,19180.00,17888.75,0.00
3,frigate,4,16,13860.00,15368.12,15515.00,16490.00,15368.12,0.00
3,frigate,5,16,11500.00,12661.25,12825.00,13590.00,12661.25,0.00
4,battleship,0,12,238740.00,258178.00,257950.00,277068.00,258178.00,0.00
4,battleship,1,12,204156.00,221593.83,221428.00,238356.00,221593.83,0.00
4,battleship,2,12,163943.00,177480.00,177345.50,191478.00,177480.00,0.00
4,battleship,3,12,128029.00,137717.50,137640.50,147818.00,137717.50,0.00
4,battleship,4,12,96600.00,103433.83,103561.00,111405.00,103433.83,0.00
4,battleship,5,12,63735.00,66865.33,67362.00,71087.00,66865.33,0.00
4,cruiser,0,23,157812.00,172205.22,171720.00,190216.00,172205.22,0.00
4,cruiser,1,23,135038.00,148523.09,147501.00,163001.00,148523.09,0.00
4,cruiser,2,23,108298.00,118102.00,117647.00,129430.00,118102.00,0.00
4,cruiser,3,23,84621.00,92103.48,91889.00,101212.00,92103.48,0.00
4,cruiser,4,23,63552.00,68511.70,68200.00,75158.00,68511.70,0.00
4,cruiser,5,23,41189.00,43961.74,44040.00,48964.00,43961.74,0.00
4,frigate,0,16,112164.00,125116.00,126058.00,134136.00,125116.00,0.00
4,frigate,1,16,96682.00,108462.00,109288.00,116887.00,108462.00,0.00
4,frigate,2,16,76934.00,86099.50,86951.50,93788.00,86099.50,0.00
4,frigate,3,16,60468.00,67252.31,67672.00,72077.00,67252.31,0.00
4,frigate,4,16,45072.00,49917.94,50484.00,54207.00,49917.94,0.00
4,frigate,5,16,29061.00,31691.50,31767.00,34166.00,31691.50,0.00
5,battleship,0,12,618908.00,648648.33,648718.00,688052.00,648648.33,0.00
5,battleship,1,12,527831.00,555091.83,555291.00,588902.00,555091.83,0.00
5,battleship,2,12,422504.00,443397.92,443770.50,472236.00,443397.92,0.00
5,battleship,3,12,327682.00,343066.50,342731.00,363420.00,343066.50,0.00
5,battleship,4,12,244888.00,256556.83,256640.00,273086.00,256556.83,0.00
5,battleship,5,12,158776.00,165125.42,163999.50,175233.00,165125.42,0.00
5,cruiser,0,23,395984.00,434323.83,437200.00,467508.00,434323.83,0.00
5,cruiser,1,23,341951.00,372976.35,376254.00,402295.00,372976.35,0.00
5,cruiser,2,23,270893.00,296207.30,297952.00,319494.00,296207.30,0.00
5,cruiser,3,23,212896.00,230473.00,231574.00,247822.00,230473.00,0.00
5,cruiser,4,23,157432.00,171052.39,172336.00,184608.00,171052.39,0.00
5,cruiser,5,23,100462.00,109677.48,109300.00,118954.00,109677.48,0.00
5,frigate,0,16,289564.00,309470.50,307736.00,329240.00,309470.50,0.00
5,frigate,1,16,247986.00,266863.06,267035.00,283482.00,266863.06,0.00
5,frigate,2,16,197333.00,211476.56,212702.50,225174.00,211476.56,0.00
5,frigate,3,16,152848.00,164616.44,164700.50,174923.00,164616.44,0.00
5,frigate,4,16,113684.00,121799.38,122326.00,129814.00,121799.38,0.00
5,frigate,5,16,72391.00,77684.50,77541.50,82310.00,77684.50,0.00
6,battleship,0,12,2519808.00,2646739.33,2630012.00,2758704.00,2646739.33,0.00
6,battleship,1,12,2122564.00,2214429.58,2211740.50,2323026.00,2214429.58,0.00
6,battleship,2,12,1538890.00,1606397.00,1613792.00,1677886.00,1606397.00,0.00
6,battleship,3,12,1094373.00,1146505.17,1143218.00,1193367.00,1146505.17,0.00
6,battleship,4,12,727898.00,762897.50,765506.00,791222.00,762897.50,0.00
6,battleship,5,12,390133.00,411117.17,412672.00,428071.00,411117.17,0.00
6,cruiser,0,23,1586224.00,1742904.35,1761704.00,1879088.00,1742904.35,0.00
6,cruiser,1,23,1359965.00,1475222.74,1478818.00,1577810.00,1475222.74,0.00
