"recipe_id","ship_id","economy_level","input_multiplier","required_license_item_id","required_license_amount","input_ids","input_amounts","total_discountable_input_units"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","0","2.00","","0","iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz","160;44;146;48;28;4;26;14","470"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","1","1.80","","0","iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz","144;40;132;44;26;4;24;13","427"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","2","1.60","","0","iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz","128;36;117;39;23;4;21;12","380"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","3","1.40","","0","iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz","112;31;103;34;20;3;19;10","332"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","4","1.20","","0","iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz","96;27;88;29;17;3;16;9","285"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","5","1.00","","0","iron;magnesium;charcoal;copper;calcite;claudium;aerosil;quartz","80;22;73;24;14;2;13;7","235"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","0","2.00","","0","iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel","238;204;66;44;38;12;18;6","626"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","1","1.80","","0","iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel","215;184;60;40;35;11;17;6","568"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","2","1.60","","0","iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel","191;164;53;36;31;10;15;5","505"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","3","1.40","","0","iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel","167;143;47;31;27;9;13;5","442"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","4","1.20","","0","iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel","143;123;40;27;23;8;11;4","379"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","5","1.00","","0","iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel","119;102;33;22;19;6;9;3","313"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","0","2.00","","0","iron;calcite;magnesium;charcoal;copper;sylvine;bone_grit;nickel","380;80;68;216;70;26;26;8","874"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","1","1.80","","0","iron;calcite;magnesium;charcoal;copper;sylvine;bone_grit;nickel","342;72;62;195;63;24;24;8","790"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","2","1.60","","0","iron;calcite;magnesium;charcoal;copper;sylvine;bone_grit;nickel","304;64;55;173;56;21;21;7","701"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","3","1.40","","0","iron;calcite;magnesium;charcoal;copper;sylvine;bone_grit;nickel","266;56;48;152;49;19;19;6","615"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","4","1.20","","0","iron;calcite;magnesium;charcoal;copper;sylvine;bone_grit;nickel","228;48;41;130;42;16;16;5","526"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","5","1.00","","0","iron;calcite;magnesium;charcoal;copper;sylvine;bone_grit;nickel","190;40;34;108;35;13;13;4","437"
