"recipe_id","ship_id","local_name_ru","rank","faction_id","faction_name_ru","ship_class_id","role_id","branch_id","craft_layer","economy_level","input_multiplier","discountable_fe","license_fe","total_fe","total_mfe"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","raw_resources","0","2.00","10400.00","0.00","10400.00","0.010"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","raw_resources","1","1.80","9510.00","0.00","9510.00","0.010"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","raw_resources","2","1.60","8520.00","0.00","8520.00","0.009"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","raw_resources","3","1.40","7370.00","0.00","7370.00","0.007"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","raw_resources","4","1.20","6380.00","0.00","6380.00","0.006"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","Коршун","2","capital","Империя","frigate","patrol","patrol_frigate","raw_resources","5","1.00","5200.00","0.00","5200.00","0.005"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","raw_resources","0","2.00","13680.00","0.00","13680.00","0.014"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","raw_resources","1","1.80","12480.00","0.00","12480.00","0.012"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","raw_resources","2","1.60","11080.00","0.00","11080.00","0.011"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","raw_resources","3","1.40","9740.00","0.00","9740.00","0.010"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","raw_resources","4","1.20","8340.00","0.00","8340.00","0.008"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","Барбет","2","capital","Империя","cruiser","artillery","artillery_cruiser","raw_resources","5","1.00","6840.00","0.00","6840.00","0.007"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","raw_resources","0","2.00","20500.00","0.00","20500.00","0.021"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","raw_resources","1","1.80","18600.00","0.00","18600.00","0.019"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","raw_resources","2","1.60","16490.00","0.00","16490.00","0.016"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","raw_resources","3","1.40","14470.00","0.00","14470.00","0.014"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","raw_resources","4","1.20","12360.00","0.00","12360.00","0.012"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","Вал","2","capital","Империя","battleship","heavy","heavy_battleship","raw_resources","5","1.00","10250.00","0.00","10250.00","0.010"
