"recipe_id","ship_id","time_level","time_multiplier","producer_building_id","time_min_yard1","time_min_yard30"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","0","2.50","frigate_yard","4.00","2.67"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","1","2.20","frigate_yard","3.52","2.35"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","2","1.90","frigate_yard","3.04","2.03"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","3","1.60","frigate_yard","2.56","1.71"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","4","1.30","frigate_yard","2.08","1.39"
"craft_capital_patrol_frigate_r02","capital_patrol_frigate_r02","5","1.00","frigate_yard","1.60","1.07"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","0","2.50","cruiser_yard","4.00","2.67"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","1","2.20","cruiser_yard","3.52","2.35"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","2","1.90","cruiser_yard","3.04","2.03"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","3","1.60","cruiser_yard","2.56","1.71"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","4","1.30","cruiser_yard","2.08","1.39"
"craft_capital_artillery_cruiser_r02","capital_artillery_cruiser_r02","5","1.00","cruiser_yard","1.60","1.07"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","0","2.50","battleship_yard","4.00","2.67"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","1","2.20","battleship_yard","3.52","2.35"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","2","1.90","battleship_yard","3.04","2.03"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","3","1.60","battleship_yard","2.56","1.71"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","4","1.30","battleship_yard","2.08","1.39"
"craft_capital_heavy_battleship_r02","capital_heavy_battleship_r02","5","1.00","battleship_yard","1.60","1.07"
