rank,ship_class_id,producer_building_id,producer_building_name_ru,ship_count,min_time_level5_yard30_min,max_time_level0_yard1_min,min_time_level5_yard30_hours,max_time_level0_yard1_hours
2,frigate,frigate_yard,Фрегатная верфь,16,1.07,4.00,0.02,0.07
3,frigate,frigate_yard,Фрегатная верфь,16,2.50,9.38,0.04,0.16
4,frigate,frigate_yard,Фрегатная верфь,16,6.00,22.50,0.10,0.38
5,frigate,frigate_yard,Фрегатная верфь,16,15.00,56.25,0.25,0.94
6,frigate,frigate_yard,Фрегатная верфь,16,40.00,150.00,0.67,2.50
7,frigate,frigate_yard,Фрегатная верфь,16,90.00,337.50,1.50,5.62
8,frigate,frigate_yard,Фрегатная верфь,16,180.00,675.00,3.00,11.25
9,frigate,frigate_yard,Фрегатная верфь,16,330.00,1237.50,5.50,20.62
10,frigate,frigate_yard,Фрегатная верфь,16,600.00,2250.00,10.00,37.50
2,cruiser,cruiser_yard,Крейсерская верфь,23,1.07,4.00,0.02,0.07
3,cruiser,cruiser_yard,Крейсерская верфь,23,2.50,9.38,0.04,0.16
4,cruiser,cruiser_yard,Крейсерская верфь,23,6.00,22.50,0.10,0.38
5,cruiser,cruiser_yard,Крейсерская верфь,23,15.00,56.25,0.25,0.94
6,cruiser,cruiser_yard,Крейсерская верфь,23,40.00,150.00,0.67,2.50
7,cruiser,cruiser_yard,Крейсерская верфь,23,90.00,337.50,1.50,5.62
8,cruiser,cruiser_yard,Крейсерская верфь,23,180.00,675.00,3.00,11.25
9,cruiser,cruiser_yard,Крейсерская верфь,23,330.00,1237.50,5.50,20.62
10,cruiser,cruiser_yard,Крейсерская верфь,23,600.00,2250.00,10.00,37.50
2,battleship,battleship_yard,Линкорная верфь,12,1.07,4.00,0.02,0.07
3,battleship,battleship_yard,Линкорная верфь,12,2.50,9.38,0.04,0.16
4,battleship,battleship_yard,Линкорная верфь,12,6.00,22.50,0.10,0.38
5,battleship,battleship_yard,Линкорная верфь,12,15.00,56.25,0.25,0.94
6,battleship,battleship_yard,Линкорная верфь,12,40.00,150.00,0.67,2.50
7,battleship,battleship_yard,Линкорная верфь,12,90.00,337.50,1.50,5.62
8,battleship,battleship_yard,Линкорная верфь,12,180.00,675.00,3.00,11.25
9,battleship,battleship_yard,Линкорная верфь,12,330.00,1237.50,5.50,20.62
10,battleship,battleship_yard,Линкорная верфь,12,600.00,2250.00,10.00,37.50
