sample_id,layer,source_id,item_id,amount,unit,value_fe,cargo_tons
S001,material,automaton_field,automaton_coil,1.000,pcs,280.00,0.0140
S001,material,automaton_field,automaton_contact_comb,1.000,pcs,240.00,0.0120
S001,intangible,combat_action,freight_fe,845.745,fe,845.75,0.0000
S001,intangible,combat_action,reputation_fe,57.666,fe,57.67,0.0000
S002,material,bluevein,copper,23.480,kg,704.41,0.0235
S002,material,bluevein,quartz,20.545,kg,616.36,0.0205
S002,material,bluevein,claudium,2.935,kg,352.20,0.0029
S002,material,bluevein,gems,0.294,kg,528.31,0.0003
S002,material,moon_salt,magnesium,2.112,kg,84.46,0.0021
S002,material,moon_salt,calcite,1.267,kg,50.68,0.0013
S002,material,moon_salt,sylvine,8.446,kg,422.32,0.0084
S002,material,moon_salt,claudium,2.112,kg,253.39,0.0021
S002,material,moon_salt,gems,0.084,kg,152.03,0.0001
S002,intangible,mining_action,freight_fe,603.586,fe,603.59,0.0000
S002,intangible,mining_action,reputation_fe,86.222,fe,86.22,0.0000
S003,material,dry_mist,aerosil,367.444,kg,7348.88,0.3674
S003,intangible,gas_action,freight_fe,1306.926,fe,1306.93,0.0000
S003,intangible,gas_action,reputation_fe,201.066,fe,201.07,0.0000
S004,material,acid_spitter,leviathan_meat,24.579,kg,368.69,0.0246
S004,material,acid_spitter,leviathan_fat,8.938,kg,715.04,0.0089
S004,material,acid_spitter,leviathan_hide,8.938,kg,5362.77,0.0089
S004,material,acid_spitter,acid,15.641,kg,2815.45,0.0156
S004,material,acid_spitter,leviathan_ichor,5.586,kg,2513.80,0.0056
S004,material,acid_spitter,amber,0.447,kg,1117.24,0.0004
S004,intangible,hunting_action,freight_fe,3913.988,fe,3913.99,0.0000
S004,intangible,hunting_action,reputation_fe,434.891,fe,434.89,0.0000
S005,material,automaton_field,automaton_brass_valve,14.000,pcs,5320.00,0.2660
S005,material,automaton_field,automaton_gyroscope,5.000,pcs,4750.00,0.2375
S005,material,automaton_field,automaton_brass_valve,27.000,pcs,10260.00,0.5130
S005,material,automaton_field,automaton_calibration_gear,12.000,pcs,8400.00,0.4200
S005,intangible,salvage_action,freight_fe,8223.979,fe,8223.98,0.0000
S005,intangible,salvage_action,reputation_fe,913.773,fe,913.77,0.0000
S006,material,chronograph_cabinet,relic_valuable,1.000,pcs,54225.65,0.6500
S006,intangible,relic_action,freight_fe,7270.120,fe,7270.12,0.0000
S006,intangible,relic_action,reputation_fe,3231.169,fe,3231.17,0.0000
S007,material,courier_contract,mechanisms,16.727,crate,10035.93,0.0836
S007,material,courier_contract,munition_bundle,7.665,crate,6898.57,0.0383
S007,material,courier_contract,weapon,3.113,crate,3735.43,0.0156
