sample_id,seed,mission_profile,mission_archetype,primary_activity,ship_id,local_name_ru,rank,faction_id,ship_class_id,mission_success_factor,outcome,destroyed_chance,damaged_chance,damage_percent,expected_extracted_total_fe,expected_material_fe,expected_intangible_fe,generated_material_fe,generated_intangible_fe,generated_extracted_total_fe,generated_destroyed_total_fe,awarded_material_fe,awarded_intangible_fe,awarded_total_fe,awarded_ship_xp,awarded_mastery_points,cargo_capacity_tons,cargo_used_tons,source_summary,payload_count,sample_hash,expected_ratio,validation_status,validation_errors
S001,sortie-v1:S001:capital_long_range_heavy_cruiser_r02:quick:quick_adaptive,quick,quick_adaptive,combat,capital_long_range_heavy_cruiser_r02,Рейнджер,2,capital,cruiser,1.0000,extracted_clean,0.0050,0.0500,6.9,3544.24,506.32,1518.96,520.00,1441.62,3403.23,1441.62,520.00,2883.23,3403.23,132,14,284,0.026,automaton_coil x1; automaton_contact_comb x1,2,277c5ff450088628,0.9602,pass,
S002,sortie-v1:S002:stone_vault_magnet_hauler_cruiser_r03:quick:quick_adaptive,quick,quick_adaptive,mining,stone_vault_magnet_hauler_cruiser_r03,Трос,3,stone_vault,cruiser,1.0000,extracted_clean,0.0050,0.0500,8.2,5264.70,3226.75,1018.97,3164.16,1034.72,5233.60,1034.72,3164.16,2069.43,5233.60,94,21,410,0.061,bluevein 0.1t; moon_salt 0.0t,9,0a25d1e41bb87332,0.9941,pass,
S003,sortie-v1:S003:mist_synod_chemical_cruiser_r04:quick:quick_adaptive,quick,quick_adaptive,gas,mist_synod_chemical_cruiser_r04,Алхимик,4,mist_synod,cruiser,1.0000,extracted_clean,0.0050,0.0500,15.6,11618.15,7120.80,2248.67,7348.88,2412.79,12174.45,2412.79,7348.88,4825.57,12174.45,180,24,410,0.367,dry_mist 0.4t,1,a208432e05003689,1.0479,pass,
S004,sortie-v1:S004:devourers_harpoon_cruiser_r05:quick:quick_adaptive,quick,quick_adaptive,hunting,devourers_harpoon_cruiser_r05,Захлест,5,devourers,cruiser,1.0000,extracted_clean,0.0050,0.0500,0.3,24597.76,13244.95,5676.41,12892.99,6523.33,25939.64,6523.33,12892.99,13046.65,25939.64,525,31,405,0.064,acid_spitter 0.01,6,62661c4ac98e070b,1.0546,pass,
S005,sortie-v1:S005:wind_houses_industrial_battleship_r06:quick:quick_adaptive,quick,quick_adaptive,salvage,wind_houses_industrial_battleship_r06,Линия,6,wind_houses,battleship,1.0000,extracted_clean,0.0050,0.0500,4.7,59604.78,30705.49,14449.64,28730.00,14620.41,57970.82,14620.41,28730.00,29240.82,57970.82,890,34,5500,1.437,automaton_brass_valve x14; automaton_gyroscope x5; automaton_brass_valve x27; automaton_calibration_gear x12,4,1df741d8bca3f082,0.9726,pass,
S006,sortie-v1:S006:factory_ark_modular_survey_cruiser_r07:quick:quick_adaptive,quick,quick_adaptive,relic,factory_ark_modular_survey_cruiser_r07,Лабиринт,7,factory_ark,cruiser,1.0000,extracted_clean,0.0050,0.0500,13.9,108305.34,53344.42,27480.46,54225.65,27464.90,109155.44,27464.90,54225.65,54929.79,109155.44,1785,45,455,0.650,chronograph_cabinet,1,dae7d1ed67f6287c,1.0078,pass,
S007,sortie-v1:S007:capital_light_recon_cruiser_r08:quick:quick_adaptive,quick,quick_adaptive,courier,capital_light_recon_cruiser_r08,Обсерватор,8,capital,cruiser,1.0000,extracted_clean,0.0050,0.0500,12.3,281908.68,22857.46,129525.61,24806.59,136191.85,297190.28,136191.85,24806.59,272383.70,297190.28,1419,49,465,0.139,mechanisms x16.72654173822644; munition_bundle x7.665075527432508; weapon x3.1128618598407147; perfcards x1.8802996417818076,4,1be0491bc5669a03,1.0542,pass,
S008,sortie-v1:S008:mist_synod_repair_cruiser_r09:quick:quick_adaptive,quick,quick_adaptive,repair,mist_synod_repair_cruiser_r09,Астрал,9,mist_synod,cruiser,1.0000,extracted_clean,0.0050,0.0500,2.9,640797.95,79199.75,280799.10,69478.51,282943.38,635365.28,282943.38,69478.51,565886.76,635365.28,3084,50,565,0.387,mechanisms x57.52163269568079; munition_bundle x17.870935862783348; perfcards x5.517406787815071; nobel x4.495596364032545,4,1d01f1cad29c0127,0.9915,pass,
S009,sortie-v1:S009:capital_heavy_battleship_r10:quick:quick_adaptive,quick,quick_adaptive,combat,capital_heavy_battleship_r10,Титан,10,capital,battleship,1.0000,extracted_clean,0.0050,0.0500,15.2,1360622.33,194374.62,583123.86,117960.00,531099.49,1180158.97,531099.49,117960.00,1062198.97,1180158.97,32172,37,4250,5.898,automaton_contact_comb x114; automaton_pressure_gauge x54; automaton_pressure_gauge x43; automaton_gyroscope x29,4,30f653f71d2cd66e,0.8674,pass,
S010,sortie-v1:S010:stone_vault_ore_foundry_battleship_r02:quick:quick_adaptive,quick,quick_adaptive,mining,stone_vault_ore_foundry_battleship_r02,Ванна,2,stone_vault,battleship,1.0000,extracted_clean,0.0050,0.0500,3.8,2769.35,1697.34,536.00,1738.87,543.11,2825.10,543.11,1738.87,1086.22,2825.10,43,16,3800,0.105,salty_chalk 0.0t; coal_slag 0.2t,7,b4fa7687a3c1fdc1,1.0201,pass,
S011,sortie-v1:S011:mist_synod_gas_combine_battleship_r03:quick:quick_adaptive,quick,quick_adaptive,gas,mist_synod_gas_combine_battleship_r03,Баллон,3,mist_synod,battleship,1.0000,extracted_clean,0.0050,0.0500,1.3,5946.26,3644.48,1150.89,3675.42,1127.18,5929.78,1127.18,3675.42,2254.35,5929.78,93,21,3300,0.137,dry_mist 0.1t; green_bloom 0.0t,3,27cce9e9130b46a8,0.9972,pass,
S012,sortie-v1:S012:devourers_harpoon_cruiser_r04:quick:quick_adaptive,quick,quick_adaptive,hunting,devourers_harpoon_cruiser_r04,Связка,4,devourers,cruiser,1.0000,extracted_clean,0.0050,0.0500,15.4,11645.65,6270.74,2687.46,6314.24,2926.46,12167.15,2926.46,6314.24,5852.92,12167.15,256,26,370,0.031,acid_spitter 0.00; grabber 0.00,13,3760be1b9e1a6468,1.0448,pass,
S013,sortie-v1:S013:wind_houses_industrial_battleship_r05:quick:quick_adaptive,quick,quick_adaptive,salvage,wind_houses_industrial_battleship_r05,Магнит,5,wind_houses,battleship,1.0000,extracted_clean,0.0050,0.0500,3.4,28158.87,14506.09,6826.39,14550.00,7341.90,29233.81,7341.90,14550.00,14683.81,29233.81,459,29,5100,0.728,automaton_relay x18; automaton_optic_lens x4; automaton_calibration_gear x4; automaton_pressure_gauge x7,4,ed8809167a5922b6,1.0382,pass,
